
[00:00:00.000 --> 00:00:03.740]  鼎姊妹平安
[00:00:03.740 --> 00:00:06.880]  很欣賞今個月的月事
[00:00:06.880 --> 00:00:11.200]  「至耶穌來住在我心」
[00:00:11.200 --> 00:00:15.080]  五堂的鼎姊妹較為投入
[00:00:15.080 --> 00:00:17.180]  但都未投入
[00:00:17.180 --> 00:00:18.680]  鼎姊妹
[00:00:18.680 --> 00:00:20.400]  希望你感受到
[00:00:20.400 --> 00:00:24.200]  自從耶穌進入你的心裏的時候
[00:00:24.200 --> 00:00:26.780]  你的人是可以喜樂的
[00:00:26.780 --> 00:00:30.080]  希望你回來崇拜不是被迫
[00:00:30.080 --> 00:00:34.280]  而是真的感受到耶穌基督的恩典和愛
[00:00:34.280 --> 00:00:37.780]  希望今日的訊息能夠幫助我們明白
[00:00:37.780 --> 00:00:42.780]  今年的主題是什麼?
[00:00:42.780 --> 00:00:48.280]  「門徒團契 邻侶相交」
[00:00:48.280 --> 00:00:51.680]  我們參考的經文是馬可福音和希伯來書
[00:00:51.680 --> 00:00:55.680]  所以今天在主日的第一個訊息
[00:00:55.680 --> 00:00:58.480]  我選用希伯來書十章
[00:00:58.480 --> 00:01:01.380]  不過在第十九至二十五節一起講
[00:01:01.380 --> 00:01:03.280]  會比較完整一點
[00:01:03.280 --> 00:01:05.780]  其實在我們的身份裏面
[00:01:05.780 --> 00:01:07.280]  有兩種
[00:01:07.280 --> 00:01:09.180]  一種叫基督的信徒
[00:01:09.180 --> 00:01:12.280]  普通叫基督的信徒或基督徒
[00:01:12.280 --> 00:01:15.080]  一種叫基督的門徒
[00:01:15.080 --> 00:01:17.180]  其實兩者真的有分別
[00:01:17.180 --> 00:01:18.580]  你看看內容
[00:01:18.580 --> 00:01:21.780]  基督的門徒是會效法耶穌的榜樣
[00:01:21.780 --> 00:01:24.180]  不只是聽到是會行道
[00:01:24.180 --> 00:01:26.180]  不只是單單領受恩典
[00:01:26.180 --> 00:01:30.680]  也會將恩典跟人分享
[00:01:30.680 --> 00:01:33.680]  如果你明白這一點
[00:01:33.680 --> 00:01:36.380]  又是進行去做的時候
[00:01:36.380 --> 00:01:40.180]  今日的訊息已經講完了
[00:01:40.180 --> 00:01:43.680]  弟子們 你是屬於哪一種?
[00:01:43.680 --> 00:01:46.680]  或者你想做哪一種的信徒?
[00:01:46.680 --> 00:01:49.680]  是信徒還是門徒?
[00:01:49.680 --> 00:01:54.680]  或者我們教會哪一種比較多?
[00:01:54.680 --> 00:01:56.680]  比較多的基督信徒
[00:01:56.680 --> 00:01:59.180]  還是比較多的基督門徒?
[00:01:59.180 --> 00:02:03.680]  這個值得我們每個弟子們去思想
[00:02:03.680 --> 00:02:06.680]  但我們知道耶穌的大使命
[00:02:06.680 --> 00:02:10.180]  是要使萬民作祂的門徒
[00:02:10.180 --> 00:02:13.180]  並且說我所吩咐你們的
[00:02:13.180 --> 00:02:16.680]  都教訓他們遵守
[00:02:16.680 --> 00:02:20.680]  原來使人做耶穌的門徒
[00:02:20.680 --> 00:02:24.680]  和叫他們遵守耶穌的教導
[00:02:24.680 --> 00:02:28.180]  是主耶穌的大使命
[00:02:28.180 --> 00:02:29.680]  我們不只是叫人行道
[00:02:29.680 --> 00:02:32.680]  信耶穌 拿福氣
