
[00:00:00.000 --> 00:00:02.000]  讓我們同心祈禱
[00:00:02.000 --> 00:00:04.500]  祭恩主,感謝禰
[00:00:04.500 --> 00:00:06.000]  禰呼召我們
[00:00:06.000 --> 00:00:09.000]  讓我們可以回到禰的殿當中
[00:00:09.000 --> 00:00:12.000]  來敬拜,來侍奉禰
[00:00:12.000 --> 00:00:15.000]  我們欣賞禰的感恩
[00:00:15.000 --> 00:00:18.000]  求主禰聖靈充滿我們,光照我們
[00:00:18.000 --> 00:00:21.000]  就聖靈充滿在這個會場裏
[00:00:21.000 --> 00:00:23.000]  禰親自對我們說話
[00:00:23.000 --> 00:00:26.000]  讓我們今天就明白禰的心意
[00:00:26.000 --> 00:00:28.500]  以至在我們生命裏能夠實踐出來
[00:00:28.500 --> 00:00:32.000]  求主幫助,保守對我們每一位說話
[00:00:32.000 --> 00:00:35.000]  祈禱奉主耶穌基督名求,阿們
[00:00:35.000 --> 00:00:37.000]  請姐妹請坐
[00:00:37.000 --> 00:00:44.000]  很高興又可以回到神的殿當中
[00:00:44.000 --> 00:00:46.000]  一同去敬拜
[00:00:46.000 --> 00:00:50.000]  我曾經看過一個外國的電視節目
[00:00:50.000 --> 00:00:52.000]  他就是請嘉賓上來
[00:00:52.000 --> 00:00:54.000]  分享一下他們生活上有什麼難題
[00:00:54.000 --> 00:00:56.000]  有什麼困難
[00:00:56.000 --> 00:00:59.000]  主持人和嘉賓就一起去談
[00:00:59.000 --> 00:01:01.000]  如何解決這些問題
[00:01:01.000 --> 00:01:04.000]  那一集就請了兩對夫妻上來
[00:01:04.000 --> 00:01:06.000]  大家猜猜他的問題是什麼
[00:01:06.000 --> 00:01:08.000]  他的困難是什麼
[00:01:08.000 --> 00:01:10.000]  就是婚姻太過沉悶
[00:01:10.000 --> 00:01:13.000]  主要是覺得另一半太沉悶
[00:01:13.000 --> 00:01:16.000]  已經對了你十幾年都沒有新鮮的東西
[00:01:16.000 --> 00:01:20.000]  所以他們在生命上想找一些新的刺激
[00:01:20.000 --> 00:01:23.000]  其中一個男士就有個建議
[00:01:23.000 --> 00:01:25.000]  我試試扮他
[00:01:25.000 --> 00:01:27.000]  男士有兩對夫婦
[00:01:27.000 --> 00:01:29.000]  當然有另一個男士
[00:01:29.000 --> 00:01:30.000]  朋友
[00:01:30.000 --> 00:01:33.000]  我對着我老婆已經十幾年很沉悶
[00:01:33.000 --> 00:01:35.000]  你對着你老婆又十幾年很沉悶
[00:01:35.000 --> 00:01:37.000]  我有個絕世好主意
[00:01:37.000 --> 00:01:39.000]  你猜他有什麼建議
[00:01:39.000 --> 00:01:44.000]  你老婆就跟我去酒店過幾晚
[00:01:44.000 --> 00:01:45.000]  先不要緊張
[00:01:45.000 --> 00:01:46.000]  很公平的
[00:01:46.000 --> 00:01:49.000]  我老婆又陪你去酒店過幾晚
[00:01:49.000 --> 00:01:51.000]  這些不是帶綠帽
[00:01:51.000 --> 00:01:52.000]  我給你綠帽
[00:01:52.000 --> 00:01:53.000]  你又給我綠帽
[00:01:53.000 --> 00:01:55.000]  但是這些很公平
[00:01:55.000 --> 00:01:56.000]  這樣都說得出
[00:01:56.000 --> 00:01:59.000]  大家聽了是不是覺得很荒謬
[00:01:59.000 --> 00:02:00.000]  但是最重要
[00:02:00.000 --> 00:02:02.000]  主持人就說不錯
[00:02:02.000 --> 00:02:03.000]  挺好提議
[00:02:03.000 --> 00:02:06.000]  大家談得好像行得通
[00:02:06.000 --> 00:02:08.000]  還要說真的好
[00:02:08.000 --> 00:02:12.000]  生命裏面可以找到新的刺激
[00:02:12.000 --> 00:02:14.000]  原來這個世代
[00:02:14.000 --> 00:02:16.000]  道德敗壞到這樣
[00:02:16.000 --> 00:02:19.000]  性開放的問題已經去到這麼嚴重
[00:02:19.000 --> 00:02:21.000]  我想不只是這兩對夫婦
[00:02:21.000 --> 00:02:23.000]  世界各地很多人可能
[00:02:23.000 --> 00:02:26.000]  有機會都已經在做這些事
