
[00:00:00.000 --> 00:00:02.000]  以後這幾個禮拜剛才大家聽到
[00:00:02.000 --> 00:00:04.800]  我們教務同工會和大家看異忽所書
[00:00:04.800 --> 00:00:07.120]  因為異忽所書裡面告訴我們知道
[00:00:07.120 --> 00:00:09.680]  神藉著耶穌基督的犧牲
[00:00:09.680 --> 00:00:12.240]  創造了一個新人 一個新的個體
[00:00:12.240 --> 00:00:13.840]  而我們稱之為教會
[00:00:13.840 --> 00:00:21.040]  而教會是神拯救這個世界的計劃裡面的核心
[00:00:21.040 --> 00:00:22.960]  神要做的是什麼呢
[00:00:22.960 --> 00:00:24.160]  就是透過耶穌的犧牲
[00:00:24.160 --> 00:00:27.520]  拆除了人與上帝之間的牆
[00:00:27.520 --> 00:00:29.520]  因為這樣的緣故
[00:00:29.520 --> 00:00:31.840]  我們和上帝建立了一個關係
[00:00:31.840 --> 00:00:35.120]  而神將一個很偉大的使命交付給我們是什麼呢
[00:00:35.120 --> 00:00:37.760]  我們要去拆毀人與人之間的牆
[00:00:37.760 --> 00:00:39.760]  將人帶到上帝的面前
[00:00:39.760 --> 00:00:43.520]  所以這個原來就是異忽所書裡面來講
[00:00:43.520 --> 00:00:45.520]  一個重要的信息
[00:00:45.520 --> 00:00:49.040]  神的設計是透過他所設立的教會
[00:00:49.040 --> 00:00:51.040]  一個屬靈的團體
[00:00:51.040 --> 00:00:55.760]  去將真正的盼望帶給所有的人
[00:00:55.760 --> 00:00:59.680]  首先保羅會告訴我們
[00:00:59.680 --> 00:01:02.240]  人為什麼會變成沒有盼望呢
[00:01:02.240 --> 00:01:05.360]  其實這是很簡單的
[00:01:05.360 --> 00:01:07.360]  基督徒你應該知道
[00:01:07.360 --> 00:01:09.360]  就是因為我們離開上帝
[00:01:09.360 --> 00:01:10.320]  就是這麼簡單
[00:01:10.320 --> 00:01:11.760]  人為什麼會變成沒有盼望呢
[00:01:11.760 --> 00:01:16.240]  因為人刻意離開創造主宰他們的上帝
[00:01:16.240 --> 00:01:18.240]  將神變為他們的對頭人
[00:01:18.240 --> 00:01:20.800]  當你這樣做的時候
[00:01:20.800 --> 00:01:27.520]  就是我們人選擇與上帝劃清界線
[00:01:27.520 --> 00:01:28.880]  脫離關係
[00:01:28.880 --> 00:01:30.880]  既然是這樣的時候
[00:01:30.880 --> 00:01:34.080]  神就沒有義務去照顧我們
[00:01:34.080 --> 00:01:35.520]  去聽我們祈禱
[00:01:35.520 --> 00:01:37.520]  去幫我們
[00:01:37.520 --> 00:01:40.480]  人生剛才講到有這麼多的問題出現
[00:01:40.480 --> 00:01:42.480]  這麼多的矛盾衝突
[00:01:42.480 --> 00:01:44.480]  這麼多的戰亂天災人禍
[00:01:44.480 --> 00:01:46.480]  神不會幫我們
[00:01:46.480 --> 00:01:48.480]  他沒有義務去幫我們
[00:01:48.480 --> 00:01:53.040]  所以我們是不是成為一個沒有盼望的人呢
[00:01:53.040 --> 00:01:55.040]  所以保羅怎麼說呢
[00:01:55.040 --> 00:01:58.240]  我們先看第二章的十一到十二節
[00:01:58.240 --> 00:02:00.240]  第一章第一章跟公會說
[00:02:00.240 --> 00:02:02.240]  正經怎麼說呢
