
[00:00:00.000 --> 00:00:07.920]  讓我們再次低頭同心的祈禱
[00:00:07.920 --> 00:00:10.200]  親愛的我們感謝祢
[00:00:10.200 --> 00:00:12.920]  感謝祢的吸引
[00:00:12.920 --> 00:00:14.700]  感謝祢的招聚
[00:00:14.700 --> 00:00:18.600]  讓我們能夠聚首在聖殿裏一切的敬拜
[00:00:18.600 --> 00:00:21.600]  我們懇求上帝懇求祢的靈
[00:00:21.600 --> 00:00:23.520]  時刻讓我們同在
[00:00:23.520 --> 00:00:25.640]  祢賜給我們有悟性
[00:00:25.640 --> 00:00:28.680]  能夠去明白祢話語中的奧秘
[00:00:28.680 --> 00:00:32.200]  更成為我們腳前的燈
[00:00:32.200 --> 00:00:33.760]  我們路上的光
[00:00:33.760 --> 00:00:35.840]  成為我們生命的指引
[00:00:35.840 --> 00:00:38.240]  有願講的和聽的
[00:00:38.240 --> 00:00:40.000]  都同夢你的願
[00:00:40.000 --> 00:00:42.320]  祈禱奉主耶穌基督的名求
[00:00:42.320 --> 00:00:43.400]  阿門
[00:00:43.400 --> 00:00:47.240]  大家看到這個題目
[00:00:47.240 --> 00:00:49.960]  不知道你有什麼感覺
[00:00:49.960 --> 00:00:54.120]  又或者當你想起核心價值的時候
[00:00:54.120 --> 00:00:57.560]  不知道你經常在什麼場合會聽得到呢
[00:00:59.200 --> 00:01:02.280]  可能對於普羅大眾的市民來說
[00:01:02.280 --> 00:01:06.560]  我們之前有機會經常聽到報章的輿論說
[00:01:06.560 --> 00:01:10.520]  要維持香港的核心價值
[00:01:10.520 --> 00:01:14.360]  我相信就是覺得香港好像越來越不像香港的時候
[00:01:14.360 --> 00:01:19.320]  我們就聽到要維繫香港核心價值的時候比較多
[00:01:19.320 --> 00:01:21.520]  又或者當你參與一間公司
[00:01:21.520 --> 00:01:22.320]  一個組織
[00:01:22.320 --> 00:01:27.720]  又或者最近很多家長都會去參觀一些學校
[00:01:27.720 --> 00:01:30.240]  一些簡介會上的時候
[00:01:30.240 --> 00:01:31.440]  這些公司
[00:01:31.440 --> 00:01:33.480]  這些組織或者學校
[00:01:33.480 --> 00:01:35.840]  就會向他們的目標客戶
[00:01:35.840 --> 00:01:38.840]  去宣揚自己所提倡的
[00:01:38.840 --> 00:01:42.400]  或者他們所堅持的是一個什麼價值
[00:01:42.400 --> 00:01:45.080]  究竟核心價值是什麼呢
[00:01:45.080 --> 00:01:49.320]  根據智庫百科所說
[00:01:49.320 --> 00:01:50.480]  什麼是核心價值呢
[00:01:50.480 --> 00:01:52.440]  就是一個組織
[00:01:52.440 --> 00:01:56.240]  去擁有一些東西是區別於其他組織的
[00:01:56.240 --> 00:01:57.960]  是一個不可以替代
[00:01:57.960 --> 00:02:02.640]  最基本、最持久的部份
[00:02:02.640 --> 00:02:04.200]  的特質
[00:02:04.200 --> 00:02:07.680]  而這個組織都是賴以這個特質
[00:02:07.680 --> 00:02:12.640]  來生存和發展根本的原因
[00:02:12.640 --> 00:02:15.480]  並且說這是一個組織
[00:02:15.480 --> 00:02:19.440]  DNA裏面最核心的部份
[00:02:19.440 --> 00:02:23.240]  假設每一個組織都有核心價值
[00:02:23.240 --> 00:02:25.880]  而假設教會都是一個組織
[00:02:25.880 --> 00:02:28.640]  那麼教會的核心價值又是什麼呢
[00:02:28.640 --> 00:02:31.480]  讓我們去看看今天的經文
[00:02:31.480 --> 00:02:34.040]  是否也能夠讓我們發現
[00:02:34.040 --> 00:02:37.280]  究竟教會的核心價值是什麼呢
[00:02:37.280 --> 00:02:38.680]  段經文的背景
[00:02:38.680 --> 00:02:42.240]  剛才馮太為我們讀出
[00:02:42.240 --> 00:02:45.880]  背景就是說耶穌離開這個世界之前
[00:02:45.880 --> 00:02:49.080]  面對彼丁十字架上面的苦難之前
[00:02:49.080 --> 00:02:50.840]  去和我們的門徒
[00:02:50.840 --> 00:02:56.920]  做最後的一些廣化、一些教導
[00:02:56.920 --> 00:02:59.000]  耶穌說這番說話的目的
[00:02:59.000 --> 00:03:00.920]  是告訴他們知道
[00:03:00.920 --> 00:03:03.240]  當他們的師父不在的時候
[00:03:03.240 --> 00:03:06.160]  他們應該怎樣去做人
[00:03:06.160 --> 00:03:07.240]  當然
[00:03:07.240 --> 00:03:10.520]  我們看到門徒仍舊是一頭霧水
[00:03:10.520 --> 00:03:13.600]  仍然不太意會大難當前
[00:03:13.600 --> 00:03:16.640]  仍然不意會到他們真的要
[00:03:16.640 --> 00:03:19.680]  和他們生活了三年的師父
[00:03:19.680 --> 00:03:22.520]  這個老師去分開
[00:03:22.520 --> 00:03:25.360]  這幾個經文一共有三個段落
[00:03:25.360 --> 00:03:28.080]  分別是31至32節
[00:03:28.080 --> 00:03:29.400]  第一個段落
[00:03:29.400 --> 00:03:31.360]  33節是第二個段落
[00:03:31.360 --> 00:03:36.840]  而34至35節是第三個段落
[00:03:36.840 --> 00:03:38.480]  在開首的31節
[00:03:38.480 --> 00:03:41.240]  描述猶大出去了
[00:03:41.240 --> 00:03:42.640]  他去哪裏呢
[00:03:42.640 --> 00:03:46.400]  他其實是去向猶太的領袖告密
[00:03:46.400 --> 00:03:48.880]  要供出耶穌在哪裏
[00:03:48.880 --> 00:03:51.960]  特別是一班群眾不在耶穌身邊的時候
[00:03:51.960 --> 00:03:53.840]  要告訴這些領袖
[00:03:53.840 --> 00:03:55.480]  讓他們可以
[00:03:55.480 --> 00:03:58.800]  拿著這個機會來捉住耶穌
[00:03:58.800 --> 00:04:00.320]  所以耶穌以下的說話
[00:04:00.320 --> 00:04:05.560]  是和11位中信的門徒所說的話
[00:04:05.560 --> 00:04:06.560]  第一個段落
[00:04:06.560 --> 00:04:09.120]  31至32節
[00:04:09.120 --> 00:04:11.960]  在這兩節裏面我們看到
[00:04:11.960 --> 00:04:15.560]  耶穌反反覆覆地提到榮耀兩個字
[00:04:15.560 --> 00:04:18.720]  裏面有動詞、有名詞
[00:04:18.720 --> 00:04:23.720]  這是耶穌第三次宣稱自己將會受苦
[00:04:23.720 --> 00:04:27.320]  並且要得榮耀的時刻
[00:04:27.320 --> 00:04:29.880]  來到了
[00:04:29.880 --> 00:04:30.920]  在這兩節經文裏面
[00:04:30.920 --> 00:04:32.720]  耶穌告訴我們
[00:04:32.720 --> 00:04:35.960]  原來被釘在十字架上的受苦
[00:04:35.960 --> 00:04:39.480]  顯然是耶穌失敗了
[00:04:39.480 --> 00:04:43.880]  似乎也是因為上帝將會受到羞辱
[00:04:43.880 --> 00:04:45.720]  不過實情就是
[00:04:45.720 --> 00:04:49.000]  耶穌被高舉在十字架上的那一刻
[00:04:49.000 --> 00:04:52.240]  卻是同時間得著榮耀
[00:04:52.240 --> 00:04:53.800]  因為在那個時候
[00:04:53.800 --> 00:04:56.400]  就顯明了祂的傳道工作
[00:04:56.400 --> 00:05:00.520]  其實有上帝的本質和權力
[00:05:00.520 --> 00:05:03.000]  在楊楓的第8章28節
[00:05:03.000 --> 00:05:06.640]  耶穌曾經和那些敵對祂的猶太人說
[00:05:06.640 --> 00:05:09.200]  你們舉起人子以後
[00:05:09.200 --> 00:05:13.120]  就會知道我就是那一位了
[00:05:13.120 --> 00:05:16.160]  在《馬太福音》的27章54節都這樣說
[00:05:16.160 --> 00:05:18.800]  在耶穌死的那一刻
[00:05:18.800 --> 00:05:22.760]  伯夫長和站在祂身邊
[00:05:22.760 --> 00:05:24.720]  一起看守耶穌的人
[00:05:24.720 --> 00:05:26.520]  看到地震
[00:05:26.520 --> 00:05:28.440]  和看到所經歷的事
[00:05:28.440 --> 00:05:30.880]  就很害怕
[00:05:30.880 --> 00:05:32.680]  於是就說
[00:05:32.680 --> 00:05:36.040]  祂真是上帝的兒子
