
[00:00:00.000 --> 00:00:02.720]  如果你有聖經,我都鼓勵你一起擁抱神的話
[00:00:02.720 --> 00:00:03.720]  我們一同禱告
[00:00:03.720 --> 00:00:08.840]  天皇上帝,我們多謝祢
[00:00:08.840 --> 00:00:10.560]  讓我們作為一個群體
[00:00:10.560 --> 00:00:12.280]  可以一同在祢面前
[00:00:12.280 --> 00:00:13.920]  向祢獻上敬拜
[00:00:13.920 --> 00:00:15.920]  去聆聽祢的話語
[00:00:15.920 --> 00:00:18.320]  我們能夠有聖經在我們手中
[00:00:18.320 --> 00:00:19.520]  我們獻上感恩
[00:00:19.520 --> 00:00:22.240]  求祢讓我們心能夠常存祢的話
[00:00:22.240 --> 00:00:24.000]  好讓我們的生命
[00:00:24.000 --> 00:00:25.480]  我們的行為舉止
[00:00:25.480 --> 00:00:28.600]  都能夠活得合而合乎祢的心意
[00:00:28.600 --> 00:00:30.120]  讓我們在地上
[00:00:30.120 --> 00:00:32.720]  都能夠為祢造炎造光
[00:00:32.720 --> 00:00:35.040]  將以下時間恭敬交上
[00:00:35.040 --> 00:00:37.240]  求祢親自向我們講說話
[00:00:37.240 --> 00:00:38.880]  觸動我們的心靈
[00:00:38.880 --> 00:00:40.360]  改變我們的生命
[00:00:40.360 --> 00:00:41.760]  聽我們的祈禱
[00:00:41.760 --> 00:00:44.360]  奉靠耶穌基督得聖的明智祈求
[00:00:44.360 --> 00:00:45.360]  阿門
[00:00:45.360 --> 00:00:55.760]  這是岳飛所寫的《滿江紅》
[00:00:55.760 --> 00:00:58.080]  是相信了廣為人知
[00:00:58.080 --> 00:01:00.600]  也是我中學時期的時候
[00:01:00.600 --> 00:01:04.280]  一聽到中史教導岳飛的時候
[00:01:04.280 --> 00:01:06.560]  我們一群污名合遂的人
[00:01:06.560 --> 00:01:08.120]  都會豎起耳朵
[00:01:08.120 --> 00:01:08.920]  為什麼呢?
[00:01:08.920 --> 00:01:11.560]  一方面是我們很欣賞民族英雄
[00:01:11.560 --> 00:01:14.440]  另一方面是共鳴感很強
[00:01:14.440 --> 00:01:17.040]  大家都知道岳飛很厲害
[00:01:17.040 --> 00:01:19.880]  自幼就能夠挽弓三百斤
[00:01:19.880 --> 00:01:21.880]  亦是年年得勝
[00:01:21.880 --> 00:01:26.720]  帶著宋兵一直去對抗金兵
[00:01:26.720 --> 00:01:28.720]  一直想直搗黃龍
[00:01:28.720 --> 00:01:33.440]  但卻很無奈被奸人所害
[00:01:33.440 --> 00:01:36.880]  秦檜慫恿皇帝讀出《十二面金牌》
[00:01:36.880 --> 00:01:38.560]  一定要他收兵回去
[00:01:38.560 --> 00:01:42.040]  我們覺得只差一點點
[00:01:42.040 --> 00:01:43.840]  就算可以打人也要這樣
[00:01:43.840 --> 00:01:46.040]  不能夠收復失地
[00:01:46.040 --> 00:01:51.880]  回去還要負上一個莫須有的罪名而死
[00:01:51.880 --> 00:01:53.880]  我們很慨嘆
[00:01:53.880 --> 00:01:58.800]  一方面是因為我們很欣賞民族英雄
[00:01:58.800 --> 00:02:02.200]  所以我們很專注去聽他的故事
[00:02:02.200 --> 00:02:04.760]  另一方面我們覺得很飲恨
[00:02:04.760 --> 00:02:05.760]  很可惜
[00:02:05.760 --> 00:02:08.600]  伯伯這麼好的機會
[00:02:08.600 --> 00:02:10.800]  付諸流水就沒有了
[00:02:10.800 --> 00:02:14.040]  再加上他冤獄而死
[00:02:14.040 --> 00:02:17.080]  我們就更加覺得很不甘心
[00:02:17.080 --> 00:02:19.160]  作為中學生
[00:02:19.160 --> 00:02:20.800]  我們聽上去很有共鳴
[00:02:20.800 --> 00:02:22.520]  我相信今時今日
[00:02:22.520 --> 00:02:24.120]  作為成人的我們
[00:02:24.120 --> 00:02:26.120]  聽上去也有另一種共鳴
[00:02:26.120 --> 00:02:29.120]  因為很多時候我們或多或少
[00:02:29.120 --> 00:02:32.120]  可以跟岳飛有這種聯繫
[00:02:32.120 --> 00:02:34.320]  不是代表我們像他一樣
[00:02:34.320 --> 00:02:36.520]  精忠報國 連連得勝
[00:02:36.520 --> 00:02:39.320]  而是那種被奸人所害
[00:02:39.320 --> 00:02:43.920]  一切計劃都變成付諸流水的那種無奈
[00:02:43.920 --> 00:02:45.920]  可能大家也試過
[00:02:45.920 --> 00:02:47.320]  我們也很明白
[00:02:47.320 --> 00:02:50.520]  無論你多精心策劃
[00:02:50.520 --> 00:02:52.320]  多用心準備
[00:02:52.320 --> 00:02:55.120]  只要有一個人做了一些愚蠢的事
[00:02:55.120 --> 00:02:58.520]  整件事就可以和好了
[00:02:58.520 --> 00:03:00.520]  讀書的可能是你做了一個好計劃
[00:03:00.520 --> 00:03:03.120]  只要你一個人亂寫的話
[00:03:03.120 --> 00:03:05.120]  你整份功課都很低分
[00:03:05.120 --> 00:03:07.520]  在工作的時候更甚
[00:03:07.520 --> 00:03:10.720]  有一個人在開會的時候說錯一句話
[00:03:10.720 --> 00:03:12.520]  你就可能沒有了客人
[00:03:12.520 --> 00:03:14.320]  可能只要有一個人
[00:03:14.320 --> 00:03:16.120]  發了一封不對的電郵
[00:03:16.120 --> 00:03:18.320]  你公司就有很多損失
[00:03:18.320 --> 00:03:21.920]  只要有一個人做了一些違法的事情
[00:03:21.920 --> 00:03:23.720]  你整間公司都倒塌了
[00:03:23.720 --> 00:03:25.520]  都要面對法律訴訟
[00:03:25.520 --> 00:03:28.920]  我們知道無論你整天多用心去做
[00:03:28.920 --> 00:03:31.320]  做了多好的周詳計劃
