
[00:00:00.000 --> 00:00:02.280]  各位聽善會 早晨
[00:00:02.280 --> 00:00:05.600]  願意我們都帶著一個敬虔的心
[00:00:05.600 --> 00:00:07.000]  來到聆聽神的道
[00:00:07.000 --> 00:00:09.200]  我們一起有個禱告吧
[00:00:09.200 --> 00:00:10.640]  親愛的天父
[00:00:10.640 --> 00:00:13.800]  願意你的話語都成為我們腳前的燈
[00:00:13.800 --> 00:00:15.320]  路上的光
[00:00:15.320 --> 00:00:19.080]  指引我們怎樣去跟隨主你的腳蹤
[00:00:19.080 --> 00:00:21.080]  特別在這段時間 我們都說
[00:00:21.080 --> 00:00:24.440]  讓我們都能夠學習怎樣去與神
[00:00:24.440 --> 00:00:26.080]  一齊來到去服侍
[00:00:26.080 --> 00:00:28.080]  多謝你 隨聽我們的禱告
[00:00:28.080 --> 00:00:30.600]  奉耶穌基督得聖的名求
[00:00:30.600 --> 00:00:32.800]  阿們
[00:00:32.800 --> 00:00:35.920]  今天我們會去到這個主題
[00:00:35.920 --> 00:00:37.400]  關愛服侍
[00:00:37.400 --> 00:00:39.080]  最後一講
[00:00:39.080 --> 00:00:40.160]  先重溫一下
[00:00:40.160 --> 00:00:44.640]  大家還記不記得BLESS代表什麼
[00:00:44.640 --> 00:00:48.120]  好 B stand for 什麼
[00:00:48.120 --> 00:00:50.520]  對 Begin with prayer
[00:00:50.520 --> 00:00:52.880]  願意在我們服侍之先
[00:00:52.880 --> 00:00:54.320]  我們都以祈禱
[00:00:54.320 --> 00:00:55.480]  即是來到去求神
[00:00:55.480 --> 00:00:56.880]  在當中去帶領我們
[00:00:56.880 --> 00:00:59.160]  L呢
[00:00:59.160 --> 00:01:01.160]  Listen like Jesus
[00:01:01.160 --> 00:01:03.640]  我們都很希望好像耶穌一樣
[00:01:03.640 --> 00:01:07.160]  能夠去學習怎樣去聆聽上帝的聲音
[00:01:07.160 --> 00:01:09.800]  以致到我們去做每一個的決定
[00:01:09.800 --> 00:01:11.880]  或者在接觸每一個人的時候
[00:01:11.880 --> 00:01:14.680]  我們都去學習去聆聽他們的需要
[00:01:14.680 --> 00:01:17.160]  好 中間那個應該很熟悉了 是不是
[00:01:17.160 --> 00:01:18.480]  什麼
[00:01:18.480 --> 00:01:20.720]  Eat missionarily
[00:01:20.720 --> 00:01:23.000]  即是我們帶著使命
[00:01:23.000 --> 00:01:24.240]  來到去吃飯
[00:01:24.240 --> 00:01:27.360]  我相信作為當我們跟隨了神
[00:01:27.360 --> 00:01:30.720]  其實我們都是帶著使命去做很多的事情
[00:01:30.720 --> 00:01:32.920]  即是無論你在你的職場裡面
[00:01:32.920 --> 00:01:34.760]  在你任何的地方
[00:01:34.760 --> 00:01:35.960]  你的行動
[00:01:35.960 --> 00:01:37.280]  你所講的說話
[00:01:37.280 --> 00:01:38.840]  其實你都是帶著使命的
[00:01:38.840 --> 00:01:40.640]  吃飯只是其中一個
[00:01:40.640 --> 00:01:43.280]  相對比較容易一點來去到在當中
[00:01:43.280 --> 00:01:45.360]  這段時間我都見到頂展會
[00:01:45.360 --> 00:01:47.720]  都是有不同的飯局
[00:01:47.720 --> 00:01:49.560]  即是你去到去接觸不同的人
[00:01:49.560 --> 00:01:51.200]  即是非常好
[00:01:51.200 --> 00:01:55.520]  接著這個S就是什麼
[00:01:55.520 --> 00:01:57.400]  是Serve like Jesus
[00:01:57.400 --> 00:01:59.760]  好像耶穌一樣來去到去服侍
[00:01:59.760 --> 00:02:01.840]  今天我們就會來去到去看
[00:02:01.840 --> 00:02:06.840]  究竟我們應該如何去服侍呢
