
[00:00:00.000 --> 00:00:03.040]  若生日王可以說在猶太諸王當中
[00:00:03.040 --> 00:00:05.240]  是最難得的一位好王
[00:00:05.240 --> 00:00:07.840]  而他的英年早逝
[00:00:07.840 --> 00:00:10.680]  同樣是一件令人傷感的事
[00:00:10.680 --> 00:00:12.840]  他八歲的時候登基
[00:00:12.840 --> 00:00:14.400]  作王三十一年
[00:00:14.400 --> 00:00:16.440]  因此他離世的時候
[00:00:16.440 --> 00:00:17.920]  只有三十九歲
[00:00:17.920 --> 00:00:20.800]  可以說是在人生裏面的成年
[00:00:20.800 --> 00:00:22.920]  本來是大有作為
[00:00:22.920 --> 00:00:24.920]  而事實上
[00:00:24.920 --> 00:00:26.920]  在他的短暫人生裏面
[00:00:26.920 --> 00:00:29.360]  他在神面前的確有很多作為
[00:00:29.880 --> 00:00:32.080]  在南國猶大的歷史裏面
[00:00:32.080 --> 00:00:34.640]  前後有三位帶領全國
[00:00:34.640 --> 00:00:36.480]  來到有復興的王
[00:00:36.480 --> 00:00:38.880]  第一位就是約沙伐王
[00:00:38.880 --> 00:00:40.880]  第二位是希西加王
[00:00:40.880 --> 00:00:43.680]  而第三位就是約西亞王
[00:00:43.680 --> 00:00:46.520]  約西亞當他登基之後
[00:00:46.520 --> 00:00:49.960]  他一反他的祖父馬拿西王
[00:00:49.960 --> 00:00:52.520]  和他先父阿滿王的作風
[00:00:52.520 --> 00:00:54.360]  在位第八年
[00:00:54.360 --> 00:00:56.360]  即是他十六歲的那一年
[00:00:56.360 --> 00:00:58.040]  就開始去尋求
[00:00:58.040 --> 00:01:00.040]  他祖先大衛王的神
[00:01:00.040 --> 00:01:01.840]  在位第四年
[00:01:01.840 --> 00:01:03.320]  亦即是他二十歲的那一年
[00:01:03.320 --> 00:01:05.440]  他就結證聖殿
[00:01:05.440 --> 00:01:06.720]  結證耶路撒冷
[00:01:06.720 --> 00:01:09.640]  除去國家裏面所有的偶像
[00:01:09.640 --> 00:01:11.520]  拆毀巴黎的祭壇
[00:01:11.520 --> 00:01:12.840]  砍斷日象
[00:01:12.840 --> 00:01:14.640]  在位第十八年
[00:01:14.640 --> 00:01:16.640]  即是他二十六歲的那一年
[00:01:16.640 --> 00:01:19.560]  約西亞王就下令修理聖殿
[00:01:19.560 --> 00:01:22.200]  而當祭司希勒加
[00:01:22.200 --> 00:01:24.720]  在聖殿裏面發現了摩西的律法書
[00:01:24.720 --> 00:01:26.400]  讀給王聽之後
[00:01:26.720 --> 00:01:29.520]  王就和百姓一齊在神面前立約
[00:01:29.520 --> 00:01:31.720]  要來遵守神的誡命
[00:01:31.720 --> 00:01:34.720]  並且吩咐百姓要守禦節
[00:01:34.720 --> 00:01:37.440]  從這些事件我們可以看見
[00:01:37.440 --> 00:01:39.440]  這位王的心是怎樣的
[00:01:39.440 --> 00:01:41.760]  在他心裏面只有一個心意
[00:01:41.760 --> 00:01:44.560]  就是要一心一意
[00:01:44.560 --> 00:01:47.600]  來遵行神的吩咐
[00:01:47.600 --> 00:01:50.400]  當他在位第三年
[00:01:50.400 --> 00:01:52.400]  亦即是他三十九歲的那一年
[00:01:52.400 --> 00:01:54.280]  在密吉多那裏
[00:01:54.480 --> 00:01:58.280]  他和法老王尼戈來開戰
[00:01:58.280 --> 00:01:59.280]  結果被殺
[00:01:59.280 --> 00:02:01.120]  因著他的離世
[00:02:01.120 --> 00:02:04.280]  整個宗教改革就中斷
[00:02:04.280 --> 00:02:06.000]  而在離世之後
[00:02:06.000 --> 00:02:10.160]  猶大王國亦都很快步向亡國的命運
[00:02:10.160 --> 00:02:15.120]  出生於祭司家族的先知耶利米
[00:02:15.120 --> 00:02:19.400]  和猶大王約西亞是差不多同齡的
[00:02:19.400 --> 00:02:22.120]  所以兩個人可以說是同輩
[00:02:22.120 --> 00:02:24.120]  亦都可能是彼此的認識
[00:02:25.120 --> 00:02:27.120]  耶利米先知侍奉神的時候
[00:02:27.120 --> 00:02:29.080]  總共經歷過五個王
[00:02:29.080 --> 00:02:31.000]  包括了約西亞
[00:02:31.000 --> 00:02:32.080]  約克斯
[00:02:32.080 --> 00:02:33.120]  然後阿敬
[00:02:33.120 --> 00:02:34.000]  然後根
[00:02:34.000 --> 00:02:34.960]  西底加
[00:02:34.960 --> 00:02:39.440]  其餘四個都是約西亞王的兒子或孫子
[00:02:39.440 --> 00:02:43.680]  所以在耶利米先知書的信息裏面
[00:02:43.680 --> 00:02:46.880]  有一部份都是和約西亞王有關的
[00:02:46.880 --> 00:02:50.960]  在耶利米書三章六到十一節那一說
[00:02:51.800 --> 00:02:56.240]  先知指出在約西亞王做宗教改革的時候
[00:02:56.240 --> 00:02:58.000]  當時的百姓
[00:02:58.000 --> 00:02:59.960]  他們在神面前
[00:02:59.960 --> 00:03:03.400]  他們並不是真心地去跟從神
[00:03:03.400 --> 00:03:06.480]  所以先知說亡了國的以色列
[00:03:06.480 --> 00:03:09.160]  比猶大在神面前
[00:03:09.160 --> 00:03:11.520]  更加能夠被神所欣賞
[00:03:11.520 --> 00:03:16.760]  原因是當時王雖然很盡心竭力地推動百姓
[00:03:16.760 --> 00:03:18.720]  來重新回到神的那裡
[00:03:19.440 --> 00:03:22.000]  但不少的百姓
[00:03:22.000 --> 00:03:24.120]  只是表面地來跟從
[00:03:24.120 --> 00:03:26.920]  在心裏面並沒有真正的悔改
[00:03:26.920 --> 00:03:30.680]  難怪在約西亞王死了之後
[00:03:30.680 --> 00:03:33.280]  猶大王國很快就滅亡
[00:03:33.280 --> 00:03:35.640]  今天我講到的題目是
[00:03:35.640 --> 00:03:37.640]  要一心一意跟從神的王
[00:03:37.640 --> 00:03:41.240]  這句話是講出了這位王對神的心
[00:03:41.240 --> 00:03:44.760]  雖然這位王沒有辦法挽救他的國家
[00:03:44.760 --> 00:03:46.040]  但是
[00:03:46.040 --> 00:03:48.360]  他在神面前那份忠誠
[00:03:48.800 --> 00:03:50.560]  是我們每一個跟從主的人
