
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹的朋友,早晨
[00:00:02.000 --> 00:00:08.000]  在現場實體的,在網上的弟兄姊妹
[00:00:08.000 --> 00:00:12.000]  願意我們在神的面前一齊同心學習
[00:00:12.000 --> 00:00:14.000]  請領主跟我們說一句話
[00:00:14.000 --> 00:00:16.000]  我們一起低頭心祈禱
[00:00:16.000 --> 00:00:19.000]  神祈求您的靈來到我們眾人心裡面
[00:00:19.000 --> 00:00:23.000]  無論是我們在教會神的家裡面
[00:00:23.000 --> 00:00:25.000]  或者我們坐在家裡
[00:00:25.000 --> 00:00:28.000]  在自己的家裡跟弟兄姊妹一齊見拜
[00:00:28.000 --> 00:00:31.000]  求您的靈親自來到開啟我們的心
[00:00:31.000 --> 00:00:35.000]  讓我們有五星來聽神的要求和我們說的話
[00:00:35.000 --> 00:00:37.000]  多謝您聽我們祈禱
[00:00:37.000 --> 00:00:40.000]  奉耶穌基督的名求
[00:00:40.000 --> 00:00:48.000]  剛才講的題目其實都頗有壓力感
[00:00:48.000 --> 00:00:51.000]  裡面有幾個詞語,有使命
[00:00:51.000 --> 00:00:54.000]  我們都有一個大使命在我們身上
[00:00:54.000 --> 00:00:57.000]  我們做耶穌基督的精兵
[00:00:57.000 --> 00:01:03.000]  我們有延伸使命的託付
[00:01:03.000 --> 00:01:05.000]  好像過往一樣
[00:01:05.000 --> 00:01:12.000]  願意用一個問題來開始今天的訊息分享
[00:01:12.000 --> 00:01:16.000]  這幅圖片或這幅相片對你有沒有熟悉的感覺?
[00:01:16.000 --> 00:01:18.000]  有沒有人喜歡燒烤?
[00:01:18.000 --> 00:01:20.000]  後面的手舉都很高
[00:01:20.000 --> 00:01:22.000]  手舉都很多
[00:01:22.000 --> 00:01:24.000]  證明你跟我年紀差不多
[00:01:24.000 --> 00:01:28.000]  在我自己的成長中
[00:01:28.000 --> 00:01:32.000]  這種燒烤場面經常都會發生
[00:01:32.000 --> 00:01:34.000]  可能去旅行、去游泳
[00:01:34.000 --> 00:01:36.000]  帶著燒烤的用具
[00:01:36.000 --> 00:01:40.000]  一支叉在手,包一包很美味的食物出來
[00:01:40.000 --> 00:01:44.000]  圍爐燒烤是生命成長中一部分
[00:01:44.000 --> 00:01:47.000]  不可以忘記很多的片段
[00:01:47.000 --> 00:01:51.000]  希望在你的人生中有許多燒烤的場面
[00:01:51.000 --> 00:01:55.000]  令你今天有一些迴響、想法
[00:01:55.000 --> 00:01:59.000]  圍爐燒烤只用叉子不是唯一的方法
[00:01:59.000 --> 00:02:02.000]  我知道有些地方可以用鐵絲網放在這裡
[00:02:02.000 --> 00:02:04.000]  然後燒烤
[00:02:04.000 --> 00:02:06.000]  免得用叉子一件一件放在這裡
[00:02:06.000 --> 00:02:09.000]  但共通的地方是甚麼呢?
[00:02:09.000 --> 00:02:10.000]  無論你怎樣燒烤
[00:02:10.000 --> 00:02:11.000]  叉子燒烤也好
[00:02:11.000 --> 00:02:13.000]  放在網上燒烤也好
[00:02:13.000 --> 00:02:15.000]  共通的地方就是
[00:02:15.000 --> 00:02:18.000]  不可缺少的就有火
[00:02:18.000 --> 00:02:21.000]  紅紅的烈火,有聲音
[00:02:21.000 --> 00:02:23.000]  燒柴也好,燒炭也好
[00:02:23.000 --> 00:02:27.000]  總是有聲音,聽起來很清脆
[00:02:27.000 --> 00:02:29.000]  令到香味的聲音
[00:02:29.000 --> 00:02:34.000]  令到燒烤的感受是很特別、很濃郁
[00:02:34.000 --> 00:02:41.000]  跟其他用廚房燒的煎的豹有少許不同
[00:02:41.000 --> 00:02:43.000]  這個火上一課
[00:02:43.000 --> 00:02:47.000]  上星期如果你有聽到Pastor Allen的講道
[00:02:47.000 --> 00:02:49.000]  火燒了一段時間後
[00:02:49.000 --> 00:02:51.000]  那些炭會聚在一起
[00:02:51.000 --> 00:02:55.000]  裡面的氧氣不夠,那怎麼辦?
[00:02:55.000 --> 00:02:59.000]  火慢慢會蔓蔓蔓蔓,不夠火氣
[00:02:59.000 --> 00:03:01.000]  上次Pastor Allen說
[00:03:01.000 --> 00:03:03.000]  保羅好像給了一支叉子
[00:03:03.000 --> 00:03:07.000]  或者一具鐵的用品給譚摩泰
[00:03:07.000 --> 00:03:10.000]  叫他移動一下那些火
[00:03:10.000 --> 00:03:12.000]  保羅在上次跟譚摩泰說
[00:03:12.000 --> 00:03:16.000]  我提醒你要將神所給你的恩賜
[00:03:16.000 --> 00:03:20.000]  好像火一樣,再一次挑旺起來
[00:03:20.000 --> 00:03:28.000]  慢慢減弱,甚至乎瀕臨熄滅的柴火、炭火
[00:03:28.000 --> 00:03:30.000]  再一次挑旺起來
[00:03:30.000 --> 00:03:33.000]  就是上星期的訊息
[00:03:33.000 --> 00:03:37.000]  保羅希望他的淑蓮兒子譚摩泰
[00:03:37.000 --> 00:03:39.000]  可以藉著他的提醒
[00:03:39.000 --> 00:03:44.000]  再一次挑旺這個慈奉的火
[00:03:44.000 --> 00:03:46.000]  無論保羅多努力
[00:03:46.000 --> 00:03:49.000]  無論譚摩泰多努力
[00:03:49.000 --> 00:03:54.000]  這個火漸漸會暗然下來
[00:03:54.000 --> 00:03:59.000]  漸漸瀕臨熄滅的邊緣
[00:03:59.000 --> 00:04:05.000]  如果譚摩泰是保羅唯一的門徒
[00:04:05.000 --> 00:04:07.000]  無論譚摩泰多努力
[00:04:07.000 --> 00:04:09.000]  再一次挑旺這個火
[00:04:09.000 --> 00:04:15.000]  至終都會去面對熄滅的情況
[00:04:15.000 --> 00:04:18.000]  今天要繼續讀的經文就是
[00:04:18.000 --> 00:04:22.000]  《譚摩泰後書》第二章一至七節的幾節經文
[00:04:22.000 --> 00:04:25.000]  藉著經文我們希望看看
[00:04:25.000 --> 00:04:28.000]  究竟保羅心裡面所記掛的
[00:04:28.000 --> 00:04:31.000]  除了譚摩泰他的淑蓮兒子之外
[00:04:31.000 --> 00:04:34.000]  還有些什麼事情
[00:04:34.000 --> 00:04:39.000]  題目我們給他做一個延伸使命的精兵
[00:04:39.000 --> 00:04:42.000]  包括保羅包括譚摩泰
[00:04:42.000 --> 00:04:46.000]  今天七節經文我們分開四段來一起去看
[00:04:46.000 --> 00:04:49.000]  保羅和譚摩泰是互相互為同工
[00:04:49.000 --> 00:04:51.000]  他彼此有一個激勵
[00:04:51.000 --> 00:04:53.000]  他除了是司徒
[00:04:53.000 --> 00:04:56.000]  除了是同工之外
[00:04:56.000 --> 00:04:57.000]  還有司徒的關係
[00:04:57.000 --> 00:05:00.000]  在歷代的司徒傳承裡面
[00:05:00.000 --> 00:05:01.000]  如果是承傳的裡面
[00:05:01.000 --> 00:05:05.000]  一定要一代一代怎麼樣去承傳這個司徒關係
[00:05:05.000 --> 00:05:07.000]  保羅和譚摩泰和我們每一個都是精兵
[00:05:07.000 --> 00:05:10.000]  我們的衛生有什麼特別的態度需要留心
[00:05:10.000 --> 00:05:12.000]  然後我們在信心侍奉上面
[00:05:12.000 --> 00:05:17.000]  今天最後要一起反思
[00:05:17.000 --> 00:05:20.000]  除了同工的激勵
[00:05:20.000 --> 00:05:22.000]  保羅和譚摩泰說
[00:05:22.000 --> 00:05:26.000]  他說我兒啊
