
[00:00:00.000 --> 00:00:05.520]  我們過往兩講都是講到在過年前後
[00:00:05.520 --> 00:00:09.280]  無論從生肖或是送舊迎新
[00:00:09.280 --> 00:00:14.400]  來講在職場我們心境的轉變
[00:00:14.400 --> 00:00:17.440]  希望帶來我們工作上的進步
[00:00:17.440 --> 00:00:20.680]  以及我們整個人的well-being
[00:00:20.680 --> 00:00:25.120]  今天文雞喜舞應節
[00:00:25.120 --> 00:00:32.240]  雖然今年應該是年二十
[00:00:32.240 --> 00:00:34.320]  都是屬於正月
[00:00:34.320 --> 00:00:36.320]  都是新春
[00:00:36.320 --> 00:00:39.760]  不過三個新年都過
[00:00:39.760 --> 00:00:42.800]  我們中國人過三個新年
[00:00:42.800 --> 00:00:44.560]  一月一日一過
[00:00:44.560 --> 00:00:47.360]  然後年初一一過
[00:00:47.360 --> 00:00:52.160]  還有二十四個節氣的第一個節氣
[00:00:52.160 --> 00:00:54.480]  立春又另一個
[00:00:54.480 --> 00:00:59.280]  因為立春今年好像是年初七人日
[00:00:59.280 --> 00:01:01.840]  所以過了年初七人日
[00:01:01.840 --> 00:01:06.320]  才叫做年真正過了
[00:01:06.320 --> 00:01:08.000]  中國人很特別的
[00:01:08.000 --> 00:01:10.320]  就是每年用一種動物
[00:01:10.320 --> 00:01:14.000]  來作為那一年的一個表徵
[00:01:14.000 --> 00:01:16.640]  當然我們站在基督徒角度
[00:01:16.640 --> 00:01:19.040]  我們就不講生肖
[00:01:19.040 --> 00:01:20.960]  基督徒很多時候
[00:01:20.960 --> 00:01:23.600]  別人問你是屬什麼的
[00:01:23.600 --> 00:01:26.480]  絕大部分我是屬羊的
[00:01:26.480 --> 00:01:28.240]  因為高羊
[00:01:28.240 --> 00:01:29.760]  我們屬羊的
[00:01:29.760 --> 00:01:32.240]  或者我們屬主的
[00:01:32.240 --> 00:01:34.800]  主十二生肖裡面沒有的
[00:01:34.800 --> 00:01:35.920]  好像貓一樣
[00:01:35.920 --> 00:01:38.400]  主耶穌是高過一切
[00:01:38.400 --> 00:01:42.000]  不過我們可以這麼說
[00:01:42.000 --> 00:01:43.840]  既然每年
[00:01:43.840 --> 00:01:46.640]  全世界的文化裡面
[00:01:46.640 --> 00:01:48.640]  包括美國總統
[00:01:48.640 --> 00:01:51.120]  包括菲律賓總統
[00:01:51.120 --> 00:01:53.920]  包括英國的首相
[00:01:53.920 --> 00:01:58.480]  都用當年的生肖動物
[00:01:58.480 --> 00:02:01.360]  來祝福當地的華人
[00:02:01.360 --> 00:02:03.920]  或者祝福世界的人
[00:02:03.920 --> 00:02:05.920]  譬如我記得牛年
[00:02:05.920 --> 00:02:08.720]  英國的首相就曾經這樣說
[00:02:08.720 --> 00:02:11.680]  他說牛在中國人的文化裡面
[00:02:11.680 --> 00:02:15.120]  代表辛勤勞力
[00:02:15.120 --> 00:02:17.360]  他說希望前一年
[00:02:17.360 --> 00:02:20.960]  經濟雖然預測是一般般
[00:02:20.960 --> 00:02:22.960]  但是我們如果能夠
[00:02:22.960 --> 00:02:25.520]  好像中國人所說的牛
[00:02:25.520 --> 00:02:28.800]  有這種努力辛勤的精神
[00:02:28.800 --> 00:02:31.520]  任何逆境都能夠克服
[00:02:31.520 --> 00:02:34.000]  所以我覺得有時候
[00:02:34.000 --> 00:02:36.000]  這些生肖
[00:02:36.000 --> 00:02:39.360]  我們撇除他的迷信部分
[00:02:39.360 --> 00:02:42.400]  我們好像看醫學預言一樣
[00:02:42.400 --> 00:02:45.920]  從動物可以有德行的提醒
[00:02:45.920 --> 00:02:48.480]  也有屬靈的提醒
[00:02:48.480 --> 00:02:50.480]  譬如在這個羊
[00:02:50.480 --> 00:02:54.000]  我們看這個針研的時候
[00:02:54.000 --> 00:02:55.600]  提醒人勤力
[00:02:55.600 --> 00:02:56.640]  是用什麼呢?
[00:02:56.640 --> 00:02:58.320]  是用螞蟻
[00:02:58.320 --> 00:03:00.320]  他說你們懶惰的人
[00:03:00.320 --> 00:03:01.520]  你看看螞蟻
[00:03:01.520 --> 00:03:04.000]  你就知道什麼叫做勤力了
[00:03:04.000 --> 00:03:06.160]  你有沒有見過螞蟻
[00:03:06.160 --> 00:03:09.360]  在日光底下曬太陽躺著
[00:03:09.360 --> 00:03:11.760]  如果有的話就是死了
[00:03:11.760 --> 00:03:14.800]  如果你要見一隻活生生的螞蟻
[00:03:14.800 --> 00:03:16.800]  就一定是動來動去
[00:03:16.800 --> 00:03:18.560]  除非天氣冷
[00:03:18.560 --> 00:03:21.520]  否則它就四處
[00:03:21.520 --> 00:03:24.080]  連你剩下的餅乾碎
[00:03:24.080 --> 00:03:26.320]  它都會擔到它的籌
[00:03:26.320 --> 00:03:27.840]  未雨綢繆
[00:03:27.840 --> 00:03:30.640]  和為未來來謀生
[00:03:30.640 --> 00:03:32.880]  所以我覺得我們
[00:03:32.880 --> 00:03:34.880]  從每一年的生肖
[00:03:34.880 --> 00:03:36.240]  是對那一年
[00:03:36.240 --> 00:03:37.840]  我們在德行上
[00:03:37.840 --> 00:03:40.240]  和在靈命上的提醒
[00:03:40.240 --> 00:03:42.240]  都是好的
[00:03:42.240 --> 00:03:46.720]  我每年到新村去講的時候
[00:03:46.720 --> 00:03:49.200]  我都做很多研究
[00:03:49.200 --> 00:03:53.120]  我去找找有關這個生肖動物
[00:03:53.120 --> 00:03:56.320]  有多少聖經的經文
[00:03:56.320 --> 00:04:01.520]  找找有關這個生肖動物的成語有多少
[00:04:01.520 --> 00:04:04.320]  找找這個生肖動物裏面
[00:04:04.320 --> 00:04:09.200]  在文化的不同層面的表達是怎樣
[00:04:09.200 --> 00:04:11.680]  經過研究之後
[00:04:11.680 --> 00:04:15.760]  我從文化角度歸納為四類
[00:04:15.760 --> 00:04:17.760]  有關雞方面
[00:04:17.760 --> 00:04:18.640]  第一
[00:04:18.640 --> 00:04:20.640]  雞在成語方面
[00:04:20.640 --> 00:04:24.320]  是一個平庸的鳥禽
[00:04:24.320 --> 00:04:26.320]  它不像鳳一樣
[00:04:26.320 --> 00:04:32.080]  成為中國吉祥的徵兆
[00:04:32.080 --> 00:04:35.120]  很少人說拿隻雞出來代表吉祥
[00:04:35.120 --> 00:04:40.880]  除非你新年在東北的槍花上
[00:04:40.880 --> 00:04:42.880]  貼一隻公雞
[00:04:42.880 --> 00:04:44.880]  就有吉祥之兆
[00:04:44.880 --> 00:04:48.000]  雞和犬有很多成語
[00:04:48.000 --> 00:04:52.240]  我發現有百多個成語
[00:04:52.240 --> 00:04:54.240]  都和雞有關係
[00:04:54.240 --> 00:04:56.720]  雞和犬你會聯想到甚麼
