
[00:00:00.000 --> 00:00:03.800]  多謝珮常姊妹跟我們有一個這麼美好的競拜
[00:00:03.800 --> 00:00:07.900]  她的詩歌很配合今天講到的經文
[00:00:07.900 --> 00:00:09.500]  或者我都應該考慮
[00:00:09.500 --> 00:00:14.500]  應該用一個Shu Win做題目可能更加吸引
[00:00:14.500 --> 00:00:18.800]  不知道大家有沒有聽過
[00:00:18.800 --> 00:00:22.700]  諸葛亮的《空城計》這個故事呢?
[00:00:22.700 --> 00:00:23.900]  有吧?
[00:00:23.900 --> 00:00:26.300]  有些人可能還沒聽過
[00:00:26.300 --> 00:00:28.700]  話說《三國》的時候
[00:00:28.700 --> 00:00:33.000]  蜀國的丞相諸葛亮他因為突然用錯人了
[00:00:33.000 --> 00:00:38.100]  就搞到在一場叫做「佳亭之戰」那裡
[00:00:38.100 --> 00:00:39.800]  就被魏軍大敗
[00:00:39.800 --> 00:00:43.200]  失去了重要的陣地佳亭
[00:00:43.200 --> 00:00:46.200]  之後他們就剩下2500個士兵
[00:00:46.200 --> 00:00:48.700]  就駐守西城縣
[00:00:48.700 --> 00:00:53.600]  而這個時候魏國的名將司馬懿就率領15萬的大軍
[00:00:53.600 --> 00:00:56.700]  向著西城蜂擁而來
[00:00:56.700 --> 00:00:59.900]  諸葛亮身邊一個大將都沒有
[00:00:59.900 --> 00:01:02.300]  只剩下那幫文官
[00:01:02.300 --> 00:01:06.600]  當那幫官大家都大驚失色的時候
[00:01:06.600 --> 00:01:09.700]  諸葛亮就立刻傳令下去
[00:01:09.700 --> 00:01:13.100]  他說要將所有的星旗都要收起來
[00:01:13.100 --> 00:01:17.000]  士兵要守住城上的各個哨崗
[00:01:17.000 --> 00:01:20.800]  如果有隨便出入城門和大聲說話的話
[00:01:20.800 --> 00:01:22.500]  殺!
[00:01:22.500 --> 00:01:24.700]  要大開四個城門
[00:01:24.700 --> 00:01:29.900]  每個城門只是用20個士兵來扮作百姓
[00:01:29.900 --> 00:01:32.600]  在打掃街道
[00:01:32.600 --> 00:01:34.100]  偽兵來到的時候
[00:01:34.100 --> 00:01:36.000]  大家不要動
[00:01:36.000 --> 00:01:37.300]  大家冷靜
[00:01:37.300 --> 00:01:40.300]  我自有計謀對付的了
[00:01:40.300 --> 00:01:42.700]  司馬懿聽到這個消息之後
[00:01:42.700 --> 00:01:46.100]  就立刻命令軍隊停止前進
[00:01:46.100 --> 00:01:48.800]  自己就快馬加鞭去那裡看看
[00:01:48.800 --> 00:01:50.300]  看清楚
[00:01:50.300 --> 00:01:54.400]  果然就見諸葛亮坐在城樓上那裡
[00:01:54.400 --> 00:01:56.200]  笑容可菊
[00:01:56.200 --> 00:01:57.900]  焚香彈琴
[00:01:57.900 --> 00:02:02.400]  左右都還有一個少年在那裡服侍他
[00:02:02.400 --> 00:02:04.200]  而城門內外
[00:02:04.200 --> 00:02:06.900]  就只有20多個百姓而已
[00:02:06.900 --> 00:02:08.300]  他們都在那裡低頭
[00:02:08.300 --> 00:02:09.800]  很細心地在那裡打掃
[00:02:09.800 --> 00:02:12.200]  旁若無人
[00:02:12.200 --> 00:02:13.500]  司馬懿看到之後
[00:02:13.500 --> 00:02:15.200]  他就懷疑
[00:02:15.200 --> 00:02:17.800]  城裡面一定是有重兵駐守
[00:02:17.800 --> 00:02:21.700]  立刻就指揮部隊撤退了
[00:02:21.700 --> 00:02:24.500]  諸葛亮一看到那些偽軍走了之後
[00:02:24.500 --> 00:02:26.000]  就哈哈大笑
[00:02:26.000 --> 00:02:28.900]  那些官員就很奇怪
[00:02:28.900 --> 00:02:30.100]  丞相丞相
[00:02:30.100 --> 00:02:33.500]  這個司馬懿都說了是偽國的名將
[00:02:33.500 --> 00:02:37.300]  加上他還帶著15萬的大軍來到我們這裡
[00:02:37.300 --> 00:02:41.100]  為什麼一看到你就慌忙撤退呢?
[00:02:41.100 --> 00:02:42.900]  諸葛亮就說
[00:02:42.900 --> 00:02:47.300]  因為他知道我平生都是一個很謹慎的人
[00:02:47.300 --> 00:02:49.200]  從來都不冒險的
[00:02:49.200 --> 00:02:54.600]  他見我們這麼鎮定就懷疑裡面一定是有重兵埋伏
[00:02:54.600 --> 00:02:56.400]  所以就退去
[00:02:56.400 --> 00:02:59.200]  他說其實我都不是在冒險
[00:02:59.200 --> 00:03:02.100]  但是我不得不這樣做
[00:03:02.100 --> 00:03:04.900]  大家就很敬佩丞相
[00:03:04.900 --> 00:03:07.100]  他說丞相你的計謀
[00:03:07.100 --> 00:03:09.700]  真的連鬼神都估計不到
[00:03:09.700 --> 00:03:11.600]  他說如果我們來指揮的話
[00:03:11.600 --> 00:03:14.800]  一定會犧牲就逃跑了
[00:03:14.800 --> 00:03:15.900]  諸葛亮說
[00:03:15.900 --> 00:03:17.900]  我們只剩下2500人
[00:03:17.900 --> 00:03:20.600]  如果我們真的犧牲逃走的話
[00:03:20.600 --> 00:03:21.700]  走沒多遠
[00:03:21.700 --> 00:03:23.400]  偽軍就已經追來了
[00:03:23.400 --> 00:03:27.400]  到時候我們真的死定了
[00:03:27.400 --> 00:03:32.700]  昔日諸葛亮就用這個空城計來嚇走偽軍
[00:03:32.700 --> 00:03:35.200]  但是他這個空城計可以說
[00:03:35.200 --> 00:03:39.700]  其實是在沒有勝數的把之下博一鋪
[00:03:39.700 --> 00:03:43.300]  但是今天我們要看一場更加是空前絕後
[00:03:43.300 --> 00:03:46.700]  勝券在握 sure win 的戰爭
[00:03:46.700 --> 00:03:49.000]  他所運用的策略
[00:03:49.000 --> 00:03:51.300]  就算是著名的孫子兵法
[00:03:51.300 --> 00:03:56.400]  或者全世界所有的兵書的戰略集合起來
[00:03:56.400 --> 00:03:59.300]  都難以跟他相提並論
[00:03:59.300 --> 00:04:02.800]  我們今天要看一場更加厲害的戰爭
[00:04:02.800 --> 00:04:06.700]  講少少這場戰爭的背景
[00:04:06.700 --> 00:04:08.500]  約書亞記第六章
[00:04:08.500 --> 00:04:12.200]  話說約書亞他原來是摩西的幫手
[00:04:12.200 --> 00:04:14.200]  也是他的接班人
[00:04:14.200 --> 00:04:15.900]  但是摩西死了之後
[00:04:15.900 --> 00:04:19.200]  神就簡選約書亞和呼召他
[00:04:19.200 --> 00:04:21.800]  來帶領以色列人去征服
[00:04:21.800 --> 00:04:25.700]  上帝應許他們的迦南美地
[00:04:25.700 --> 00:04:29.000]  耶利哥是他們第一個去征服的地方
[00:04:29.000 --> 00:04:31.600]  他出征耶利哥之前
[00:04:31.600 --> 00:04:36.700]  約書亞他就派了兩個探子去窺探耶利哥城
[00:04:36.700 --> 00:04:40.200]  他遇到一個妓女救了這兩個探子
[00:04:40.200 --> 00:04:43.100]  他在這個妓女拉合口中就聽到
[00:04:43.100 --> 00:04:48.000]  原來耶利哥的人對以色列人可以說是聞風喪膽
[00:04:48.000 --> 00:04:50.600]  在這裡拉合這樣說
[00:04:50.600 --> 00:04:54.000]  我知道耶和華已經將這個地方賜給你們了
[00:04:54.000 --> 00:04:56.700]  你們使我們好 十分害怕
[00:04:56.700 --> 00:05:01.100]  這個地方所有的居民都在你們面前膽戰心驚
[00:05:01.100 --> 00:05:04.200]  因為我們聽見你們從埃及出來的時候
[00:05:04.200 --> 00:05:06.700]  耶和華怎樣洗紅海的水
[00:05:06.700 --> 00:05:08.500]  在你們面前乾了
[00:05:08.500 --> 00:05:11.900]  以及你們怎樣對付約旦河東
[00:05:11.900 --> 00:05:14.800]  亞摩利人的兩個王 西弘和鄂
[00:05:14.800 --> 00:05:16.500]  將他們完全消滅
[00:05:16.500 --> 00:05:19.200]  我們聽見就心裡驚怕
[00:05:19.200 --> 00:05:22.800]  沒有一個人再有勇氣在你們面前站立
[00:05:22.800 --> 00:05:25.800]  因為耶和華你們的神是天上
[00:05:25.800 --> 00:05:29.200]  也是地上的神
[00:05:29.200 --> 00:05:34.000]  原來耶利哥人聽到以色列人已經害怕了
[00:05:34.000 --> 00:05:36.200]  現在讓我們一起來看看
[00:05:36.200 --> 00:05:39.500]  這場耶利哥的戰爭是怎樣的呢
[00:05:39.500 --> 00:05:42.100]  它有幾樣很不尋常的地方
[00:05:42.100 --> 00:05:44.400]  我們一一的來看看
[00:05:44.400 --> 00:05:47.100]  第一個很奇特的地方就是
[00:05:47.100 --> 00:05:51.000]  有兩次未戰而勝的宣告
[00:05:51.000 --> 00:05:55.300]  其實以色列人還沒有和耶利哥人
[00:05:55.300 --> 00:05:57.300]  賣身去拼搏
[00:05:57.300 --> 00:05:59.200]  還沒有短兵相接
[00:05:59.200 --> 00:06:01.400]  但是已經兩次來宣告
[00:06:01.400 --> 00:06:04.000]  Sure winner 一定勝利
[00:06:04.000 --> 00:06:07.200]  一次就是由耶和華來宣告
[00:06:07.200 --> 00:06:09.200]  一次就是約旦河
