
[00:00:00.000 --> 00:00:02.000]  在《勞家方》第九章裏面
[00:00:02.000 --> 00:00:06.800]  我們開始要講回我們上星期不夠時間講的段落
[00:00:06.800 --> 00:00:08.300]  我們再講《勞家方》
[00:00:08.300 --> 00:00:12.300]  如果我們逐個故事逐個歷史去講的話
[00:00:12.300 --> 00:00:13.500]  是很容易的事情
[00:00:13.500 --> 00:00:19.100]  但是我們怎樣去貫穿了整個《勞家方》的記載
[00:00:19.100 --> 00:00:21.000]  究竟《勞家》想講些什麼
[00:00:21.000 --> 00:00:23.100]  就是一件困難的事情
[00:00:23.100 --> 00:00:24.500]  因為我們就這樣看的時候
[00:00:24.500 --> 00:00:28.300]  好像《勞家》是將不同的片段堆砌了下來
[00:00:28.300 --> 00:00:30.300]  但是實際上它是有目的的
[00:00:30.300 --> 00:00:32.300]  我們看看我們上星期提到
[00:00:32.300 --> 00:00:35.300]  整個《勞家方》第八章到第九章
[00:00:35.300 --> 00:00:37.700]  從這幅圖表裏面就看到
[00:00:37.700 --> 00:00:40.700]  在第八章一到二十一節
[00:00:40.700 --> 00:00:42.500]  是怎樣去聆聽
[00:00:42.500 --> 00:00:45.200]  如何去聆聽上帝的話語
[00:00:45.200 --> 00:00:50.500]  接著八章二十二到二十六節是講學習信心
[00:00:50.500 --> 00:00:52.500]  而真正實踐出來
[00:00:52.500 --> 00:00:55.100]  去到第九章第一節到第六節
[00:00:55.100 --> 00:00:58.700]  就是門道被拆開出去傳福音的過程
[00:00:58.700 --> 00:01:01.000]  這個講起來很複雜
[00:01:01.000 --> 00:01:03.000]  但是做起來很簡單
[00:01:03.000 --> 00:01:05.000]  講要花很長的時間
[00:01:05.000 --> 00:01:07.000]  做是非常之快速
[00:01:07.000 --> 00:01:13.800]  我想分享我們教會最近發生的事情
[00:01:13.800 --> 00:01:15.400]  讓電視節目知道
[00:01:15.400 --> 00:01:18.000]  成為了你的鼓勵和激勵
[00:01:18.000 --> 00:01:19.100]  在上個星期日
[00:01:19.100 --> 00:01:22.800]  我們下午去了醫院
[00:01:22.800 --> 00:01:27.800]  也去了一個家庭幫助兩個弟兄姊妹的爸爸
[00:01:27.800 --> 00:01:29.800]  有一個浸禮
[00:01:29.800 --> 00:01:32.800]  我們看到弟兄姊妹很熱切
[00:01:32.800 --> 00:01:34.800]  帶領他們家人信主
[00:01:34.800 --> 00:01:35.800]  不單止是這樣
[00:01:35.800 --> 00:01:38.300]  在旁邊的弟兄姊妹也很熱心
[00:01:38.300 --> 00:01:41.800]  很主動地出席這個浸禮
[00:01:41.800 --> 00:01:43.800]  帶給他們家人一個鼓勵
[00:01:43.800 --> 00:01:47.800]  我們看到弟兄姊妹這種熱切的傳福音過程裏
[00:01:47.800 --> 00:01:50.300]  就經歷到這段經文所講的
[00:01:50.300 --> 00:01:53.800]  信心和怎樣聆聽到上帝的聲音
[00:01:53.800 --> 00:01:57.300]  其中在醫院的病患者
[00:01:57.300 --> 00:02:00.300]  我們星期日下午幫他進行一個水禮之後
[00:02:00.300 --> 00:02:02.800]  星期二就離開了世界
[00:02:02.800 --> 00:02:04.800]  弟兄姊妹和你鄰居說一聲
[00:02:04.800 --> 00:02:06.800]  你要趕快傳福音
[00:02:06.800 --> 00:02:10.800]  我不是說你旁邊的人隨時會死
[00:02:10.800 --> 00:02:14.800]  我說的是我們的機會可以很快就過去
[00:02:14.800 --> 00:02:16.800]  如果有回來父親祈禱會的弟兄姊妹
[00:02:16.800 --> 00:02:18.300]  可能你星期二晚
[00:02:18.300 --> 00:02:19.800]  星期三晚
[00:02:19.800 --> 00:02:22.800]  跟你鄰居說一聲
[00:02:22.800 --> 00:02:24.800]  你錯過了這次父親祈禱會
[00:02:24.800 --> 00:02:26.800]  是你人生最大的遺憾
[00:02:26.800 --> 00:02:27.800]  我跟你說一聲
[00:02:27.800 --> 00:02:28.800]  你錯過了這次父親祈禱會
[00:02:28.800 --> 00:02:30.800]  是你人生最大的遺憾
[00:02:30.800 --> 00:02:31.800]  我為什麼這樣說呢
[00:02:31.800 --> 00:02:33.800]  因為在父親祈禱會
[00:02:33.800 --> 00:02:34.800]  我們除了經歷到
[00:02:34.800 --> 00:02:38.800]  這次我們真的很熱切地
[00:02:38.800 --> 00:02:41.800]  每一晚都經歷到上帝的臨在之外
[00:02:41.800 --> 00:02:44.800]  其實在星期三晚
[00:02:44.800 --> 00:02:46.800]  有一個出席者
[00:02:46.800 --> 00:02:50.800]  師母在這一個多月裡
[00:02:50.800 --> 00:02:52.800]  都很頻密地去到家裡
[00:02:52.800 --> 00:02:54.800]  幫她媽媽浸禮
[00:02:54.800 --> 00:02:56.800]  接著幫她兒子浸禮
[00:02:56.800 --> 00:03:02.800]  整個家庭都在遺傳病的煎熬和痛苦當中
[00:03:02.800 --> 00:03:05.800]  到星期三晚她兒子回來之後
[00:03:05.800 --> 00:03:07.800]  星期四上午
[00:03:07.800 --> 00:03:10.800]  我們上午有品格營收到消息
[00:03:10.800 --> 00:03:13.800]  他在家裡離開了世界
[00:03:13.800 --> 00:03:16.800]  我們知道今天
[00:03:16.800 --> 00:03:19.800]  我們確實在整個傳播的過程裡
[00:03:19.800 --> 00:03:23.800]  我們的信仰才能夠被操練出來
[00:03:23.800 --> 00:03:25.800]  所以只有查經
[00:03:25.800 --> 00:03:28.800]  沒有行動是死的
[00:03:28.800 --> 00:03:30.800]  如果你要改寫亞國書的話
[00:03:30.800 --> 00:03:33.800]  我們只是說我們有信心
[00:03:33.800 --> 00:03:35.800]  我們沒有實際走出來
[00:03:35.800 --> 00:03:37.800]  只是死的信仰
[00:03:37.800 --> 00:03:40.800]  所以你看到今天是很悲哀的
[00:03:40.800 --> 00:03:43.800]  但是我朋友鄧英姐妹
[00:03:43.800 --> 00:03:45.800]  鄧英姐妹說
[00:03:45.800 --> 00:03:49.800]  在這個世代你是很重要的
[00:03:49.800 --> 00:03:51.800]  為什麼我這麼說呢
[00:03:51.800 --> 00:03:53.800]  我這麼說是因為你是黃皮膚
[00:03:53.800 --> 00:03:55.800]  不是因為你是基督徒
[00:03:55.800 --> 00:03:59.800]  我朋友從日內瓦回來
[00:03:59.800 --> 00:04:01.800]  他跟我說日內瓦有三個語言區
[00:04:01.800 --> 00:04:03.800]  分了德國語言的
[00:04:03.800 --> 00:04:05.800]  法國語言的
[00:04:05.800 --> 00:04:09.800]  荷蘭語言的地區
[00:04:09.800 --> 00:04:11.800]  去到法語區裡面
[00:04:11.800 --> 00:04:12.800]  十年前
[00:04:12.800 --> 00:04:14.800]  華人去到那裡是沒有教會的
[00:04:14.800 --> 00:04:16.800]  沒有華人教會
[00:04:16.800 --> 00:04:19.800]  就去了講法文的教堂裡面
[00:04:19.800 --> 00:04:21.800]  他們不懂法文就坐在那裡
[00:04:21.800 --> 00:04:22.800]  就差不多崇拜
[00:04:22.800 --> 00:04:24.800]  十年後今天
[00:04:24.800 --> 00:04:26.800]  日內瓦法語區
[00:04:26.800 --> 00:04:31.800]  是一間西人教會也沒有
[00:04:31.800 --> 00:04:33.800]  這是很荒涼的事情
[00:04:33.800 --> 00:04:35.800]  鄧英姐妹你想像一下
[00:04:35.800 --> 00:04:36.800]  整個青衣島
[00:04:36.800 --> 00:04:37.800]  荃灣區
[00:04:37.800 --> 00:04:38.800]  葵青區
[00:04:38.800 --> 00:04:41.800]  十年後一間教會也沒有
[00:04:41.800 --> 00:04:43.800]  是很恐怖的事情
[00:04:43.800 --> 00:04:44.800]  而今天
[00:04:44.800 --> 00:04:45.800]  倒轉十年後的今天
[00:04:45.800 --> 00:04:47.800]  有一間華人教會
[00:04:47.800 --> 00:04:49.800]  但是不懂聽華語的
[00:04:49.800 --> 00:04:51.800]  講法語的人
[00:04:51.800 --> 00:04:53.800]  坐進去教會
[00:04:53.800 --> 00:04:55.800]  聽不明白
[00:04:55.800 --> 00:04:56.800]  但是也想感受一下
[00:04:56.800 --> 00:04:58.800]  什麼叫做敬拜
[00:04:58.800 --> 00:04:59.800]  鄧英姐妹
[00:04:59.800 --> 00:05:00.800]  我想說
[00:05:00.800 --> 00:05:01.800]  你只是個人主義
[00:05:01.800 --> 00:05:03.800]  享受自己查經
[00:05:03.800 --> 00:05:04.800]  享受自己幾個人
[00:05:04.800 --> 00:05:06.800]  唯唯樂樂
[00:05:06.800 --> 00:05:07.800]  叫做開心
[00:05:07.800 --> 00:05:08.800]  幾個人走在一起
[00:05:08.800 --> 00:05:09.800]  就叫做教會
[00:05:09.800 --> 00:05:10.800]  我告訴你
[00:05:10.800 --> 00:05:12.800]  這是一個I世代
[00:05:12.800 --> 00:05:14.800]  自己定義所有的東西
[00:05:14.800 --> 00:05:16.800]  但是我們回到聖經那裡
[00:05:16.800 --> 00:05:18.800]  你可以享樂在這個世代裡面
[00:05:18.800 --> 00:05:20.800]  但是下一代已經沒有了
[00:05:20.800 --> 00:05:22.800]  在日內瓦
[00:05:22.800 --> 00:05:23.800]  曾經在宗教改革
[00:05:23.800 --> 00:05:25.800]  一個這麼重要的地方
[00:05:25.800 --> 00:05:28.800]  今天整個信仰已經沒落了
[00:05:28.800 --> 00:05:32.800]  因為信徒是唯唯樂樂過日子
[00:05:32.800 --> 00:05:35.800]  幾個人崇拜不重要
[00:05:35.800 --> 00:05:37.800]  完了就喝茶才重要
[00:05:37.800 --> 00:05:39.800]  沒有再傳福音了
[00:05:39.800 --> 00:05:40.800]  幾個人就說是教會了
[00:05:40.800 --> 00:05:42.800]  沒有再傳福音了
[00:05:42.800 --> 00:05:43.800]  我想說
[00:05:43.800 --> 00:05:44.800]  這樣的教會定義
[00:05:44.800 --> 00:05:46.800]  只會害死所有人
