
[00:00:00.000 --> 00:00:04.000]  大家都聽過皇帝的新衣的故事
[00:00:04.000 --> 00:00:07.000]  一個應該沒有人沒聽過的故事
[00:00:07.000 --> 00:00:11.000]  故事大概說一個皇帝被人騙了
[00:00:11.000 --> 00:00:15.000]  以為穿著一件只有聰明人才看到的外衣
[00:00:15.000 --> 00:00:17.000]  很厲害地走在街上
[00:00:17.000 --> 00:00:20.000]  殊不知原來他是沒有穿衣服的
[00:00:20.000 --> 00:00:23.000]  本來他應該是充滿羞辱的
[00:00:23.000 --> 00:00:26.000]  但卻以為自己很厲害地走在地上
[00:00:26.000 --> 00:00:28.000]  這個故事大家聽過
[00:00:28.000 --> 00:00:30.000]  不過大家有沒有聽過一個
[00:00:30.000 --> 00:00:33.000]  剛剛和這個故事相反的故事呢
[00:00:33.000 --> 00:00:36.000]  就是說原來有一個人
[00:00:36.000 --> 00:00:42.000]  穿著很華麗很漂亮的衣服
[00:00:42.000 --> 00:00:49.000]  卻是原來以為自己沒有穿衣服
[00:00:49.000 --> 00:00:51.000]  大家有沒有聽過這樣的故事
[00:00:51.000 --> 00:00:53.000]  不會這樣吧
[00:00:53.000 --> 00:00:55.000]  不過如果大家仔細想一層
[00:00:55.000 --> 00:01:00.000]  其實福音的故事豈不是有這樣的故事
[00:01:00.000 --> 00:01:02.000]  聖經告訴我們我們所信的神
[00:01:02.000 --> 00:01:05.000]  是萬主之主萬王之王
[00:01:05.000 --> 00:01:09.000]  而這個皇帝賜給每一個信他的人
[00:01:09.000 --> 00:01:13.000]  一件很高貴華麗的外衣
[00:01:13.000 --> 00:01:17.000]  不過很多時候我們走在人生路上的時候
[00:01:17.000 --> 00:01:19.000]  都忘記了這件外衣
[00:01:19.000 --> 00:01:21.000]  以為我們沒有穿衣服
[00:01:21.000 --> 00:01:25.000]  所以我們行事為人很多時候都不能夠活出
[00:01:25.000 --> 00:01:29.000]  這個新的生命應該給到我們的尊貴
[00:01:29.000 --> 00:01:30.000]  我們沒有
[00:01:30.000 --> 00:01:34.000]  我們今天一同來通過剛才所讀的經文
[00:01:34.000 --> 00:01:39.000]  來看一看究竟我們這個萬王之王
[00:01:39.000 --> 00:01:42.000]  賜給我們這個新的衣服
[00:01:42.000 --> 00:01:43.000]  我們一同來看
[00:01:43.000 --> 00:01:47.000]  一開始的時候經文告訴我們
[00:01:47.000 --> 00:01:52.000]  保羅很嚴厲地提醒我們信徒
[00:01:52.000 --> 00:01:54.000]  他說行事為人
[00:01:54.000 --> 00:01:57.000]  我們千萬不要像外邦人一樣
[00:01:57.000 --> 00:02:00.000]  存虛妄的心
[00:02:00.000 --> 00:02:03.000]  我想大家留意一下這裡
[00:02:03.000 --> 00:02:05.000]  保羅所說的外邦人
[00:02:05.000 --> 00:02:09.000]  並不是指種族上的非猶太人
[00:02:09.000 --> 00:02:10.000]  為什麼我這樣說呢
[00:02:10.000 --> 00:02:13.000]  因為如果我們看第十八節的時候
[00:02:13.000 --> 00:02:18.000]  這裡說到他們心地昏迴
[00:02:18.000 --> 00:02:21.000]  與神所賜的生命隔絕了
[00:02:21.000 --> 00:02:24.000]  就是說保羅這裡所說的外邦人
[00:02:24.000 --> 00:02:28.000]  是說到一些和神分開了隔離了的人
[00:02:28.000 --> 00:02:32.000]  一些不認識神和神隔離了的人
[00:02:32.000 --> 00:02:40.000]  大家知道書卷是寫給以弗所地方的信徒
[00:02:40.000 --> 00:02:43.000]  這一群信徒大部分如果不是全部的話
[00:02:43.000 --> 00:02:44.000]  都是外邦人
[00:02:44.000 --> 00:02:46.000]  都不是猶太人
[00:02:46.000 --> 00:02:49.000]  由於他們不是猶太人
[00:02:49.000 --> 00:02:54.000]  他們以前的生活當然是按照外邦人的生活方式
[00:02:54.000 --> 00:02:57.000]  而且他們住在一個地方叫以弗所
[00:02:57.000 --> 00:02:59.000]  以弗所是什麼地方呢
[00:02:59.000 --> 00:03:03.000]  以弗所千萬不要以為是一個無名小鎮
[00:03:03.000 --> 00:03:06.000]  看回歷史的考古
[00:03:06.000 --> 00:03:11.000]  以弗所在當時來說是一個經濟上
[00:03:11.000 --> 00:03:13.000]  政治上都很蓬勃
[00:03:13.000 --> 00:03:16.000]  很發達的一個海港
[00:03:16.000 --> 00:03:21.000]  但是這個地方雖然是這麼繁榮
[00:03:21.000 --> 00:03:25.000]  但是卻是一個遠離神的城市
[00:03:25.000 --> 00:03:26.000]  為什麼這樣說呢
[00:03:26.000 --> 00:03:28.000]  因為原來這個地方
[00:03:28.000 --> 00:03:30.000]  那裡有一個廟宇
[00:03:30.000 --> 00:03:33.000]  拜祭那個神叫Atemis
[00:03:33.000 --> 00:03:38.000]  這個神是一個生育的女神
[00:03:38.000 --> 00:03:42.000]  根據考古這個神廟
[00:03:42.000 --> 00:03:44.000]  很大很大的
[00:03:44.000 --> 00:03:50.000]  可以容納二萬四千的人在裡面聚集
[00:03:50.000 --> 00:03:52.000]  二萬四千人
