
[00:00:00.000 --> 00:00:04.800]  每一年我們都有過年
[00:00:04.800 --> 00:00:19.280]  但你有沒有想過過年最重要的是什麼呢
[00:00:19.280 --> 00:00:24.520]  我昨天回到YY那邊的家
[00:00:24.520 --> 00:00:30.040]  有個小朋友平時他沒怎麼跟我打招呼的
[00:00:30.040 --> 00:00:31.480]  他小學生 到處玩 打機
[00:00:31.480 --> 00:00:37.280]  昨天很主動的 叫我做姑丈公
[00:00:37.280 --> 00:00:42.200]  恭喜姑丈公身壯力健 萬事如意
[00:00:42.200 --> 00:00:45.440]  接著我就說多謝多謝 恭喜你
[00:00:45.440 --> 00:00:49.080]  但你知道我看不到 接著他恭喜完是怎樣
[00:00:49.080 --> 00:00:51.040]  他伸了一隻手
[00:00:51.040 --> 00:00:55.480]  他的表姐就說他等你派利是
[00:00:55.480 --> 00:01:00.680]  他遇到一個看不到的沒有反應 恭喜恭喜
[00:01:00.680 --> 00:01:06.640]  我才知道原來他最重要的是逗利是
[00:01:06.640 --> 00:01:09.040]  過年最重要的是逗利是
[00:01:09.040 --> 00:01:13.800]  對你來說過年最重要的是什麼
[00:01:13.800 --> 00:01:19.840]  放假休息 可以見親戚朋友休息
[00:01:19.840 --> 00:01:26.680]  有沒有人期待過年才可以吃美食
[00:01:26.680 --> 00:01:31.760]  平時沒有的 現在什麼都可以吃
[00:01:31.760 --> 00:01:33.200]  所以過年就是
[00:01:33.200 --> 00:01:37.120]  以前我們過年有些東西是過年才有的
[00:01:37.120 --> 00:01:39.360]  我記得我去大連
[00:01:39.360 --> 00:01:44.320]  我經常都見到親戚有些糖果好吃
[00:01:44.320 --> 00:01:50.320]  我會問親戚可不可以多拿幾粒
[00:01:50.320 --> 00:01:52.320]  我最開心的是離開後
[00:01:52.320 --> 00:01:56.560]  我的衣袋裡帶著一些我最喜歡吃的零食
[00:01:56.560 --> 00:01:58.680]  左袋右袋都有的
[00:01:58.680 --> 00:02:01.720]  又不夠袋 要帶些利是
[00:02:01.720 --> 00:02:04.280]  所以最喜歡就是吃
[00:02:04.280 --> 00:02:07.960]  但過了年之後就沒得吃了
[00:02:07.960 --> 00:02:10.960]  但現在因為不是經常有
[00:02:10.960 --> 00:02:13.680]  我不知道你回來教會
[00:02:13.680 --> 00:02:16.440]  你覺得最重要的是什麼
[00:02:16.440 --> 00:02:18.760]  今天我們可以說
[00:02:18.760 --> 00:02:21.160]  讀耶穌一個講論
[00:02:21.160 --> 00:02:28.280]  是祂生命裡最難最難的一個比喻
[00:02:28.280 --> 00:02:30.160]  也是耶穌一路說
[00:02:30.160 --> 00:02:33.840]  距離一生人最重要做些什麼
[00:02:33.840 --> 00:02:37.560]  其中一個最尖銳
[00:02:37.560 --> 00:02:41.880]  最顯眼或者叫最sharp的句語
[00:02:41.880 --> 00:02:44.320]  引言裡我講到
[00:02:44.320 --> 00:02:46.240]  可不可以用一句話總結
[00:02:46.240 --> 00:02:50.520]  耶穌降世的任務
[00:02:50.520 --> 00:02:54.840]  祂的使命是什麼呢
[00:02:54.840 --> 00:02:59.120]  在你們的經文裡沒有印出來
[00:02:59.120 --> 00:03:02.520]  我自己覺得就是六章第四十節
[00:03:02.520 --> 00:03:04.240]  六章第四十節
[00:03:04.240 --> 00:03:06.960]  你今天從四十一節開始說
[00:03:06.960 --> 00:03:09.280]  六章四十節就是神的旨意
[00:03:09.280 --> 00:03:12.960]  就是叫所有見到耶穌的人
[00:03:12.960 --> 00:03:18.480]  而見到又信耶穌的人有生命
[00:03:18.480 --> 00:03:20.080]  和末日
[00:03:20.080 --> 00:03:24.360]  耶穌要叫所有信的人復活過來
[00:03:24.360 --> 00:03:26.760]  耶穌重複說過很多次
[00:03:26.760 --> 00:03:30.240]  距離是要叫信祂的人有生命
[00:03:30.240 --> 00:03:33.480]  和末日要復活
[00:03:33.480 --> 00:03:35.200]  為什麼要說這件事呢
[00:03:35.200 --> 00:03:39.800]  因為神給人子就是有次生命的權柄
[00:03:39.800 --> 00:03:43.000]  和末日有審判的權柄
[00:03:43.000 --> 00:03:49.600]  復活過來就是審判能夠得著永生
[00:03:49.600 --> 00:03:52.800]  這裡耶穌說不單止有生命
[00:03:52.800 --> 00:03:54.880]  祂還說到復活
[00:03:54.880 --> 00:03:58.160]  就是神的計劃在永恆裡面
[00:03:58.160 --> 00:04:00.280]  我們屬靈的生命會復活過來
[00:04:00.280 --> 00:04:03.800]  我們肉身的生命也會復活過來
[00:04:03.800 --> 00:04:05.600]  我們整個人的得救
[00:04:05.600 --> 00:04:09.600]  耶穌基督不單止拯救我們現在
[00:04:09.600 --> 00:04:12.400]  祂也拯救我們永恆
[00:04:12.400 --> 00:04:14.760]  一句話
[00:04:14.760 --> 00:04:18.080]  我們讀讀今天的經文
[00:04:18.080 --> 00:04:24.760]  有31節
[00:04:24.760 --> 00:04:28.200]  我們先讀第一段
[00:04:28.200 --> 00:04:50.440]  我們由41到42節預備起
[00:04:50.440 --> 00:04:53.800]  這裡經文一開始
[00:04:53.800 --> 00:04:56.440]  耶穌一路說
[00:04:56.440 --> 00:04:58.680]  由祂行完五餅二餘的神蹟
[00:04:58.680 --> 00:05:02.880]  在海面走的謝門徒看到
[00:05:02.880 --> 00:05:05.000]  那些人跟著耶穌
[00:05:05.000 --> 00:05:07.280]  上次我們看到那些人追到
[00:05:07.280 --> 00:05:09.840]  耶穌自己啟示自己
[00:05:09.840 --> 00:05:14.400]  我是從天上降下來生命的糧
[00:05:14.400 --> 00:05:17.040]  因為耶穌用五個餅餵飽
[00:05:17.040 --> 00:05:18.600]  差不多一萬個人
[00:05:18.600 --> 00:05:20.480]  五千個是藍丁
[00:05:20.480 --> 00:05:24.360]  那些人就期待耶穌要行更大的神蹟
[00:05:24.360 --> 00:05:27.600]  他們覺得祂好像比美摩西一樣
[00:05:27.600 --> 00:05:28.680]  但耶穌說
[00:05:28.680 --> 00:05:30.760]  你們跟著我
[00:05:30.760 --> 00:05:34.480]  不是因為信祂是從神來的人子
[00:05:34.480 --> 00:05:36.160]  那個尼塞亞
[00:05:36.160 --> 00:05:38.720]  你們只是想得到
[00:05:38.720 --> 00:05:41.680]  從神而來這位神的使者
[00:05:41.680 --> 00:05:44.200]  所帶來神蹟的好處
[00:05:44.200 --> 00:05:48.560]  耶穌就挑戰他們要信神所差來的
[00:05:48.560 --> 00:05:49.840]  他們也知道耶穌說什麼
[00:05:49.840 --> 00:05:52.440]  所以在上一次經文就說
[00:05:52.440 --> 00:05:54.920]  耶穌祢行過什麼神蹟讓我們看見
[00:05:54.920 --> 00:05:58.880]  就可以信祢
[00:05:58.880 --> 00:06:00.360]  上一次我們說
[00:06:00.360 --> 00:06:03.120]  耶穌本來已經行過五餅餘的神蹟
[00:06:03.120 --> 00:06:04.960]  祂還要更多的神蹟
[00:06:04.960 --> 00:06:08.000]  其實祂覺得祢行神蹟
[00:06:08.000 --> 00:06:12.440]  我都未能信祢是神的兒子
[00:06:12.440 --> 00:06:15.920]  他們要用自己的標準去衡量
[00:06:15.920 --> 00:06:17.520]  祂不是按神的標準
[00:06:17.520 --> 00:06:19.800]  不是按神的話
[00:06:19.800 --> 00:06:21.040]  祂是靠自己的經驗
[00:06:21.040 --> 00:06:22.120]  頂姐妹
[00:06:22.120 --> 00:06:23.120]  我們經常說
[00:06:23.120 --> 00:06:24.640]  人最大的問題
[00:06:24.640 --> 00:06:28.160]  就是會用自己的經歷去解釋聖經
[00:06:28.160 --> 00:06:30.640]  而不是用神的話去解釋
[00:06:30.640 --> 00:06:33.880]  去引證我們的經驗
[00:06:33.880 --> 00:06:35.400]  上一次經文說
[00:06:35.400 --> 00:06:36.560]  這次一樣
[00:06:36.560 --> 00:06:39.320]  耶穌啟示自己是天上的糧
