
[00:00:00.000 --> 00:00:03.460]  今天和大家分享的題目叫做
[00:00:03.460 --> 00:00:06.660]  信是什麼呢?
[00:00:06.660 --> 00:00:07.700]  信究竟是什麼呢?
[00:00:07.700 --> 00:00:09.640]  今天和大家有一段經文
[00:00:09.640 --> 00:00:13.440]  就是《創世紀》15章1-12和17-18字
[00:00:13.440 --> 00:00:17.140]  我們一起讀出先
[00:00:17.140 --> 00:00:18.640]  預備起
[00:00:18.640 --> 00:00:20.340]  這些事以後
[00:00:20.340 --> 00:00:24.340]  耶和華的話在意象中臨到亞伯蘭
[00:00:24.340 --> 00:00:27.840]  說:亞伯蘭啊!不要懼怕
[00:00:27.840 --> 00:00:29.740]  我是你的盾牌
[00:00:29.740 --> 00:00:32.460]  你必得豐富的賞賜
[00:00:32.460 --> 00:00:35.240]  亞伯蘭說:主耶和華啊!
[00:00:35.240 --> 00:00:37.240]  我還沒有兒子
[00:00:37.240 --> 00:00:39.460]  你能賜我什麼呢?
[00:00:39.460 --> 00:00:43.000]  承受我家業的是大馬士革人
[00:00:43.000 --> 00:00:44.900]  以利以謝
[00:00:44.900 --> 00:00:46.460]  亞伯蘭又說:
[00:00:46.460 --> 00:00:49.600]  漢啊!你沒有給我後製
[00:00:49.600 --> 00:00:55.200]  你看!那生在雅加中的人要繼承我
[00:00:55.200 --> 00:00:58.300]  漢啊!耶和華的話又臨到他
[00:00:58.300 --> 00:01:01.500]  說:這人不會繼承你
[00:01:01.500 --> 00:01:05.500]  你本身所生的才會繼承你
[00:01:05.500 --> 00:01:08.200]  於是耶和華帶他到外面
[00:01:08.200 --> 00:01:12.500]  說:你向天官漢去數星星
[00:01:12.500 --> 00:01:14.500]  你能數得清嗎?
[00:01:14.500 --> 00:01:19.000]  又對他說:你的後裔將要如此
[00:01:19.000 --> 00:01:21.000]  亞伯蘭信耶和華
[00:01:21.000 --> 00:01:25.000]  耶和華就以此算他為義
[00:01:25.000 --> 00:01:27.300]  耶和華又對他說:
[00:01:27.300 --> 00:01:31.800]  我是耶和華曾領你出迦勒底的吾爾
[00:01:31.800 --> 00:01:34.800]  為要把這地賜你為業
[00:01:34.800 --> 00:01:37.800]  亞伯蘭說:主耶和華啊!
[00:01:37.800 --> 00:01:41.800]  我怎能知道我必得這地為業呢?
[00:01:41.800 --> 00:01:43.800]  耶和華對他說:
[00:01:43.800 --> 00:01:47.300]  你為我娶一頭三歲的母牛族
[00:01:47.300 --> 00:01:49.800]  一隻三歲的母山羊
[00:01:49.800 --> 00:01:52.300]  一隻三歲的公綿羊
[00:01:52.300 --> 00:01:55.300]  一隻斑溝和一隻雛鴿
[00:01:55.300 --> 00:01:58.800]  亞伯蘭就把這些都取來
[00:01:58.800 --> 00:02:02.300]  每樣從中間劈成兩半
[00:02:02.300 --> 00:02:05.300]  一半對著另一半排列
[00:02:05.300 --> 00:02:07.800]  只有鳥沒有分開
[00:02:07.800 --> 00:02:10.300]  當飼鳥下來
[00:02:10.300 --> 00:02:13.300]  落在這些屍體上時
[00:02:13.300 --> 00:02:16.800]  亞伯蘭就把他們趕走了
[00:02:16.800 --> 00:02:18.800]  日落的時候
[00:02:18.800 --> 00:02:20.800]  亞伯蘭沉睡了
[00:02:20.800 --> 00:02:26.800]  看啊!有大而可怕的黑暗落在他身上
[00:02:26.800 --> 00:02:28.800]  日落天黑的時候
[00:02:28.800 --> 00:02:33.800]  看啊!有冒煙的爐和燒著的火把
[00:02:33.800 --> 00:02:36.800]  從那些肉塊中經過
[00:02:36.800 --> 00:02:38.300]  在那日
[00:02:38.300 --> 00:02:41.800]  耶和華與亞伯蘭納約說:
[00:02:41.800 --> 00:02:45.800]  我已賜給你的後裔這一片地
[00:02:45.800 --> 00:02:48.800]  從埃及河直到大河
[00:02:48.800 --> 00:02:51.800]  由法拉底河
[00:02:51.800 --> 00:02:54.800]  接下來有兩三節
[00:02:54.800 --> 00:02:57.800]  是講究竟那個地界是怎樣
[00:02:57.800 --> 00:03:03.800]  大家可以在經文裏看得到
[00:03:03.800 --> 00:03:06.800]  這段經文可以分開兩個段落
[00:03:06.800 --> 00:03:11.800]  第一個段落是在十五章的一至六節
[00:03:11.800 --> 00:03:13.800]  在第一節我們見到
[00:03:13.800 --> 00:03:15.800]  「這是以後」
[00:03:15.800 --> 00:03:17.800]  「這是以後」是甚麼呢?
[00:03:17.800 --> 00:03:20.800]  大家可以看回第十四章
[00:03:20.800 --> 00:03:25.800]  十四章是講四王和五王的爭戰
[00:03:25.800 --> 00:03:30.800]  當時其中的王是索多瑪和阿摩拉
[00:03:30.800 --> 00:03:35.800]  阿伯蘭的阿伯拉罕的侄兒住在那裏
[00:03:35.800 --> 00:03:37.800]  於是被擄走
[00:03:37.800 --> 00:03:40.800]  阿伯拉罕為了救羅德的關係
[00:03:40.800 --> 00:03:43.800]  於是去爭戰
[00:03:43.800 --> 00:03:46.800]  阿伯拉罕救了羅德
[00:03:46.800 --> 00:03:49.800]  亦救了那五個王
[00:03:49.800 --> 00:03:51.800]  在過程裏
[00:03:51.800 --> 00:03:53.800]  當勝利回來了
[00:03:53.800 --> 00:03:56.800]  索多瑪王對阿伯蘭說
[00:03:56.800 --> 00:03:58.800]  「你可以拿些戰利品」
[00:03:58.800 --> 00:04:02.800]  但當時阿伯拉罕不拿這些戰利品
[00:04:02.800 --> 00:04:04.800]  於是有學者認為
[00:04:04.800 --> 00:04:08.800]  十五章講「這是以後」提到十四章
[00:04:08.800 --> 00:04:10.800]  上帝喜悅阿伯蘭沒有去拿戰利品
[00:04:10.800 --> 00:04:17.800]  於是跟她說「我要給你豐富的賞賜」
[00:04:17.800 --> 00:04:20.800]  不過在第一節裏
[00:04:20.800 --> 00:04:24.800]  上帝不單止說要給她豐富的賞賜
[00:04:24.800 --> 00:04:26.800]  並且跟阿伯蘭說
[00:04:26.800 --> 00:04:29.800]  「你不要懼怕,因為我是你的盾牌」
[00:04:29.800 --> 00:04:31.800]  「我會保護你」
[00:04:31.800 --> 00:04:36.800]  當阿伯拉罕在第二節回答上帝
[00:04:36.800 --> 00:04:38.800]  我們就知道他很害怕
[00:04:38.800 --> 00:04:40.800]  他害怕甚麼呢?
[00:04:40.800 --> 00:04:45.800]  原來他在裏面很擔心自己沒有子孫來繼後
[00:04:45.800 --> 00:04:48.800]  所以第二節是一個回答
[00:04:48.800 --> 00:04:50.800]  亦是一個提問
[00:04:50.800 --> 00:04:53.800]  亦帶了一些牢騷
[00:04:53.800 --> 00:04:57.800]  「我沒有兒子繼後」
[00:04:57.800 --> 00:05:00.800]  「就算給我一個更大的賞賜」
[00:05:00.800 --> 00:05:02.800]  「對於我來說有甚麼意義呢?」
[00:05:02.800 --> 00:05:05.800]  阿伯拉罕當然不記得
[00:05:05.800 --> 00:05:11.800]  因為上帝曾經應許賜給她很多很多子孫
[00:05:11.800 --> 00:05:13.800]  當然這是陳禱的子孫
[00:05:13.800 --> 00:05:16.800]  大家可以在《創世紀十三章》14-17節裏看到
[00:05:16.800 --> 00:05:20.800]  但這個應許遲遲未到
[00:05:20.800 --> 00:05:25.800]  不知道阿伯蘭是出於小信或疑惑
[00:05:25.800 --> 00:05:31.800]  還是誤以為生在她家裏的人就是繼承人
[00:05:31.800 --> 00:05:35.800]  於是在第三節裏我們得知
[00:05:35.800 --> 00:05:38.800]  阿伯拉罕收養了以利爾謝
[00:05:38.800 --> 00:05:40.800]  這是他家裏的奴隸
[00:05:40.800 --> 00:05:42.800]  一個奴僕生的兒子
[00:05:42.800 --> 00:05:44.800]  作為自己的繼承人
[00:05:44.800 --> 00:05:50.800]  這個在考古學的文獻我們可以看到
[00:05:50.800 --> 00:05:53.800]  原來在公元前的2000年
[00:05:53.800 --> 00:05:56.800]  米蘇北特米亞地是古麗錦東的地方
[00:05:56.800 --> 00:05:59.800]  北面有一個古城叫盧竹
