
[00:00:00.000 --> 00:00:03.380]  建立新王愛的核心價值
[00:00:03.380 --> 00:00:05.540]  您知道什麼叫核心價值嗎
[00:00:05.540 --> 00:00:07.780]  讓我再來解釋一下
[00:00:07.780 --> 00:00:11.200]  英文底下很明顯 core value
[00:00:11.200 --> 00:00:14.100]  每一個國家 每一個社會 每一個人
[00:00:14.100 --> 00:00:16.900]  每一個公司 團體 行號
[00:00:16.900 --> 00:00:18.660]  還有每一個教會
[00:00:18.660 --> 00:00:21.580]  都有它的核心價值
[00:00:21.580 --> 00:00:25.500]  我在陸陸續續都講過好多不同的地方
[00:00:25.500 --> 00:00:28.580]  不同的公司它的核心價值
[00:00:28.580 --> 00:00:30.620]  如果您到紐約去
[00:00:30.620 --> 00:00:33.340]  在聯合國大廈對面
[00:00:33.340 --> 00:00:37.340]  有一個銅像 雕塑像 還有一個短牆
[00:00:37.340 --> 00:00:39.740]  那個雕塑像是一個人
[00:00:39.740 --> 00:00:43.660]  他正把刀打成鋤頭
[00:00:43.660 --> 00:00:45.620]  那麼一行字他說
[00:00:45.620 --> 00:00:47.860]  要把刀打成驢頭
[00:00:47.860 --> 00:00:50.100]  把矛打成鐮刀
[00:00:50.100 --> 00:00:52.940]  這國不舉刀攻擊那國
[00:00:52.940 --> 00:00:54.860]  不再學習戰事
[00:00:54.860 --> 00:00:57.740]  這個是彌賽亞書上面講的
[00:00:57.740 --> 00:01:01.100]  這也是彌賽亞書上面講的
[00:01:01.100 --> 00:01:03.700]  所以聯合國它的核心價值
[00:01:03.700 --> 00:01:06.820]  就是世界和平 不是嗎
[00:01:06.820 --> 00:01:09.420]  我們教會也有我們教會的核心價值
[00:01:09.420 --> 00:01:11.700]  比如說我第一次講的時候
[00:01:11.700 --> 00:01:15.540]  我說我們教會的第一個核心價值就是
[00:01:15.540 --> 00:01:17.620]  如今長存的有信有望有愛
[00:01:17.620 --> 00:01:19.980]  這三樣其中最大的就是愛
[00:01:19.980 --> 00:01:23.060]  哥林多全書十三章十三節
[00:01:23.060 --> 00:01:24.740]  這是我們七媽媽寫的
[00:01:24.740 --> 00:01:27.860]  所以我們就來張貼在這裏 信望愛
[00:01:27.860 --> 00:01:29.820]  我剛拿到的時候還有一點不高興
[00:01:29.820 --> 00:01:32.420]  怎麼三個字不一樣大
[00:01:32.420 --> 00:01:34.940]  後來我才發現原來愛是
[00:01:34.940 --> 00:01:36.820]  最大的就是愛
[00:01:36.820 --> 00:01:39.140]  感謝讚美神 哈雷路亞
[00:01:39.140 --> 00:01:41.260]  這是我們第一個核心價值
[00:01:41.260 --> 00:01:44.940]  當人家說起信望愛臨陽堂的時候
[00:01:44.940 --> 00:01:49.100]  他們會說這個教會是什麼樣的教會呢
[00:01:49.100 --> 00:01:51.060]  我常常說我最不喜歡人家說
[00:01:51.060 --> 00:01:53.500]  信望愛的飯好好喫哦
[00:01:53.500 --> 00:01:56.660]  那不是我們的核心價值
[00:01:56.660 --> 00:02:00.020]  我們的核心價值過去五個月我們都講了
[00:02:00.020 --> 00:02:02.580]  到底什麼叫核心價值
[00:02:02.580 --> 00:02:05.740]  我們知道聖經講安提阿的教會
[00:02:05.740 --> 00:02:08.780]  我們說聖經上面說安提阿的教會
[00:02:08.780 --> 00:02:11.260]  是一個宣教的教會不是嗎
