
[00:00:00.000 --> 00:00:02.000]  在我們的人生裏面
[00:00:02.000 --> 00:00:04.000]  其實我們要面對的東西
[00:00:04.000 --> 00:00:06.000]  真是很多很多很多
[00:00:06.000 --> 00:00:09.000]  當你去回顧的時候
[00:00:09.000 --> 00:00:13.000]  有很多很重要的經驗
[00:00:13.000 --> 00:00:15.000]  或者經歷
[00:00:15.000 --> 00:00:18.000]  令你不得不讚歎
[00:00:18.000 --> 00:00:21.000]  上帝是在我們生命裏面
[00:00:21.000 --> 00:00:25.000]  參與在我們人生的每一個階段
[00:00:25.000 --> 00:00:29.000]  有兩位很出名的德國神學家
[00:00:29.000 --> 00:00:31.000]  對我有些影響
[00:00:31.000 --> 00:00:32.000]  其實很簡單
[00:00:32.000 --> 00:00:34.000]  他說兩句說話
[00:00:34.000 --> 00:00:36.000]  可以影響我的服事
[00:00:36.000 --> 00:00:40.000]  影響我對生命的態度
[00:00:40.000 --> 00:00:44.000]  第一位是保羅田納克
[00:00:44.000 --> 00:00:48.000]  如果在座有讀神學的同工
[00:00:48.000 --> 00:00:49.000]  一定認識
[00:00:49.000 --> 00:00:52.000]  因為我們那年代一定要讀系統神學
[00:00:52.000 --> 00:00:55.000]  當然已經交回給他
[00:00:55.000 --> 00:01:00.000]  保羅田納克寫了另一本書
[00:01:00.000 --> 00:01:03.000]  很好看的
[00:01:03.000 --> 00:01:06.000]  書名叫生之勇氣
[00:01:06.000 --> 00:01:09.000]  他這本書一打開第一版
[00:01:09.000 --> 00:01:11.000]  就講了一句說話
[00:01:11.000 --> 00:01:13.000]  我只記得這句說話就夠了
[00:01:13.000 --> 00:01:15.000]  他說一個人可以終其一生
[00:01:15.000 --> 00:01:17.000]  不進入教堂
[00:01:17.000 --> 00:01:21.000]  但不能長久不面對自己
[00:01:21.000 --> 00:01:23.000]  一個人可以終其一生
[00:01:23.000 --> 00:01:25.000]  不進入教堂
[00:01:25.000 --> 00:01:30.000]  但不能長久不面對自己
[00:01:30.000 --> 00:01:32.000]  我相信我們每一個人
[00:01:32.000 --> 00:01:35.000]  都明白什麼叫面對自己
[00:01:35.000 --> 00:01:40.000]  問題是我們有多經常去面對自己
[00:01:40.000 --> 00:01:44.000]  面對自己可能包括我們是誰
[00:01:44.000 --> 00:01:46.000]  我們生活在哪裡
[00:01:46.000 --> 00:01:48.000]  我們對我們的社會
[00:01:48.000 --> 00:01:50.000]  對我們的家庭
[00:01:50.000 --> 00:01:53.000]  對我們的世界有多認識
[00:01:53.000 --> 00:02:00.000]  有多關注
[00:02:00.000 --> 00:02:07.000]  大概是我讀小學五年級的時候
[00:02:07.000 --> 00:02:10.000]  突然有一天
[00:02:10.000 --> 00:02:14.000]  我聽到隔壁班有一個女同學
[00:02:14.000 --> 00:02:20.000]  她的名字和我的名字很相似
[00:02:20.000 --> 00:02:23.000]  都是用「廉」字
[00:02:23.000 --> 00:02:26.000]  突然我不喜歡自己的名字
[00:02:26.000 --> 00:02:30.000]  我不知道為什麼我爸爸要改一個這樣的名字
[00:02:30.000 --> 00:02:32.000]  林煒廉
[00:02:32.000 --> 00:02:35.000]  我哥哥叫林煒東
[00:02:35.000 --> 00:02:38.000]  我弟弟叫林煒星
[00:02:38.000 --> 00:02:44.000]  我想我哥哥的名字應該是東南西北
[00:02:44.000 --> 00:02:47.000]  為什麼不是呢
[00:02:47.000 --> 00:02:49.000]  就叫煒廉
[00:02:49.000 --> 00:02:51.000]  我想當年在我的班裡
[00:02:51.000 --> 00:02:53.000]  有些同學都用煒字
[00:02:53.000 --> 00:02:55.000]  當然是煒強 煒堅 煒豪
[00:02:55.000 --> 00:02:58.000]  一聽就知道是男生的名字
[00:02:58.000 --> 00:03:02.000]  為什麼改我一個好像是女生的名字
[00:03:02.000 --> 00:03:04.000]  為什麼有女同學用呢
[00:03:04.000 --> 00:03:08.000]  我也在想 因為哥哥出生之後
[00:03:08.000 --> 00:03:12.000]  爸爸媽媽當然希望第二個小朋友可能是女生
[00:03:12.000 --> 00:03:15.000]  早就改一個女生的名字給我
[00:03:15.000 --> 00:03:20.000]  而且我的乳名就是一個女生的名字
[00:03:20.000 --> 00:03:24.000]  小時候爸爸媽媽會叫我的乳名
[00:03:24.000 --> 00:03:27.000]  我不知道現在流行不流行
[00:03:27.000 --> 00:03:29.000]  這裡說這裡散
[00:03:29.000 --> 00:03:31.000]  不要幫我傳開去
[00:03:31.000 --> 00:03:34.000]  我的乳名叫Lulu
[00:03:34.000 --> 00:03:36.000]  Lulu是我的乳名
