
[00:00:00.000 --> 00:00:03.620]  今天我跟各位繼續來看傳道書的第三章
[00:00:03.620 --> 00:00:06.860]  這個是也講了第三章
[00:00:06.860 --> 00:00:08.160]  有關這個第三章
[00:00:08.160 --> 00:00:12.060]  就是講到我的人生的規劃跟神永恆的計畫
[00:00:12.060 --> 00:00:17.980]  今天大概會跟各位多講一點神的永恆的計畫當中
[00:00:17.980 --> 00:00:20.520]  我們每一個人的體會
[00:00:20.520 --> 00:00:21.640]  傳道書第三章
[00:00:21.640 --> 00:00:27.020]  我們前兩次也講了有不同的經文
[00:00:27.040 --> 00:00:29.920]  第三章一到第八節
[00:00:29.920 --> 00:00:34.260]  就是講到很多的有時在我們的人生當中
[00:00:34.260 --> 00:00:36.520]  好像這些都會發生
[00:00:36.520 --> 00:00:39.960]  我們好像也不能夠逃避
[00:00:39.960 --> 00:00:45.040]  也會要面對 都在我們生命當中發生
[00:00:45.040 --> 00:00:48.760]  三章的第九到十三節
[00:00:48.760 --> 00:00:55.420]  就是我過去第二章跟今天的第三章都會主要用的經文
[00:00:55.420 --> 00:00:57.960]  這個提醒我們有不同
[00:00:57.960 --> 00:00:59.560]  我們在人生當中
[00:00:59.560 --> 00:01:05.800]  我們會看我們這個人生活得怎麼樣的人生
[00:01:05.800 --> 00:01:08.140]  第一章是講到上主的無限
[00:01:08.140 --> 00:01:10.640]  創造的有限
[00:01:10.640 --> 00:01:13.420]  神賜給我們的是神掌管
[00:01:13.420 --> 00:01:16.080]  我們需要跟永恆的主來結年
[00:01:16.080 --> 00:01:21.880]  我們才能夠得到生命裡面人生當中真正的滿足
[00:01:21.880 --> 00:01:25.640]  上次我們講到在我們的人生的規劃裡面
[00:01:25.640 --> 00:01:28.320]  我們有不同的思想
[00:01:28.320 --> 00:01:30.560]  或是我們有不同的安排
[00:01:30.560 --> 00:01:32.520]  或是我們有不同的看法
[00:01:32.520 --> 00:01:35.240]  所以大概從傳道書第三章裡面
[00:01:35.240 --> 00:01:37.940]  讓我們可以大概有六種的看法
[00:01:37.940 --> 00:01:41.960]  可能你的看法跟這六個有不同也可以
[00:01:41.960 --> 00:01:43.160]  每個人都有不同
