
[00:00:00.000 --> 00:00:03.000]  好,我們低頭,再次低頭禱告好嗎?
[00:00:03.000 --> 00:00:08.000]  親愛的天父願意我等一下要分享的信息
[00:00:08.000 --> 00:00:12.000]  是蠻有組織的同在,雖然是比較理性一點
[00:00:12.000 --> 00:00:15.000]  今天我特別要從理性方面
[00:00:15.000 --> 00:00:21.000]  透過遊子銀那本書作者給我們一些信息
[00:00:21.000 --> 00:00:26.000]  讓我消化,跟弟兄姐妹講,也講得清楚
[00:00:26.000 --> 00:00:31.000]  禱告鳳祖也是有名氣的,知道嗎?
[00:00:31.000 --> 00:00:36.000]  好,我再次恭喜,我們當中有幾個
[00:00:36.000 --> 00:00:39.000]  我不在的時候有幾個喜事
[00:00:39.000 --> 00:00:44.000]  一個是黃弟兄,黃太太,兄弟
[00:00:44.000 --> 00:00:46.000]  哎呀,他們結婚了,哎呀,好開心
[00:00:46.000 --> 00:00:51.000]  我們恭喜他們,好嗎?
[00:00:51.000 --> 00:00:55.000]  哎呀,我也想參加那個Lina跟彭飛的喜宴
[00:00:55.000 --> 00:00:58.000]  不過我在中國,所以也恭喜你們
[00:00:58.000 --> 00:01:06.000]  很好,我們感謝祖文願意我們都來教會
[00:01:06.000 --> 00:01:08.000]  成爲木道的朋友
[00:01:08.000 --> 00:01:16.000]  願意祈福阿興跟你的師父,媳婦
[00:01:16.000 --> 00:01:22.000]  我的華語不行了,你們要提醒我寫下哪個字
[00:01:22.000 --> 00:01:25.000]  因爲我在中國要到很多地方的
[00:01:25.000 --> 00:01:29.000]  所以你提醒我,不需要在聚會里面
[00:01:29.000 --> 00:01:33.000]  你笑笑就可以了,完了之後寫下來
[00:01:33.000 --> 00:01:37.000]  我以前以爲是沿海,沿海
[00:01:37.000 --> 00:01:40.000]  他說不是沿海,是沿海,對不對?
[00:01:40.000 --> 00:01:44.000]  是沿海,ok,這是很好
[00:01:44.000 --> 00:01:50.000]  因爲我的普通話都是廣東話轉一轉那個音而已
[00:01:50.000 --> 00:01:58.000]  好,那麼我們看耶穌基督復活的那個真實
[00:01:58.000 --> 00:02:01.000]  剛纔哥林多前述十五章
[00:02:01.000 --> 00:02:04.000]  全部是講耶穌基督的復活
[00:02:04.000 --> 00:02:08.000]  人的復活,有沒有這回事?
