
[00:00:00.000 --> 00:00:13.000]  不知道大家在上星期最多聽到的新聞是什麼呢?
[00:00:13.000 --> 00:00:22.000]  我相信大部份的人最多聽到的是關於中東的戰爭
[00:00:22.000 --> 00:00:29.000]  關於以色列和巴勒斯坦的打仗
[00:00:29.000 --> 00:00:36.000]  那些政治的原因我相信很多人都感覺不明白
[00:00:36.000 --> 00:00:44.000]  事實上因為不是小事情
[00:00:44.000 --> 00:00:49.000]  我們根本是由以色列第一日立國就已經打仗打了幾十年
[00:00:49.000 --> 00:00:58.000]  所以在上星期除了聽到的新聞之外
[00:00:58.000 --> 00:01:05.000]  也有很多的旁述員和時事評論員嘗試去解釋為什麼我們經常要打仗
[00:01:05.000 --> 00:01:17.000]  特別是在基督教的角度去解釋的時候
[00:01:17.000 --> 00:01:20.000]  很多時候都提到一個原因就是說
[00:01:20.000 --> 00:01:22.000]  以色列人是神的選民
[00:01:29.000 --> 00:01:32.000]  因為他們是神的選民的緣故
[00:01:32.000 --> 00:01:37.000]  所以他們就有權去回到以色列那個地方
[00:01:37.000 --> 00:01:40.000]  引致很多的衝突諸如此類
[00:01:40.000 --> 00:01:50.000]  但是當我一路去聽這些評論的時候
[00:01:50.000 --> 00:01:55.000]  我就想到一方面就是究竟神的選民是什麼意思呢?
[00:01:59.000 --> 00:02:05.000]  是不是神的選民就是在這個地方的人就叫做神的選民呢?
[00:02:05.000 --> 00:02:11.000]  我相信當我這樣去問的時候
[00:02:11.000 --> 00:02:13.000]  可能你們都會問同樣的問題
[00:02:13.000 --> 00:02:17.000]  那我看回聖經的時候
[00:02:17.000 --> 00:02:20.000]  究竟神的選民這個名字是何時開始的呢?
[00:02:25.000 --> 00:02:32.000]  就是原來在《執記》第十九章第三至第六節講得很清楚
[00:02:32.000 --> 00:02:40.000]  這一段聖經不如Vivian用英文跟我們讀吧
[00:02:55.000 --> 00:03:15.000]  (英文翻譯)
[00:03:15.000 --> 00:03:21.000]  這一段聖經就講到神的選民這個觀念是怎樣開始的
[00:03:26.000 --> 00:03:32.000]  神的選民這個觀念基本上是在初一及第十九章開始的
[00:03:32.000 --> 00:03:41.000]  如果你讀舊約聖經的時候
[00:03:41.000 --> 00:03:44.000]  你會問究竟初一及第十九章是在講什麼呢?
[00:03:44.000 --> 00:03:46.000]  上文下文是在講什麼呢?
[00:03:53.000 --> 00:04:00.000]  基本上那裏就是在講以色列的正規立國的一個儀式
[00:04:00.000 --> 00:04:11.000]  當神呼召了那些以色列人出了埃及之後
[00:04:11.000 --> 00:04:16.000]  他們就去到西乃山
[00:04:16.000 --> 00:04:20.000]  基本上在之前他們不是一個國家
[00:04:22.000 --> 00:04:24.000]  他們是一個家族的人
[00:04:24.000 --> 00:04:32.000]  他們是以色列人的一些奴隸
[00:04:32.000 --> 00:04:39.000]  但是當神拯救呼召他們出來埃及之後
[00:04:39.000 --> 00:04:44.000]  他們就去到西乃山那裏
[00:04:44.000 --> 00:04:50.000]  神自己就跟他們納約
[00:04:52.000 --> 00:04:54.000]  而在那個納約的過程
[00:04:54.000 --> 00:04:59.000]  其實神親自宣佈你們在這個世界上成為屬我的國民
[00:04:59.000 --> 00:05:08.000]  所以他們是在西乃山那裏立國的
[00:05:08.000 --> 00:05:16.000]  而他們納約的內容
[00:05:16.000 --> 00:05:19.000]  基本上就是剛才我們讀了一部份
[00:05:19.000 --> 00:05:21.000]  就是在十九章那裏講的
[00:05:23.000 --> 00:05:28.000]  所以那裏就講到神的選民的開始
[00:05:28.000 --> 00:05:32.000]  所以神的選民的開始
[00:05:32.000 --> 00:05:34.000]  我們看看剛才讀過的內容
[00:05:34.000 --> 00:05:36.000]  基本上是有幾方面的
[00:05:36.000 --> 00:05:42.000]  他那裏就說
[00:05:42.000 --> 00:05:44.000]  如今你們若實在聽從我的話
[00:05:44.000 --> 00:05:46.000]  遵守我的約就要在萬民中
[00:05:46.000 --> 00:05:47.000]  作屬我的子民
[00:05:47.000 --> 00:05:49.000]  因為全地都是我的
[00:05:52.000 --> 00:05:54.000]  如今你們遵守我的約
[00:05:54.000 --> 00:05:55.000]  然後保持我的信心
[00:05:55.000 --> 00:05:56.000]  那麼在萬民中
[00:05:56.000 --> 00:05:58.000]  你們將會成為我的寶貴財產
[00:05:58.000 --> 00:06:00.000]  雖然整個地球都是我的
[00:06:00.000 --> 00:06:12.000]  所以神的選民的意義
[00:06:12.000 --> 00:06:15.000]  不僅僅是因為你們住在某個地區
[00:06:22.000 --> 00:06:24.000]  就做我的子民
[00:06:24.000 --> 00:06:36.000]  所以重點就是原來屬神的子民
[00:06:36.000 --> 00:06:38.000]  就是去聽從神的誡命
[00:06:38.000 --> 00:06:40.000]  來去遵守的人
[00:06:40.000 --> 00:06:42.000]  那些就是真正的選民
[00:06:42.000 --> 00:06:51.000]  所以在去到撒姆爾記第十五章的時候
[00:06:51.000 --> 00:06:53.000]  撒姆爾也說了類似的話
[00:06:53.000 --> 00:06:59.000]  撒姆爾就跟訴羅說
[00:06:59.000 --> 00:07:03.000]  耶和華凡制和平安制喜悅喜悅人
[00:07:03.000 --> 00:07:04.000]  聽從他的話
[00:07:04.000 --> 00:07:05.000]  聽命勝於憲制
[00:07:05.000 --> 00:07:07.000]  順從勝於羔羊的自由
[00:07:07.000 --> 00:07:10.000]  叛逆的罪與行邪屬的罪相等
