
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早晨
[00:00:02.000 --> 00:00:05.480]  哥羅西書來到第三章
[00:00:05.480 --> 00:00:10.040]  是一些實用的生活原則
[00:00:10.040 --> 00:00:13.040]  真理必須應用出來
[00:00:13.040 --> 00:00:15.680]  才能夠改變生命
[00:00:15.680 --> 00:00:17.680]  我跟大家講過
[00:00:17.680 --> 00:00:20.320]  由哥羅西書第三章第一節
[00:00:20.320 --> 00:00:23.120]  一路去到第四章的六節
[00:00:23.120 --> 00:00:26.360]  保羅就勸勉哥羅西的門徒
[00:00:26.360 --> 00:00:32.400]  從五種的關係當中去活出真理
[00:00:32.400 --> 00:00:34.520]  三章的一至十一節
[00:00:34.520 --> 00:00:38.000]  是從最基本去開始
[00:00:38.000 --> 00:00:42.000]  就是門徒和基督的關係
[00:00:42.000 --> 00:00:46.720]  門徒是要思念和追求天上的事
[00:00:46.720 --> 00:00:49.280]  門徒是要脫去舊人
[00:00:49.280 --> 00:00:51.280]  穿上新人
[00:00:51.280 --> 00:00:55.800]  並且這個新人是漸漸的更新
[00:00:55.800 --> 00:00:59.840]  正如做他的主的形象
[00:00:59.840 --> 00:01:04.320]  上個星期我們就從三章的十二至十七節
[00:01:04.320 --> 00:01:08.520]  去看門徒和教會肢體的關係
[00:01:08.520 --> 00:01:11.960]  教會是一個敬拜上帝的群體
[00:01:11.960 --> 00:01:14.440]  在這個群體裏面最重要的
[00:01:14.440 --> 00:01:18.000]  就是要有愛和要有寬恕
[00:01:18.000 --> 00:01:21.000]  正如三章的十四節那裏說
[00:01:21.000 --> 00:01:25.040]  在這一切之外要存著愛心
[00:01:25.040 --> 00:01:29.680]  愛心就是聯絡全特敵
[00:01:29.680 --> 00:01:34.720]  今日我就會從三章的十八至二十一節
[00:01:34.720 --> 00:01:39.520]  和大家看門徒在家庭當中那種的關係
[00:01:39.520 --> 00:01:44.040]  在家庭的關係當然就包括夫妻關係
[00:01:44.040 --> 00:01:48.440]  包括父母和子女的關係
[00:01:48.440 --> 00:01:50.960]  其實在第一世紀的家庭
[00:01:50.960 --> 00:01:52.760]  還有一種的關係
[00:01:52.760 --> 00:01:56.800]  因為當時還有奴僕的制度
[00:01:56.800 --> 00:02:01.600]  所以保羅亦都有講到主僕的關係
[00:02:01.600 --> 00:02:03.960]  不過我會留待下個星期
[00:02:03.960 --> 00:02:08.760]  才和大家分享主僕的關係
[00:02:08.760 --> 00:02:13.240]  很多基督徒他都喜歡在家裏擺一些擺設
[00:02:13.240 --> 00:02:16.160]  特別是一些金具的擺設
[00:02:16.160 --> 00:02:19.960]  所以很多人家裏都可能有這一句金句
[00:02:19.960 --> 00:02:23.440]  「基督是我家之主」
[00:02:23.440 --> 00:02:27.560]  但是他們是否真的能夠在家裏
[00:02:27.560 --> 00:02:31.400]  活出這個「基督是我家之主」
[00:02:31.400 --> 00:02:34.520]  那一種家庭的關係呢?
[00:02:34.520 --> 00:02:38.040]  我用了這句作為今日的題目
[00:02:38.040 --> 00:02:41.040]  我再加上一個問號
[00:02:41.040 --> 00:02:44.040]  和大家一起思想
[00:02:44.040 --> 00:02:50.800]  「基督是我家之主」的意義和應用
[00:02:50.800 --> 00:02:56.480]  保羅對於家庭關係中那四個的角色
[00:02:56.480 --> 00:02:59.240]  是有四個的命令
