
[00:00:00.000 --> 00:00:04.860]  我們在美國這個地方
[00:00:04.860 --> 00:00:08.860]  我覺得有太多要感恩的
[00:00:08.860 --> 00:00:14.700]  我幾乎常常每一天都會看一下烏克蘭的新聞
[00:00:14.700 --> 00:00:17.640]  因為當我自己去過之後
[00:00:17.640 --> 00:00:21.340]  我對那邊的負擔也好
[00:00:21.340 --> 00:00:23.300]  或者是體會也好
[00:00:23.300 --> 00:00:25.700]  我覺得更深
[00:00:25.700 --> 00:00:29.160]  也跟那邊的一些弟兄
[00:00:29.160 --> 00:00:33.100]  也還是有保持一些聯繫
[00:00:33.100 --> 00:00:35.100]  現在整個烏克蘭
[00:00:35.100 --> 00:00:41.440]  因為俄羅斯把他們的基礎設施都打得差不多了
[00:00:41.440 --> 00:00:43.860]  所以今年的冬天他們很難過
[00:00:43.860 --> 00:00:48.760]  大概會有一千萬的烏克蘭人
[00:00:48.760 --> 00:00:55.440]  他們現在是處於好像是電跟水是很困難的情況之下
[00:00:55.440 --> 00:00:57.760]  沒有電
[00:00:57.760 --> 00:00:59.300]  我們很難想像
[00:00:59.300 --> 00:01:02.000]  兄弟妹我們是在南加州
[00:01:02.000 --> 00:01:08.540]  他們是在冬天現在已經下了第一場雪
[00:01:08.540 --> 00:01:10.940]  也許我們已經久了九個月了
[00:01:10.940 --> 00:01:13.840]  大家都疲了疲乏了
[00:01:13.840 --> 00:01:17.800]  實在講世界上面像這樣子的人
[00:01:17.800 --> 00:01:20.200]  還不是只有在烏克蘭
[00:01:20.200 --> 00:01:25.040]  在非洲在很多地方現在都在面臨這種情況
[00:01:25.040 --> 00:01:27.800]  全球糧食的危機造成一個結果
[00:01:27.800 --> 00:01:31.240]  就是很多的人他們沒糧食吃
[00:01:31.240 --> 00:01:35.140]  那兄弟妹我今天不是要再繼續的講這個東西
[00:01:35.140 --> 00:01:38.040]  我今天只是透過這讓我們思想
[00:01:38.040 --> 00:01:39.340]  親愛的兄弟妹
[00:01:39.340 --> 00:01:41.900]  有的時候我們take for granted
[00:01:41.900 --> 00:01:44.060]  我們覺得理所當然
[00:01:44.060 --> 00:01:45.300]  是不是
[00:01:45.300 --> 00:01:48.440]  所以因為我們擁有的太多了
[00:01:48.440 --> 00:01:56.500]  所以我們就缺乏一種感恩的心
[00:01:56.500 --> 00:02:00.340]  那今天我們要提到
[00:02:00.340 --> 00:02:01.740]  我們要感恩的
[00:02:01.740 --> 00:02:05.400]  其實你看見保羅在今天這個經文裡面
[00:02:05.400 --> 00:02:07.060]  以格羅西書也好
[00:02:07.060 --> 00:02:08.300]  以福索書也好
[00:02:08.300 --> 00:02:10.400]  其他的我就不一一提了
[00:02:10.400 --> 00:02:13.740]  可以說在保羅的書信當中
[00:02:13.740 --> 00:02:16.360]  在所有聖經裡面講的恩典這個字
[00:02:16.360 --> 00:02:22.600]  保羅的書信就佔了三分之二
[00:02:22.600 --> 00:02:29.200]  保羅在他的書信一開始就講到感謝
[00:02:29.200 --> 00:02:30.140]  看到沒有
[00:02:30.140 --> 00:02:32.500]  剛才講的格羅西書第一章十二集
[00:02:32.500 --> 00:02:34.200]  他說又感謝父
[00:02:34.200 --> 00:02:35.700]  是不是
[00:02:35.700 --> 00:02:37.460]  那他感謝什麼呢
[00:02:37.460 --> 00:02:38.540]  他為什麼要感謝
[00:02:38.540 --> 00:02:39.540]  你來看看
[00:02:39.540 --> 00:02:41.900]  這段經文裡面告訴我們他為什麼感謝
[00:02:41.900 --> 00:02:43.200]  他為著
[00:02:43.200 --> 00:02:45.240]  來我們再來唸一下好不好
[00:02:45.240 --> 00:02:48.460]  這個格羅西書第一章十二十四集
[00:02:48.460 --> 00:02:48.960]  來預備
[00:02:48.960 --> 00:02:49.460]  請
[00:02:49.460 --> 00:02:50.800]  又感謝父
[00:02:50.800 --> 00:02:55.860]  叫我們人與眾聖徒在光明中同得基業
[00:02:55.860 --> 00:02:59.260]  他救了我們脫離黑暗的詮釋
[00:02:59.260 --> 00:03:02.560]  把我們遷到他愛子的國裡
[00:03:02.560 --> 00:03:05.640]  我們在愛子裡得蒙救贖
[00:03:05.640 --> 00:03:08.860]  罪過得以赦免
[00:03:08.860 --> 00:03:10.640]  那麼下一節
[00:03:10.640 --> 00:03:13.200]  以福索書第一章七到八節裡面
[00:03:13.200 --> 00:03:14.660]  我就不請大家唸了
[00:03:14.660 --> 00:03:16.560]  但是請你找找看
[00:03:16.560 --> 00:03:18.560]  這兩段聖經裡面
