
[00:00:00.000 --> 00:00:01.020]  在這個年初六
[00:00:01.020 --> 00:00:03.580]  都是代表北宣家的宗教目
[00:00:03.580 --> 00:00:05.880]  向大家恭賀新年蒙恩
[00:00:05.880 --> 00:00:09.720]  這兩對的對聯送給大家
[00:00:09.720 --> 00:00:11.520]  福全南北
[00:00:11.520 --> 00:00:13.320]  身強健
[00:00:13.320 --> 00:00:15.100]  虛實報宣
[00:00:15.100 --> 00:00:16.640]  靈富足
[00:00:16.640 --> 00:00:20.480]  我們希望我們仍然秉持我們一路的使命
[00:00:20.480 --> 00:00:24.580]  我們的身體強健繼續可以去做到這件事
[00:00:24.580 --> 00:00:26.880]  無論是虛擬世界
[00:00:26.880 --> 00:00:29.180]  實體聚會我們都去報道
[00:00:29.440 --> 00:00:30.200]  宣教
[00:00:30.200 --> 00:00:31.740]  每一個人的靈命
[00:00:31.740 --> 00:00:33.020]  都是富足的
[00:00:33.020 --> 00:00:37.380]  今天我們會繼續看歷代至上
[00:00:37.380 --> 00:00:40.200]  我們看到最後一章29章
[00:00:40.200 --> 00:00:43.020]  這一章裏面
[00:00:43.020 --> 00:00:46.080]  主席幫我們讀了的說話裏面已經是有一段
[00:00:46.080 --> 00:00:47.620]  大衛
[00:00:47.620 --> 00:00:49.420]  他對眾民傳會中
[00:00:49.420 --> 00:00:51.980]  或者當時以色列人的代表
[00:00:51.980 --> 00:00:54.780]  去到耶路撒冷的聖殿前面
[00:00:54.780 --> 00:00:57.340]  選址前面
[00:00:57.860 --> 00:01:00.160]  去跟他們說這番說話
[00:01:00.160 --> 00:01:01.180]  之後
[00:01:01.180 --> 00:01:03.240]  大衛也有一個禱告
[00:01:03.240 --> 00:01:06.300]  這兩段文字給我們有什麼提醒呢?
[00:01:06.300 --> 00:01:08.620]  在第二節
[00:01:08.620 --> 00:01:10.400]  今天我們唯獨的一節
[00:01:10.400 --> 00:01:15.260]  大衛就跟眾民說
[00:01:15.260 --> 00:01:18.600]  我為我的神的殿已經盡力
[00:01:18.600 --> 00:01:23.460]  預備了金紙做金器銀紙做銀器銅做銅器等等
[00:01:23.460 --> 00:01:25.760]  他說他已經盡力了
[00:01:26.280 --> 00:01:29.860]  他盡力去為建造聖殿預備材料
[00:01:29.860 --> 00:01:32.420]  因為上帝不准許他建造聖殿
[00:01:32.420 --> 00:01:37.540]  但他卻是用盡方法去儲備材料給他的兒子所羅門
[00:01:37.540 --> 00:01:39.080]  可以去建殿
[00:01:39.080 --> 00:01:41.640]  他有多盡力去做這件事呢?
[00:01:41.640 --> 00:01:44.460]  可以看看他預備了多少的材料
[00:01:44.460 --> 00:01:47.260]  在歷代至的
[00:01:47.260 --> 00:01:49.060]  前面其實有說過
[00:01:49.060 --> 00:01:54.180]  他說看我辛苦地為耶和華殿預備了十萬他年得的金紙
[00:01:54.700 --> 00:01:56.500]  一百萬他年得的銀紙
[00:01:56.500 --> 00:01:59.300]  銅和鐵多得無法可稱
[00:01:59.300 --> 00:02:02.380]  十萬他年得即是多少呢?
[00:02:02.380 --> 00:02:05.960]  新逆本逆得好,他幫我們轉回今天的一個算法
[00:02:05.960 --> 00:02:08.520]  三千四百公噸的金
[00:02:08.520 --> 00:02:12.360]  我們都沒有什麼概念,即是多少呀?
[00:02:12.360 --> 00:02:15.940]  一公噸就等於一千kg
[00:02:15.940 --> 00:02:21.840]  一包米,平時我們在超級市場買的米,一般的包裝是五公斤一包的
[00:02:23.620 --> 00:02:25.160]  如果是這樣計算的話
[00:02:25.160 --> 00:02:29.760]  一公噸即是有二百包這麼重的米
[00:02:29.760 --> 00:02:33.360]  我們只是講重量,容量當然是少一點
[00:02:33.360 --> 00:02:36.680]  是二百包米這麼重的重量
[00:02:36.680 --> 00:02:37.460]  一公噸
[00:02:37.460 --> 00:02:42.320]  如果剛才所說的數量三千四百噸
[00:02:42.320 --> 00:02:46.160]  即是有六十八萬包米這麼重
[00:02:46.160 --> 00:02:47.180]  的金
[00:02:47.180 --> 00:02:50.500]  他為神的殿去預備了
[00:02:53.320 --> 00:02:54.080]  很重呀
[00:02:54.080 --> 00:02:56.640]  我們說他是國王嘛
[00:02:56.640 --> 00:02:58.440]  他用全國的國力
[00:02:58.440 --> 00:03:00.740]  去籌建這個聖殿當然可以
[00:03:00.740 --> 00:03:02.540]  沒錯
[00:03:02.540 --> 00:03:04.840]  但你想想他要選擇
[00:03:04.840 --> 00:03:05.860]  這樣做
[00:03:05.860 --> 00:03:07.140]  才可以
[00:03:07.140 --> 00:03:11.500]  2017年的時候有一個新聞當時說到
[00:03:11.500 --> 00:03:14.060]  沙打拉伯的國王
[00:03:14.060 --> 00:03:17.380]  就帶領他的皇室團出訪亞洲
[00:03:17.380 --> 00:03:22.000]  當時的國王就帶著他的整個出訪團
[00:03:22.500 --> 00:03:23.780]  去到亞洲各國
[00:03:23.780 --> 00:03:26.600]  其中他帶了很多行李
[00:03:26.600 --> 00:03:28.900]  當時有一千五百人跟著他去
[00:03:28.900 --> 00:03:32.740]  他帶了兩部的道金
[00:03:32.740 --> 00:03:34.280]  的自動電梯
[00:03:34.280 --> 00:03:37.360]  坐飛機我們就走的
[00:03:37.360 --> 00:03:39.920]  這個沙特國王就有一個
[00:03:39.920 --> 00:03:42.980]  自己專用的道金電梯
[00:03:42.980 --> 00:03:45.800]  就走下來的,你看到這個圖畫
[00:03:45.800 --> 00:03:49.640]  不單止這樣,他還帶了兩部很長的車
[00:03:50.920 --> 00:03:52.720]  很多很多的行李
[00:03:52.720 --> 00:03:57.060]  報導戲說這樣形容,國王已經將他的行李精簡再精簡
[00:03:57.060 --> 00:03:59.620]  但即使是這樣,他那一次
[00:03:59.620 --> 00:04:00.640]  帶去
[00:04:00.640 --> 00:04:04.240]  出訪的行李一共有506噸
[00:04:04.240 --> 00:04:06.280]  很多
[00:04:06.280 --> 00:04:12.940]  而負責運國王行李的運輸公司用了27架的飛機
[00:04:12.940 --> 00:04:18.560]  用了572個工人才勉強處理好國王這506噸的行李
[00:04:19.340 --> 00:04:24.200]  而他所住的地方,他所住的酒店裏面每一個裝置都是新的
[00:04:24.200 --> 00:04:26.760]  很多都是用金去做的
[00:04:26.760 --> 00:04:28.560]  全部他去之前
[00:04:28.560 --> 00:04:30.100]  要預備好
[00:04:30.100 --> 00:04:33.160]  一個國王可以這樣做
[00:04:33.160 --> 00:04:36.740]  古時的大衛豈不能夠更加可以這樣做嗎
[00:04:36.740 --> 00:04:40.580]  我們不要注重個人享受
[00:04:40.580 --> 00:04:43.660]  將國力可以放在哪裏呢?
[00:04:43.660 --> 00:04:47.500]  很多歷代的君主就將國力傾注在軍事上
[00:04:48.260 --> 00:04:50.060]  向外的擴張大有人在
[00:04:50.060 --> 00:04:51.840]  大衛呢
[00:04:51.840 --> 00:04:53.900]  你讀歷代智知道的
[00:04:53.900 --> 00:04:57.740]  在他所管理的以色列國裏面
[00:04:57.740 --> 00:04:59.780]  他的國土範圍就是從
[00:04:59.780 --> 00:05:01.840]  丹到別斯巴
[00:05:01.840 --> 00:05:06.180]  由北到南這個範圍裏面,就止於此
[00:05:06.180 --> 00:05:10.280]  兄弟姐妹,你有沒有看到
[00:05:10.280 --> 00:05:13.620]  即使你有這樣的能力,你去盡力
[00:05:13.620 --> 00:05:16.420]  原來都是一個選擇來的
[00:05:17.200 --> 00:05:20.520]  大衛選擇將他的資源、他的心思
[00:05:20.520 --> 00:05:21.540]  全力
[00:05:21.540 --> 00:05:23.340]  他盡力
[00:05:23.340 --> 00:05:26.920]  去留給建造聖殿這件事上
[00:05:26.920 --> 00:05:29.480]  原來不是必然的
[00:05:29.480 --> 00:05:31.780]  兄弟姐妹,你呢?
