
[00:00:00.000 --> 00:00:02.000]  最近有個朋友和我談判
[00:00:02.000 --> 00:00:06.000]  他前一兩年就退休
[00:00:06.000 --> 00:00:12.000]  退休之後其實也經歷了很多年的艱苦奮鬥
[00:00:12.000 --> 00:00:14.000]  在公司裡面工作
[00:00:14.000 --> 00:00:17.000]  退休之後就和一兩位拍檔
[00:00:17.000 --> 00:00:20.000]  準備開一個公司
[00:00:20.000 --> 00:00:23.000]  將他們的經歷和經驗
[00:00:24.000 --> 00:00:30.000]  希望一個新的公司可以在他們退休還有精神的時候
[00:00:30.000 --> 00:00:32.000]  做一些工作
[00:00:32.000 --> 00:00:34.000]  實現自己的理想
[00:00:34.000 --> 00:00:36.000]  自己做一下老闆
[00:00:36.000 --> 00:00:39.000]  但是做了兩年之後
[00:00:39.000 --> 00:00:42.000]  發覺原來幾個拍檔三個人
[00:00:42.000 --> 00:00:44.000]  不是同一條心
[00:00:44.000 --> 00:00:46.000]  大家各有的想法
[00:00:46.000 --> 00:00:49.000]  於是生意做得不好
[00:00:49.000 --> 00:00:52.000]  最後他自己就退出了
[00:00:53.000 --> 00:00:56.000]  變成本來有一個期望
[00:00:56.000 --> 00:00:58.000]  等了很多年
[00:00:58.000 --> 00:01:01.000]  讓他退休可以一起實踐一下理想
[00:01:01.000 --> 00:01:04.000]  但是誰知道他是這樣的情況
[00:01:04.000 --> 00:01:06.000]  所以他訴苦
[00:01:06.000 --> 00:01:09.000]  他說本來公司也可以延長
[00:01:09.000 --> 00:01:11.000]  延期退休
[00:01:11.000 --> 00:01:13.000]  如果繼續做下去就算了
[00:01:13.000 --> 00:01:16.000]  現在就沒有什麼做了
[00:01:16.000 --> 00:01:18.000]  唯有做太太的司機
[00:01:18.000 --> 00:01:22.000]  其實老的時候我們也會類似這樣的情況
[00:01:23.000 --> 00:01:24.000]  經過很多的掙扎
[00:01:24.000 --> 00:01:27.000]  經過很多的試煉等待
[00:01:27.000 --> 00:01:32.000]  我們也希望有一個好的前景
[00:01:32.000 --> 00:01:35.000]  或者美好的日子就會迎面而來
[00:01:35.000 --> 00:01:37.000]  比如病了一段時間
[00:01:37.000 --> 00:01:39.000]  康復了身體
[00:01:39.000 --> 00:01:41.000]  我們可以做很多的事情
[00:01:41.000 --> 00:01:45.000]  或者結束一個單身的生活
[00:01:45.000 --> 00:01:47.000]  進入婚姻的狀態
[00:01:47.000 --> 00:01:50.000]  或者像剛才所說的
[00:01:51.000 --> 00:01:53.000]  新的事業
[00:01:53.000 --> 00:01:56.000]  或者工作了很多年
[00:01:56.000 --> 00:01:58.000]  現在退休了
[00:01:58.000 --> 00:02:00.000]  享福了等等
[00:02:00.000 --> 00:02:03.000]  但是很多時候出乎意外
[00:02:03.000 --> 00:02:06.000]  在準備有一個美好的時候
[00:02:06.000 --> 00:02:09.000]  可能你會發覺到
[00:02:09.000 --> 00:02:11.000]  你身邊最好的拍檔
[00:02:11.000 --> 00:02:13.000]  你的伴侶
[00:02:13.000 --> 00:02:15.000]  可能你的配偶
[00:02:15.000 --> 00:02:17.000]  可能你的父母子女
[00:02:17.000 --> 00:02:20.000]  說你的拍檔成為了你自己的重擔
[00:02:21.000 --> 00:02:23.000]  以前說的日房夜房
[00:02:23.000 --> 00:02:25.000]  家賊難防
[00:02:25.000 --> 00:02:26.000]  現在說的日房夜房
[00:02:26.000 --> 00:02:28.000]  閨密難防
[00:02:28.000 --> 00:02:30.000]  有些這樣的情況
[00:02:30.000 --> 00:02:32.000]  就是這些人成為你的伴腳石
[00:02:32.000 --> 00:02:34.000]  這些人成為你的重擔
[00:02:34.000 --> 00:02:36.000]  這些人成為你生活裏面
[00:02:36.000 --> 00:02:38.000]  想著一個美好的生活裏面
[00:02:38.000 --> 00:02:40.000]  很大的問題
[00:02:40.000 --> 00:02:44.000]  因為可能這些人還在幫助你
[00:02:44.000 --> 00:02:46.000]  他們將他們所重視的
[00:02:46.000 --> 00:02:48.000]  作為你所重視
[00:02:48.000 --> 00:02:50.000]  所以越幫越忙
[00:02:51.000 --> 00:02:53.000]  今天我們說這段經文裏面
[00:02:53.000 --> 00:02:56.000]  就是想說大衛身邊的人
[00:02:56.000 --> 00:02:58.000]  現在去到
[00:02:58.000 --> 00:03:00.000]  素羅
[00:03:00.000 --> 00:03:04.000]  素羅王和約旦都被殺了
[00:03:04.000 --> 00:03:06.000]  已經埋葬了
[00:03:06.000 --> 00:03:09.000]  猶大支派很快就推舉
[00:03:09.000 --> 00:03:12.000]  大衛成為他們的王
[00:03:12.000 --> 00:03:14.000]  猶大的中心地方
[00:03:14.000 --> 00:03:17.000]  希伯倫就擁立他為王
[00:03:17.000 --> 00:03:20.000]  但是其實以色列有12個支派
[00:03:21.000 --> 00:03:22.000]  其他11個支派
[00:03:22.000 --> 00:03:25.000]  沒有什麼動靜
[00:03:25.000 --> 00:03:27.000]  當然表面上仍然是
[00:03:27.000 --> 00:03:32.000]  順從素羅王室的繼承人
[00:03:32.000 --> 00:03:35.000]  但是其實一直以來
[00:03:35.000 --> 00:03:37.000]  整個以色列的心
[00:03:37.000 --> 00:03:39.000]  慢慢歸向大衛
[00:03:39.000 --> 00:03:41.000]  因為知道素羅王
[00:03:41.000 --> 00:03:43.000]  不是合臣的心意
[00:03:43.000 --> 00:03:46.000]  但是當時又發生了一些事情
[00:03:46.000 --> 00:03:50.000]  是素羅王裏面的王室
[00:03:51.000 --> 00:03:56.000]  是去安排一些把持
[00:03:56.000 --> 00:03:59.000]  亦有看到大衛在南方
[00:03:59.000 --> 00:04:01.000]  亦有一些人
[00:04:01.000 --> 00:04:05.000]  在那裏自以為是
[00:04:05.000 --> 00:04:10.000]  以致令到一個所謂統一的大業
[00:04:10.000 --> 00:04:12.000]  整個國家
[00:04:12.000 --> 00:04:15.000]  由大衛順利繼承為王
[00:04:15.000 --> 00:04:17.000]  推前了很多年
[00:04:17.000 --> 00:04:19.000]  大家知道歷史上
[00:04:20.000 --> 00:04:22.000]  大衛在南方希伯倫
[00:04:22.000 --> 00:04:24.000]  做了7年的時間
[00:04:24.000 --> 00:04:28.000]  後來回到耶路撒冷這個中心
[00:04:28.000 --> 00:04:31.000]  去做統一的王朝
