
[00:00:00.000 --> 00:00:05.760]  各位姐妹 我們今天已經來到希伯來書第四章
[00:00:05.760 --> 00:00:08.200]  我在第四章當中
[00:00:08.200 --> 00:00:15.040]  我只選了兩節很短的經文跟大家分享
[00:00:15.040 --> 00:00:21.040]  所以即使你在螢光幕前參與這個網上崇拜
[00:00:21.040 --> 00:00:26.880]  我也想邀請你跟我一起讀這兩節聖經
[00:00:26.880 --> 00:00:29.080]  好 預備起
[00:00:29.080 --> 00:00:32.720]  神的道是活潑的 是有功效的
[00:00:32.720 --> 00:00:35.440]  比一切兩人的劍更快
[00:00:35.440 --> 00:00:40.840]  甚至魂與靈 骨節與骨髓都能刺入否開
[00:00:40.840 --> 00:00:45.800]  連心中的思念和主義都能辨明
[00:00:45.800 --> 00:00:51.160]  並且被做的 沒有一樣在他面前不顯然的
[00:00:51.160 --> 00:00:56.080]  原來萬物在那與我們有關係的主眼前
[00:00:56.080 --> 00:00:59.680]  都是赤露躺開的
[00:00:59.680 --> 00:01:03.480]  這段經文熟得不得了
[00:01:03.480 --> 00:01:12.320]  但不知道大家心裏面對於你很熟悉的兩刃劍
[00:01:12.320 --> 00:01:15.720]  你心裏面的印象是不是這樣
[00:01:15.720 --> 00:01:17.840]  可能是類似吧
[00:01:17.840 --> 00:01:25.360]  我想起美國有一個電視真人競賽節目的系列
[00:01:25.360 --> 00:01:28.440]  叫做《Forged in Fire》
[00:01:28.440 --> 00:01:33.640]  有些人把它譯成中文叫做《千錘百鍊》
[00:01:33.640 --> 00:01:42.120]  這個電視節目其實在香港某個收費電視的頻道都看得到
[00:01:42.120 --> 00:01:48.320]  顧名思義 正因為你看到它是《千錘百鍊》
[00:01:48.320 --> 00:01:56.320]  所以它的比賽不是跑得快又或者越過什麼什麼障礙
[00:01:56.320 --> 00:01:59.920]  然後爭到第一之類 不是這樣的
[00:01:59.920 --> 00:02:08.240]  它每一集裏面都會有四個鑄刀匠參與競賽
[00:02:08.240 --> 00:02:13.800]  他們是需要按照節目主持人定的一些題目
[00:02:13.800 --> 00:02:19.440]  規格、標準 然後在限定的時間裏面
[00:02:19.440 --> 00:02:23.920]  去打造某一種的刀劍又或者武器
[00:02:23.920 --> 00:02:29.680]  通常這些武器都是在古代常用的
[00:02:29.680 --> 00:02:36.160]  這個是淘汰制 經過了兩輪的淘汰賽之後
[00:02:36.160 --> 00:02:41.600]  就能夠進入決賽去爭奪冠軍
[00:02:41.600 --> 00:02:46.880]  那把刀和劍打造出來 剛才說有規有矩的
[00:02:46.880 --> 00:02:53.600]  是需要做得夠齒 兼且還要夠鋒利 能夠實用
[00:02:53.600 --> 00:02:55.160]  這樣才可以的
[00:02:55.160 --> 00:03:02.320]  接著我會請音控跟我們播放有一段很短的
[00:03:02.320 --> 00:03:04.160]  我剪輯出來的片段
[00:03:04.160 --> 00:03:07.400]  我深信當你看下去的時候
[00:03:07.400 --> 00:03:13.160]  你就會對於兩刃的劍究竟有多鋒利呢?
[00:03:13.160 --> 00:03:16.040]  留一個更加深刻的印象
[00:03:16.040 --> 00:03:19.000]  因為這段片段是英文的
[00:03:19.000 --> 00:03:23.920]  所以我會稍為為大家做一個旁白
[00:03:23.920 --> 00:03:25.360]  好 謝謝
[00:03:25.360 --> 00:03:29.960]  這把這麼特別的兩刃劍叫做Pada
[00:03:29.960 --> 00:03:32.360]  它是源自中世紀的印度
[00:03:32.360 --> 00:03:39.720]  到了17到18世紀就成為了印度馬拉塔帝國的常用兵器
[00:03:39.720 --> 00:03:42.920]  它的長度是可以超過四呎的
[00:03:42.920 --> 00:03:46.320]  有一個罩是可以保護著手
[00:03:46.320 --> 00:03:51.000]  有些Pada的設計甚至是會保護前臂的
[00:03:51.000 --> 00:03:54.080]  由於它的設計跟其他的劍不同
[00:03:54.080 --> 00:03:56.880]  會限制了你手腕的移動
[00:03:56.880 --> 00:04:00.520]  所以需要熟習才可以用得得心應手
[00:04:00.520 --> 00:04:02.520]  向不同的方向揮動
[00:04:02.520 --> 00:04:04.520]  發揮它的殺傷力
[00:04:04.520 --> 00:04:08.120]  Pada就是這樣子
[00:04:08.120 --> 00:04:12.760]  一會兒會有下半部分的短片
[00:04:12.760 --> 00:04:15.440]  就是有兩位的駐刀將
[00:04:15.440 --> 00:04:19.320]  他們經過了兩輪的淘汰賽
[00:04:19.320 --> 00:04:22.560]  接著就去到決賽了
[00:04:22.560 --> 00:04:25.080]  然後就要試一下
[00:04:25.080 --> 00:04:29.800]  他們打造的Pada究竟是怎樣的
[00:04:30.680 --> 00:04:32.520]  我現在要試一下這把劍
[00:04:32.520 --> 00:04:35.280]  揮動你所打造的Pada
[00:04:35.280 --> 00:04:39.960]  去斬前面掛著的三塊大肉
[00:04:39.960 --> 00:04:44.080]  我之前製作的過程都在自己的工場試過了
[00:04:44.080 --> 00:04:46.080]  我相信我的設計都OK的
[00:04:46.080 --> 00:04:57.240]  是不是很厲害
[00:04:57.240 --> 00:05:00.400]  剛才這條短片
[00:05:00.400 --> 00:05:06.520]  告訴我們究竟這把Pada可以利成怎樣
[00:05:06.520 --> 00:05:11.840]  但我深信上帝的道就更加厲害了
[00:05:11.840 --> 00:05:15.800]  既然神的道是這麼鋒利
[00:05:15.800 --> 00:05:20.040]  究竟可以在我們的生命當中
[00:05:20.040 --> 00:05:22.560]  起到什麼作用呢?
[00:05:22.560 --> 00:05:28.400]  經文在第十二節對於神的話
[00:05:28.400 --> 00:05:31.840]  第一個的描述是「活潑的」
[00:05:31.840 --> 00:05:35.360]  更加準確的翻譯是「活的」
[00:05:35.360 --> 00:05:40.880]  同一個字在希伯來書出現過四次
[00:05:40.880 --> 00:05:43.880]  都是用來形容神的
[00:05:43.880 --> 00:05:47.920]  例如早前希伯來書三章十二節
[00:05:47.920 --> 00:05:50.600]  畫本將它的譯作「永生神」
[00:05:50.600 --> 00:05:54.240]  但如果大家再看其他的譯本
[00:05:54.240 --> 00:06:01.880]  就會看到很多中文版本都將它譯成「永活的神」
[00:06:01.880 --> 00:06:07.280]  就是這個「永活的神」將「活」的聖言賜予人
[00:06:07.280 --> 00:06:09.880]  神的道是活的
[00:06:09.880 --> 00:06:12.640]  為什麼神的道是活的呢?
[00:06:12.640 --> 00:06:14.360]  原因有兩個
[00:06:14.360 --> 00:06:17.920]  第一,是因為神可以透過神的道
[00:06:17.920 --> 00:06:19.920]  得到永恆的生命
[00:06:19.920 --> 00:06:22.240]  不僅如此
[00:06:22.240 --> 00:06:29.560]  第二,祂更加能夠令人可以每天都經歷得到
[00:06:29.560 --> 00:06:36.640]  我相信前者對於已經信主的弟兄姊妹來說
[00:06:36.640 --> 00:06:38.640]  這些絕對不是新鮮事
[00:06:38.640 --> 00:06:42.440]  因為彼得前書一章二十三節
[00:06:42.440 --> 00:06:44.440]  其實講得很清楚
[00:06:44.440 --> 00:06:46.280]  那段經文是這樣說的
[00:06:46.280 --> 00:06:47.960]  「你們夢了重生
[00:06:47.960 --> 00:06:50.160]  不是由於能壞的種子
[00:06:50.160 --> 00:06:52.680]  乃是由於不能壞的種子
[00:06:52.680 --> 00:06:55.920]  是藉著神活潑常存的道」
[00:06:55.920 --> 00:06:57.920]  但後者呢?
[00:06:57.920 --> 00:06:59.920]  這個「活」的道
