
[00:00:00.000 --> 00:00:03.920]  但是年初一 記得每一年以往
[00:00:03.920 --> 00:00:07.400]  年三十晚也好 或者早一兩天也好
[00:00:07.400 --> 00:00:13.040]  都會想想新的一年裡邊有什麼地方想立志
[00:00:13.040 --> 00:00:15.200]  通常一般來講立志就說
[00:00:15.200 --> 00:00:18.280]  新一年有些地方想改善自己
[00:00:18.280 --> 00:00:21.760]  或者對自己一些期望
[00:00:21.760 --> 00:00:24.080]  或者有些地方可以進步的
[00:00:24.080 --> 00:00:28.840]  你們有沒有這樣的習慣 是不是
[00:00:28.840 --> 00:00:31.720]  這個習慣我都不是持續了很久
[00:00:31.720 --> 00:00:34.600]  因為事實上年輕的時候會
[00:00:34.600 --> 00:00:36.120]  慢慢慢慢你會發覺
[00:00:36.120 --> 00:00:40.240]  這些立志都好像很空口說白話那樣
[00:00:40.240 --> 00:00:44.040]  有時這些立志都不是一定在新年裡邊去做的
[00:00:44.040 --> 00:00:46.560]  是不是 什麼時候都應該去進步
[00:00:46.560 --> 00:00:49.960]  當然每一次過年我們都覺得
[00:00:49.960 --> 00:00:53.880]  新的一年都是一個新的景象
[00:00:53.880 --> 00:00:58.800]  都是一種更新 一種的意思在裡面
[00:00:58.800 --> 00:01:01.800]  當然仍然我們都是有一些期望的
[00:01:01.800 --> 00:01:06.160]  所以今天我都用一個題目
[00:01:06.160 --> 00:01:09.360]  就成為一個跟大家拜年祝賀的說話
[00:01:09.360 --> 00:01:11.240]  就是迎神接福
[00:01:11.240 --> 00:01:13.520]  都有這個賀年標 是不是
[00:01:13.520 --> 00:01:14.840]  迎神接福
[00:01:14.840 --> 00:01:18.320]  實際上就根據這段經文裡面講
[00:01:18.320 --> 00:01:21.720]  我都覺得是一個很好的提醒
[00:01:21.720 --> 00:01:25.240]  亦是都希望成為我自己
[00:01:25.240 --> 00:01:30.560]  亦是大家或者說沾陣一個的期望
[00:01:30.560 --> 00:01:33.520]  一個的立志 一個的進步
[00:01:33.520 --> 00:01:35.240]  可以一起做的
[00:01:35.240 --> 00:01:38.480]  都成為了我們今年農曆年
[00:01:38.480 --> 00:01:43.520]  我們可以更多的去親近我們的神
[00:01:43.520 --> 00:01:45.040]  所以分開兩方面說
[00:01:45.040 --> 00:01:48.320]  一方面就是全心去迎見神
[00:01:48.320 --> 00:01:52.320]  另一方面就是全力去跟隨神
[00:01:52.320 --> 00:01:54.800]  這個都是我們的盼望
[00:01:54.800 --> 00:01:58.600]  這篇詩篇是47篇
[00:01:58.600 --> 00:02:00.880]  這篇詩篇一般來說
[00:02:00.880 --> 00:02:04.480]  就是慶祝神作王的一個詩歌
[00:02:04.480 --> 00:02:09.000]  歌頌耶和華是全世界的君王的詩篇
[00:02:09.000 --> 00:02:13.560]  通常用一些崇拜的儀式裡面去唱頌出來
[00:02:13.560 --> 00:02:16.560]  描寫得萬民都很歡騰
[00:02:16.560 --> 00:02:18.560]  拍掌 高歌
[00:02:18.560 --> 00:02:22.320]  迎接耶和華登上這個寶座
[00:02:22.320 --> 00:02:25.040]  是治理全地
[00:02:25.040 --> 00:02:27.840]  所以這首詩歌的內容裡面來說
[00:02:27.840 --> 00:02:29.440]  聖經學者就會說
[00:02:29.440 --> 00:02:32.080]  詩篇屬於什麼類型的詩篇呢?
[00:02:32.080 --> 00:02:34.760]  這個屬於一個叫「加冕詩」
[00:02:34.760 --> 00:02:38.320]  加冕詩或者是登基的詩歌
[00:02:38.320 --> 00:02:41.360]  聖經學者會覺得
[00:02:41.360 --> 00:02:44.880]  這些詩歌在這些情境裡面
[00:02:44.880 --> 00:02:48.600]  一個的皇帝去加冕登基
