
[00:00:00.000 --> 00:00:06.000]  感謝神今天又有機會和大家分享上帝的說話
[00:00:06.000 --> 00:00:11.000]  我選擇的題目叫做「越難越愛」
[00:00:11.000 --> 00:00:15.000]  大家看見這幅圖可能都會覺得很特別
[00:00:15.000 --> 00:00:21.000]  人的腦和人的心總是在爭戰的當中
[00:00:21.000 --> 00:00:26.000]  究竟這個心和腦的爭戰
[00:00:26.000 --> 00:00:31.000]  和今天我們講《約翰一書》第四章有什麼關係呢?
[00:00:31.000 --> 00:00:39.000]  當時老約翰寫《約翰一書》的時候
[00:00:39.000 --> 00:00:41.000]  大概是第一世紀末
[00:00:41.000 --> 00:00:46.000]  在一個地方叫做爾弗所寫的
[00:00:46.000 --> 00:00:50.000]  爾弗所,如果我們還記得《使徒行傳》
[00:00:50.000 --> 00:00:54.000]  就是一個拜偶像很盛行的地方
[00:00:54.000 --> 00:00:57.000]  而我早幾年去過
[00:00:57.000 --> 00:01:00.000]  當然現在的爾弗所已經不同了
[00:01:00.000 --> 00:01:02.000]  只是退緩拜雅
[00:01:02.000 --> 00:01:08.000]  而當時的爾弗所有世界第二或第三大的圖書館
[00:01:08.000 --> 00:01:11.000]  藏書達到幾十萬本
[00:01:11.000 --> 00:01:15.000]  即是說當時的人不單止是拜偶像
[00:01:15.000 --> 00:01:20.000]  而且還是很追求不同的學問
[00:01:20.000 --> 00:01:26.000]  而當時的社會是崇尚着敬拜羅馬皇帝
[00:01:26.000 --> 00:01:30.000]  敬拜羅馬皇帝不單止是一個政治的行動
[00:01:30.000 --> 00:01:35.000]  慢慢還演化成爲一個宗教的行動
[00:01:35.000 --> 00:01:39.000]  而這個敬拜羅馬皇帝的背後
[00:01:39.000 --> 00:01:41.000]  也有它的原因
[00:01:41.000 --> 00:01:45.000]  就是其實會帶來經濟的益處
[00:01:45.000 --> 00:01:48.000]  因爲當你去敬拜的時候
[00:01:48.000 --> 00:01:53.000]  其實政府的官員會帶給你很多方便
[00:01:53.000 --> 00:01:56.000]  我不知道這樣形容對不對
[00:01:56.000 --> 00:01:58.000]  或者這樣類比對不對
[00:01:58.000 --> 00:02:01.000]  就好像我們去到泰國喫東西
[00:02:01.000 --> 00:02:04.000]  或者去到一些泰國的餐館
[00:02:04.000 --> 00:02:08.000]  我們總看到有一個人的照片在裏面
[00:02:08.000 --> 00:02:12.000]  是的,就是泰皇
[00:02:12.000 --> 00:02:18.000]  可能那時候敬拜羅馬皇帝就起到這個作用
[00:02:18.000 --> 00:02:22.000]  不單止是一個政治上的行動
[00:02:22.000 --> 00:02:25.000]  還是一個經濟的效益
[00:02:25.000 --> 00:02:31.000]  而當時的社會是有逼迫基督徒的事情發生
[00:02:31.000 --> 00:02:36.000]  不過不算得是很大的逼迫
[00:02:36.000 --> 00:02:41.000]  因爲這個約翰一書是寫在《啓示錄》之前
[00:02:41.000 --> 00:02:47.000]  可能寫完之後十年八載就有大規模的逼迫
[00:02:47.000 --> 00:02:53.000]  我們知道教會作爲社會里面的一份子
[00:02:53.000 --> 00:03:03.000]  其中的一部分教會就難以避免受到這個社會的影響
[00:03:03.000 --> 00:03:07.000]  在這個社會時代裏面
[00:03:07.000 --> 00:03:12.000]  人們爲了經濟利益而要去拜羅馬皇帝
[00:03:12.000 --> 00:03:16.000]  特別是一羣基督徒怎麼自處呢?
[00:03:16.000 --> 00:03:21.000]  所以有些人就會覺得我要脫離世俗
[00:03:21.000 --> 00:03:26.000]  因爲世俗這些肉身的事實在太污穢
[00:03:26.000 --> 00:03:29.000]  甚至他們脫離到一個地步
[00:03:29.000 --> 00:03:35.000]  去否認耶穌基督曾經成過肉身
[00:03:35.000 --> 00:03:38.000]  不過又有另一批人
[00:03:38.000 --> 00:03:42.000]  另一批人就是洗不洗?
[00:03:42.000 --> 00:03:44.000]  其實我們都信了主
[00:03:44.000 --> 00:03:47.000]  我們豈不是已經得救
[00:03:47.000 --> 00:03:50.000]  可以今朝有酒今朝醉嗎?
[00:03:50.000 --> 00:03:57.000]  拜羅馬皇帝那些表面的行動而已
[00:03:57.000 --> 00:03:59.000]  最重要的是心
[00:03:59.000 --> 00:04:05.000]  所以另一批人就相對是完全的世俗
[00:04:05.000 --> 00:04:08.000]  覺得不用理那麼多
[00:04:08.000 --> 00:04:17.000]  教會里面就充斥着一羣因爲我們肉體是污穢
[00:04:17.000 --> 00:04:20.000]  甚至去到一個地步
[00:04:20.000 --> 00:04:23.000]  否認耶穌基督的杜成肉身
[00:04:23.000 --> 00:04:28.000]  另一批人就覺得用這麼多規矩
