
[00:00:00.000 --> 00:00:03.000]  人生真的是很短暫,是不是?
[00:00:03.000 --> 00:00:06.000]  沒有人會想到自己最愛的那一位
[00:00:06.000 --> 00:00:08.000]  一次的中風
[00:00:08.000 --> 00:00:11.000]  但是萬事互相效力
[00:00:11.000 --> 00:00:14.000]  叫愛神的人得一處
[00:00:14.000 --> 00:00:17.000]  因為先生的中風
[00:00:17.000 --> 00:00:21.000]  使得汪達來認識這位神
[00:00:21.000 --> 00:00:25.000]  自己的老伴這麼多年都不幸福
[00:00:25.000 --> 00:00:29.000]  結果竟然在92歲的時候
[00:00:29.000 --> 00:00:33.000]  他認識了耶穌基督
[00:00:33.000 --> 00:00:34.000]  親愛的弟兄姊妹
[00:00:34.000 --> 00:00:38.000]  我們這位神是一位偉大的神
[00:00:38.000 --> 00:00:42.000]  所以保羅在一幅所書裡面提到說
[00:00:42.000 --> 00:00:44.000]  我們新的主
[00:00:44.000 --> 00:00:46.000]  就是脫去了舊人
[00:00:46.000 --> 00:00:48.000]  傳上了新人
[00:00:48.000 --> 00:00:50.000]  今天不單單是對
[00:00:50.000 --> 00:00:53.000]  已經受洗的弟兄姊妹講這個信息
[00:00:53.000 --> 00:00:55.000]  也是對我們所有弟兄姊妹們
[00:00:55.000 --> 00:00:57.000]  再一次的提醒
[00:00:57.000 --> 00:00:59.000]  這是一個開始
[00:00:59.000 --> 00:01:01.000]  這不是一個結束
[00:01:01.000 --> 00:01:03.000]  當我們還沒有信主之前
[00:01:03.000 --> 00:01:05.000]  上帝在創造的時候
[00:01:05.000 --> 00:01:08.000]  人是一個什麼光景呢?
[00:01:08.000 --> 00:01:10.000]  這個圖看起來有點複雜
[00:01:10.000 --> 00:01:12.000]  我是跟他解釋一下
[00:01:12.000 --> 00:01:13.000]  你可以看見
[00:01:13.000 --> 00:01:18.000]  人有靈、魂、還有體
[00:01:18.000 --> 00:01:20.000]  我今天沒有時間講太多
[00:01:20.000 --> 00:01:22.000]  不管你是三元論、二元論
[00:01:22.000 --> 00:01:23.000]  你是靈魂體
[00:01:23.000 --> 00:01:25.000]  或者是靈魂跟體
[00:01:25.000 --> 00:01:28.000]  都是二體三用
[00:01:28.000 --> 00:01:32.000]  總之人有靈魂體
[00:01:32.000 --> 00:01:35.000]  那麼身體的作用
[00:01:35.000 --> 00:01:37.000]  所以我們吃我們的身體
[00:01:37.000 --> 00:01:40.000]  我們接觸這些是我們的身體
[00:01:40.000 --> 00:01:44.000]  但是接著是更高一層的是我們的魂
[00:01:44.000 --> 00:01:46.000]  魂是我們的理智、情感、意志
[00:01:46.000 --> 00:01:48.000]  所以我們會思想
[00:01:48.000 --> 00:01:50.000]  所以你看那些指揮家
[00:01:50.000 --> 00:01:51.000]  那些藝術家有沒有
[00:01:51.000 --> 00:01:53.000]  頭髮高高的亂亂的
[00:01:53.000 --> 00:01:55.000]  有沒有,自己回來
[00:01:55.000 --> 00:02:00.000]  那樣的人通常都是感性很強的
[00:02:00.000 --> 00:02:01.000]  有沒有
[00:02:01.000 --> 00:02:03.000]  那些工程師
[00:02:03.000 --> 00:02:04.000]  那個什麼電子工程師
[00:02:04.000 --> 00:02:06.000]  或computer science工程師
[00:02:06.000 --> 00:02:08.000]  那都是非常理性的
[00:02:08.000 --> 00:02:11.000]  所以這些都是我們的理智、情感、意志
[00:02:11.000 --> 00:02:13.000]  在那邊工作
[00:02:13.000 --> 00:02:17.000]  但是人有一個最重要的就是人有靈
[00:02:17.000 --> 00:02:18.000]  人這個靈
[00:02:18.000 --> 00:02:20.000]  是上帝在創造的時候
[00:02:20.000 --> 00:02:26.000]  記得在亞當的鼻孔裡面吹了一口氣
[00:02:26.000 --> 00:02:29.000]  他就成了有靈的活人
[00:02:29.000 --> 00:02:30.000]  所以中國人講說
[00:02:30.000 --> 00:02:33.000]  人之異於禽獸,則己稀
[00:02:33.000 --> 00:02:34.000]  聽過這句話嗎
[00:02:34.000 --> 00:02:37.000]  人跟禽獸的差別在哪裡
[00:02:37.000 --> 00:02:40.000]  所以就是在一口氣
[00:02:40.000 --> 00:02:42.000]  所以中國人很懂這件事情
[00:02:42.000 --> 00:02:47.000]  他說我就是爭這一口氣
