
[00:00:00.000 --> 00:00:04.860]  相信大家在這幾個月的時間裏面
[00:00:04.860 --> 00:00:09.520]  我們面對著這個疫情
[00:00:09.520 --> 00:00:14.400]  真的很需要去學習一些智慧
[00:00:14.400 --> 00:00:18.000]  例如最近在社會當中
[00:00:18.000 --> 00:00:20.160]  政府它所安排
[00:00:20.160 --> 00:00:25.040]  例如有這個新冠肺炎的化驗
[00:00:25.040 --> 00:00:28.320]  可能有很多人都會有不同的聲音
[00:00:28.320 --> 00:00:33.120]  究竟我們去不去做這個化驗呢?
[00:00:33.120 --> 00:00:36.200]  去做亦都是有它的原因
[00:00:36.200 --> 00:00:39.840]  不去做亦都是有它的原因
[00:00:39.840 --> 00:00:43.920]  我們其實都生活在這個地上
[00:00:43.920 --> 00:00:46.400]  生活在這個社會上
[00:00:46.400 --> 00:00:50.920]  我們亦多了這一重基督徒的身份
[00:00:50.920 --> 00:00:53.040]  其實我們所面對的事情
[00:00:53.040 --> 00:00:55.760]  不單止是這樣要去決定
[00:00:55.760 --> 00:01:00.560]  其實有很多事情我們都要去做決定
[00:01:00.560 --> 00:01:05.080]  所以我們需要有一份真智慧
[00:01:05.080 --> 00:01:08.320]  在這段經文當中
[00:01:08.320 --> 00:01:12.440]  其實可以說是分開了兩個段落
[00:01:12.440 --> 00:01:16.600]  第一個段落就是由第一節至到第五節
[00:01:16.600 --> 00:01:20.400]  第二個段落就是由第六節至到十六節
[00:01:20.400 --> 00:01:24.200]  即是我所講的就是第六節至十六節
[00:01:24.200 --> 00:01:27.920]  其實就是在十字架的信息裏面
[00:01:27.920 --> 00:01:32.560]  存在著一種真智慧
[00:01:32.560 --> 00:01:37.520]  在第一個段落就是講到十字架的救恩
[00:01:37.520 --> 00:01:43.920]  在第二個段落就是講到真智慧的特點
[00:01:43.920 --> 00:01:48.480]  在經文當中第一節裏面提到
[00:01:48.480 --> 00:01:54.920]  保羅他自己講到他來到哥倫多傳道
[00:01:54.920 --> 00:01:58.520]  他並不是用高賢大智的說話
[00:01:58.520 --> 00:02:01.600]  或者他在講道的內容的時候
[00:02:01.600 --> 00:02:06.440]  要用甚麼詞令去高談闊論
[00:02:06.440 --> 00:02:09.960]  而在當中他就是要講到
[00:02:09.960 --> 00:02:13.960]  在哥倫多教會因為他們所推崇的
[00:02:13.960 --> 00:02:22.520]  就是哲學當中的一些演講學和修辭法
[00:02:22.520 --> 00:02:25.080]  所以在保羅他自己所講
[00:02:25.080 --> 00:02:30.560]  他說其實他不是不懂一些言語和智慧
[00:02:30.560 --> 00:02:35.040]  只不過他在當中不去採用
[00:02:35.040 --> 00:02:38.520]  而是特別他更加要講出
[00:02:38.520 --> 00:02:45.320]  這個奧秘其實就是上帝自己的救贖計劃
[00:02:45.320 --> 00:02:51.920]  是藉著耶穌基督的一生已經表露了出來
[00:02:51.920 --> 00:02:57.320]  而其實當保羅他定義要去講
[00:02:57.320 --> 00:02:59.280]  這個去到哥倫多的時候
[00:02:59.280 --> 00:03:03.160]  去講述這個十字架的救恩的時候
[00:03:03.160 --> 00:03:09.880]  他心裏面是有一些忐忑的
[00:03:09.880 --> 00:03:14.080]  這個忐忑究竟是有甚麼呢?
[00:03:14.080 --> 00:03:16.280]  其實他自己講道
[00:03:16.280 --> 00:03:24.600]  他在他心裏面知道有軟弱、有懼怕
[00:03:24.600 --> 00:03:28.800]  亦都有這份戰經
[00:03:28.800 --> 00:03:33.560]  但是他有這些方面其實有可能的原因
[00:03:33.560 --> 00:03:39.640]  就是因為他對於上帝所託付他的使命
[00:03:39.640 --> 00:03:42.400]  他不敢去怠慢
[00:03:42.400 --> 00:03:46.120]  還有由於他自己身體的軟弱
[00:03:46.120 --> 00:03:49.960]  以至於他更加要去警醒
[00:03:49.960 --> 00:03:53.280]  因為他自己早前在雅典的時候
[00:03:53.280 --> 00:03:57.320]  那個傳呼音的工作可以說是很艱難
[00:03:57.320 --> 00:04:00.720]  以至於他在哥倫多的工作
[00:04:00.720 --> 00:04:05.600]  他的心靈的擔子就更加的沉重
[00:04:05.600 --> 00:04:08.720]  所以他是有這一種的表現
[00:04:08.720 --> 00:04:13.680]  而是和在哥倫多教會那些演說家
[00:04:13.680 --> 00:04:20.440]  他們所表達的措辭是有天淵之別的
[00:04:20.440 --> 00:04:27.560]  而當保羅他自己在第四節和第五節所講
[00:04:27.560 --> 00:04:30.640]  他說:他講的話、講的道
[00:04:30.640 --> 00:04:33.640]  不是用智慧委婉的言語
[00:04:33.640 --> 00:04:37.320]  而是用聖靈和大能的明證
[00:04:37.320 --> 00:04:41.760]  是叫你們的信不是在乎人的智慧
[00:04:41.760 --> 00:04:44.840]  只是在乎神的大能
[00:04:44.840 --> 00:04:52.280]  這個就是講出保羅他自己在帶著這麼警覺
[00:04:52.280 --> 00:04:56.080]  這麼沉重的心靈去侍奉的時候
[00:04:56.080 --> 00:04:58.320]  他所講的道
[00:04:58.320 --> 00:05:03.520]  他不是要用這些智慧委婉的言語
[00:05:03.520 --> 00:05:08.120]  因為這一切用智慧委婉的言語
[00:05:08.120 --> 00:05:14.960]  其實就會掩蓋了他要講述的內容的重要性
