
[00:00:00.000 --> 00:00:04.200]  我們知道我們要有一個屬靈武器的裝備
[00:00:04.200 --> 00:00:07.720]  我們看回屬靈武器的裝備裏面有六樣東西
[00:00:07.720 --> 00:00:09.720]  有三樣是貼著身的
[00:00:09.720 --> 00:00:12.040]  我不會很詳細的去講
[00:00:12.040 --> 00:00:13.680]  我們會不斷的很快的來講
[00:00:13.680 --> 00:00:15.840]  我們用真理的當作帶子束腰
[00:00:15.840 --> 00:00:19.360]  我們是需要有整全對真理的認識
[00:00:19.360 --> 00:00:23.000]  不是你喜歡哪些經文就拿這些經文來用
[00:00:23.000 --> 00:00:25.000]  容易會有偏差
[00:00:25.000 --> 00:00:28.160]  我們會有公義的護心鏡遮空
[00:00:28.160 --> 00:00:31.800]  意思就是我們已經相信神赦免了我們的罪的時候
[00:00:31.800 --> 00:00:33.000]  神就保護我們
[00:00:33.000 --> 00:00:35.800]  我們不再懼怕魔鬼的控訴
[00:00:35.800 --> 00:00:37.960]  還有就是我們有平安的福音
[00:00:37.960 --> 00:00:39.960]  當鞋子來帶我們走路
[00:00:39.960 --> 00:00:41.200]  當我們相信主的時候
[00:00:41.200 --> 00:00:43.720]  我們知道我們的主會幫助我們
[00:00:43.720 --> 00:00:45.080]  會保守我們
[00:00:45.080 --> 00:00:48.760]  於是我們就不再懼怕這些挑戰
[00:00:48.760 --> 00:00:51.160]  另外一個層次是什麼呢
[00:00:51.160 --> 00:00:53.680]  我們要有信德的藤牌
[00:00:53.680 --> 00:00:55.960]  這個是我們有好的品行
[00:00:55.960 --> 00:00:57.680]  當我們有好的品行的時候
[00:00:57.680 --> 00:01:01.600]  我們就不是那麼容易被人來誣衊我們
[00:01:01.600 --> 00:01:03.760]  還有就是戴上救恩的頭盔
[00:01:03.760 --> 00:01:05.520]  我想在這裡講多一點
[00:01:05.520 --> 00:01:09.800]  就是撒旦往往會用一些方法令我們灰心失望
[00:01:09.800 --> 00:01:13.440]  這個救恩的頭盔不是指我們的得救
[00:01:13.440 --> 00:01:16.520]  因為公義的護心鏡遮空已經是指我們的得救
[00:01:16.520 --> 00:01:19.800]  而是我們需要保守我們的思維
[00:01:19.800 --> 00:01:23.040]  免得我們來帶去失敗
[00:01:23.040 --> 00:01:25.920]  我們很容易在困境裡面
[00:01:25.920 --> 00:01:28.520]  我們就會看著一些很不開心的事
[00:01:28.520 --> 00:01:32.440]  但如果我們用信心仰望神會差很遠
[00:01:32.440 --> 00:01:37.240]  昨天講完晚堂之後回家收到一個消息
[00:01:37.240 --> 00:01:38.840]  都令我心疼
[00:01:38.840 --> 00:01:41.320]  我平時三分鐘就睡著了
[00:01:41.320 --> 00:01:43.840]  我昨天也不是立刻可以入睡
[00:01:43.840 --> 00:01:45.680]  我也要十分鐘左右才能入睡
[00:01:45.680 --> 00:01:51.040]  對我來說是很嚴重的失眠
[00:01:51.040 --> 00:01:56.480]  我平時真的三分鐘就已經寫鼻鼾
[00:01:56.480 --> 00:01:57.720]  我們知道
[00:01:57.720 --> 00:01:58.760]  我已經跟大家講過了
[00:01:58.760 --> 00:02:01.200]  我們葵涌那邊的辦公室
[00:02:01.200 --> 00:02:04.240]  業主加租加20%
[00:02:04.240 --> 00:02:07.800]  我們跟他見面問他可不可以減
[00:02:07.800 --> 00:02:10.920]  但他很堅持一毛錢都沒有減
[00:02:10.920 --> 00:02:14.360]  但是昨天收到業主給我們的一個消息
[00:02:14.360 --> 00:02:16.360]  就是我們不再租給你
[00:02:16.360 --> 00:02:18.720]  你要7月18號要離開
[00:02:18.720 --> 00:02:21.480]  現在距離7月18號都不夠兩個月
[00:02:21.480 --> 00:02:24.280]  我們如果真的要找地方
[00:02:24.280 --> 00:02:25.440]  我們要搬遷
[00:02:25.440 --> 00:02:27.840]  我們要找新的地方要裝修
[00:02:27.840 --> 00:02:30.000]  而且葵涌那邊已經沒有錢了
[00:02:30.000 --> 00:02:33.320]  還要這樣做簡直是一個很大的挑戰
[00:02:33.320 --> 00:02:36.240]  作為一個領導
[00:02:36.240 --> 00:02:39.720]  面對這些壓力是非常沉重
[00:02:39.720 --> 00:02:41.480]  那我可以做些什麼呢
[00:02:41.480 --> 00:02:45.360]  那時已經12點鐘才收到他們傳給我的消息
[00:02:45.360 --> 00:02:47.120]  我想我實踐我今天所講的
[00:02:47.120 --> 00:02:48.560]  我要仰望神
[00:02:48.560 --> 00:02:52.600]  可能是令到很多不開心的事會馬上出現
[00:02:52.600 --> 00:02:55.080]  但是我仍然相信神掌管
[00:02:55.080 --> 00:02:58.800]  我看的不是一些悲慘的事
[00:02:58.800 --> 00:03:00.560]  很簡單舉個例子
[00:03:00.560 --> 00:03:04.120]  我們粉嶺堂4月就被領展趕走了
[00:03:04.120 --> 00:03:06.120]  但是我們分散到不同的地方
[00:03:06.120 --> 00:03:07.520]  如果你有沒有留意到
[00:03:07.520 --> 00:03:12.880]  4月到現在我們的聚會人數竟然是不斷的升
[00:03:12.880 --> 00:03:15.960]  試過有兩個星期是過了500人
[00:03:15.960 --> 00:03:18.520]  雖然我們是分散到不同的地方
[00:03:18.520 --> 00:03:21.240]  但是神是在祝福我們
[00:03:21.240 --> 00:03:24.800]  所以這個苦難未必不是一件好事
[00:03:24.800 --> 00:03:27.120]  我還不知道現在的前景如何
[00:03:27.120 --> 00:03:29.600]  當然我們會繼續和業主去傾
[00:03:29.600 --> 00:03:32.320]  看看有沒有轉彎的餘地
[00:03:32.320 --> 00:03:34.640]  但是我們都要有兩手準備
[00:03:34.640 --> 00:03:39.960]  所以今天我們不要只是把焦點放在一些不開心的事上
[00:03:39.960 --> 00:03:42.440]  我們要保守我們的思維
[00:03:42.440 --> 00:03:46.160]  神仍然坐在寶座為皇神去掌管一切
[00:03:46.160 --> 00:03:48.520]  於是我們可以笑對逆境
[00:03:48.520 --> 00:03:52.560]  所以我們要帶著這樣的特殊規則保守我們的思維
[00:03:52.560 --> 00:03:55.080]  接著有一個攻擊性的武器是什麼呢?
[00:03:55.080 --> 00:03:58.840]  就是我們來運用神的道、神的說話
[00:03:58.840 --> 00:04:01.600]  來抗拒一些誘惑
[00:04:01.600 --> 00:04:04.320]  今天最後的一段是什麼呢?
[00:04:04.320 --> 00:04:06.840]  某個程度上這個又不是一件武器
[00:04:06.840 --> 00:04:09.400]  但是非常有關係
[00:04:09.400 --> 00:04:12.680]  就是要去禱告
[00:04:12.680 --> 00:04:15.480]  我們一起來看《異忽所書》
[00:04:15.480 --> 00:04:17.600]  第六章第十八節
[00:04:17.600 --> 00:04:19.280]  《異忽所書》第六章第十八節
[00:04:19.280 --> 00:04:20.520]  我們一起來讀出
[00:04:20.520 --> 00:04:31.320]  我們活在這個世上的時候
[00:04:31.320 --> 00:04:33.880]  其實我們已經陷入一個屬靈裡面的爭戰
[00:04:33.880 --> 00:04:36.080]  魔鬼會不斷來攻擊我們
[00:04:36.080 --> 00:04:39.480]  祂說到如果我們靠著必定會得勝
[00:04:39.480 --> 00:04:43.760]  但是我們仍然要有全副的軍裝都不足夠
[00:04:43.760 --> 00:04:46.360]  你又要有什麼呢?要有警繩
[00:04:46.360 --> 00:04:49.640]  禱告是我們來與神建立一個更好的關係
[00:04:49.640 --> 00:04:51.240]  以致我們可以警繩
[00:04:51.240 --> 00:04:53.640]  很簡單舉個例子,我真的要感恩
[00:04:53.640 --> 00:04:56.920]  大家知道城大倒塌了一個天花下來
[00:04:56.920 --> 00:04:58.440]  七百噸
[00:04:58.440 --> 00:05:00.440]  一間大學裡面
[00:05:00.440 --> 00:05:02.920]  如果裡面有很多學生的話
[00:05:02.920 --> 00:05:04.600]  一定死傷無數
[00:05:04.600 --> 00:05:06.600]  是一個很大的悲劇
[00:05:06.600 --> 00:05:08.280]  但是如果你看報紙的時候
[00:05:08.280 --> 00:05:11.560]  你要去多謝那個保安部的經理
[00:05:11.560 --> 00:05:13.880]  因為其實已經有仙兆了
[00:05:13.880 --> 00:05:17.360]  已經滲水了,有些泥沙掉下來
[00:05:17.360 --> 00:05:20.280]  那時候這個保安部的經理就去看
[00:05:20.280 --> 00:05:22.960]  都發覺問題很嚴重,馬上要封牆
[00:05:22.960 --> 00:05:24.960]  誰知道一封牆那一刻的時候
[00:05:24.960 --> 00:05:26.760]  就整個天花倒塌了
[00:05:26.760 --> 00:05:28.520]  你想一下如果那個人有裝備
[00:05:28.520 --> 00:05:30.320]  當他地盤工人
[00:05:30.320 --> 00:05:31.760]  他戴了頭盔
[00:05:31.760 --> 00:05:34.200]  還怕那些沙塵
[00:05:34.200 --> 00:05:36.880]  他摟著面膜
[00:05:36.880 --> 00:05:39.840]  那些什麼廢塵漬不可以進去
[00:05:39.840 --> 00:05:41.840]  但是這樣倒下來他一樣會死
[00:05:41.840 --> 00:05:44.120]  有裝備不代表什麼
[00:05:44.120 --> 00:05:45.520]  如果你不警醒
