
[00:00:00.000 --> 00:00:03.980]  我們今天來到《史道行傳》最後一講
[00:00:03.980 --> 00:00:08.260]  剛纔大家讀完第28章
[00:00:08.260 --> 00:00:13.580]  有沒有一種感覺好像那捲書突然間就停了
[00:00:13.580 --> 00:00:22.100]  你發現 咦 它沒有講到保羅的身世的結果
[00:00:22.100 --> 00:00:24.440]  又沒有講到彼得 突然間就停了
[00:00:24.440 --> 00:00:28.120]  你很自然就想轉去第29章 但又沒有
[00:00:28.120 --> 00:00:31.380]  最後那一節就是有人禁止
[00:00:31.380 --> 00:00:36.140]  給你一種意猶未盡的感覺
[00:00:36.140 --> 00:00:40.020]  其實這卷書這樣結束我覺得很有意思
[00:00:40.020 --> 00:00:44.680]  因爲保羅後來怎樣 彼得後來怎樣都不重要
[00:00:44.680 --> 00:00:49.100]  最重要就是聖靈的工作沒有人能夠禁止
[00:00:49.100 --> 00:00:51.600]  在保羅 彼得以後的2000年
[00:00:51.600 --> 00:00:56.080]  聖靈不斷地透過他的教會施行作爲
[00:00:56.080 --> 00:00:58.660]  我們很快就用幾分鐘來看看
[00:00:58.660 --> 00:01:04.820]  究竟接下來的2000年聖靈是怎樣的工作
[00:01:04.820 --> 00:01:08.120]  我們知道保羅和彼得最後是殉道
[00:01:08.120 --> 00:01:13.300]  年份大概是66到67年 有些人說65年
[00:01:13.300 --> 00:01:18.840]  保羅相傳是被皇帝尼祿審問
[00:01:18.840 --> 00:01:20.960]  尼祿是一個很邪惡的君王
[00:01:20.960 --> 00:01:25.200]  他謀殺了自己的媽媽 謀殺了自己的太太
[00:01:25.200 --> 00:01:29.180]  你可以想象一個這麼邪惡的人坐在審判座上
[00:01:29.180 --> 00:01:32.520]  而一個這麼聖潔的神木人就被審判
[00:01:32.520 --> 00:01:34.600]  他是被殺頭的
[00:01:34.600 --> 00:01:40.680]  不過相傳他在28章講到的房子裏面住了兩年
[00:01:40.680 --> 00:01:46.100]  他曾經被放出來 後來被捉拿 最後被殺頭
[00:01:46.100 --> 00:01:50.800]  殉道 彼得是被釘十字架
[00:01:50.800 --> 00:01:54.260]  但他要求被倒釘十字架 即是頭向下
[00:01:54.260 --> 00:02:02.000]  我不配像我的主耶穌基督這樣的仇人
[00:02:02.000 --> 00:02:08.740]  到了公元七十年 耶路撒冷被攻破 聖殿被毀
[00:02:08.740 --> 00:02:12.780]  應驗了耶穌基督在再生的時候
[00:02:12.780 --> 00:02:18.020]  四十年之前哀嘆耶路撒冷
[00:02:18.020 --> 00:02:20.760]  他說耶路撒冷 耶路撒冷
[00:02:20.760 --> 00:02:25.320]  你嘗試殺害先知 我多次聚集你們
[00:02:25.320 --> 00:02:31.120]  好似無雞聚集小雞一樣 只是你們不願意
[00:02:31.120 --> 00:02:33.740]  他說 康拉尼要成爲方場
[00:02:33.740 --> 00:02:38.040]  這個預言過了四十年就應驗了
[00:02:38.040 --> 00:02:42.760]  接下來就是二百多年的迫害
[00:02:42.760 --> 00:02:47.600]  到了三百一十二年就有一個大的轉變
