
[00:00:00.000 --> 00:00:02.000]  好,聽衆朋友早安
[00:00:02.000 --> 00:00:08.140]  我很少用powerpoint講道
[00:00:08.140 --> 00:00:10.140]  我教港島,我都是反對用powerpoint
[00:00:10.140 --> 00:00:12.140]  因爲powerpoint是疾耗了每一個港元
[00:00:12.140 --> 00:00:14.140]  到半路
[00:00:14.140 --> 00:00:16.140]  要舉的禮和東西
[00:00:16.140 --> 00:00:18.140]  但是也反映了一件事,有些東西都可以準備了
[00:00:18.140 --> 00:00:20.140]  特別是一些處境當中
[00:00:20.140 --> 00:00:22.140]  呃
[00:00:22.140 --> 00:00:24.140]  什麼來的
[00:00:24.140 --> 00:00:26.140]  大家都比較眼尖
[00:00:26.140 --> 00:00:28.140]  不只是看到穿着
[00:00:28.140 --> 00:00:30.140]  大戲服
[00:00:30.140 --> 00:00:32.140]  想給你看也是看這一副
[00:00:32.140 --> 00:00:34.140]  帝女花
[00:00:34.140 --> 00:00:36.140]  大家都懂得帝女花對不對
[00:00:36.140 --> 00:00:38.140]  知道對吧
[00:00:38.140 --> 00:00:40.140]  落花滿天蔽月光
[00:00:40.140 --> 00:00:42.140]  借一杯扶賤鳳台上
[00:00:42.140 --> 00:00:44.140]  這樣
[00:00:44.140 --> 00:00:46.140]  這下我不太行,你放心
[00:00:46.140 --> 00:00:48.140]  雖然有很多頂尖朋友
[00:00:48.140 --> 00:00:50.140]  喜歡樂曲,但是我又真的不太掌握這件事
[00:00:50.140 --> 00:00:52.140]  不過帝女花
[00:00:52.140 --> 00:00:54.140]  這個是什麼故事
[00:00:56.140 --> 00:00:58.140]  殉情故事
[00:00:58.140 --> 00:01:00.140]  我真的很喜歡羅密歐與朱麗葉
[00:01:00.140 --> 00:01:02.140]  或者長平公主與駙馬
[00:01:02.140 --> 00:01:04.140]  駙馬叫什麼名字
[00:01:04.140 --> 00:01:06.140]  你們讓我掌握很多
[00:01:06.140 --> 00:01:08.140]  我真的不知道
[00:01:08.140 --> 00:01:10.140]  周世顯
[00:01:10.140 --> 00:01:12.140]  這個
[00:01:12.140 --> 00:01:14.140]  殉情故事
[00:01:14.140 --> 00:01:16.140]  在什麼處境
[00:01:16.140 --> 00:01:22.140]  國破家亡,命亡
[00:01:22.140 --> 00:01:24.140]  大家有讀歷史
[00:01:24.140 --> 00:01:26.140]  被圍之際
[00:01:26.140 --> 00:01:28.140]  按故事說
[00:01:28.140 --> 00:01:30.140]  真的玩完了
[00:01:30.140 --> 00:01:32.140]  城被人圍了
[00:01:32.140 --> 00:01:34.140]  長平公主就結婚了
[00:01:34.140 --> 00:01:36.140]  很淒涼的故事
[00:01:36.140 --> 00:01:38.140]  接着
[00:01:38.140 --> 00:01:40.140]  結婚的合巾交杯
[00:01:40.140 --> 00:01:42.140]  酒就是毒酒
[00:01:42.140 --> 00:01:44.140]  當然
[00:01:44.140 --> 00:01:46.140]  看武學小說
[00:01:46.140 --> 00:01:48.140]  金庸那些就告訴你
[00:01:48.140 --> 00:01:50.140]  後來他就走了,斬了一隻手就毒避神離
[00:01:50.140 --> 00:01:52.140]  一大堆東西
[00:01:52.140 --> 00:01:54.140]  我不懂回答
[00:01:54.140 --> 00:01:56.140]  不過反過來
[00:01:56.140 --> 00:01:58.140]  想你們想起這件事
[00:01:58.140 --> 00:02:00.140]  圍城之際
[00:02:00.140 --> 00:02:02.140]  當年
[00:02:02.140 --> 00:02:04.140]  明末就是北京城
[00:02:04.140 --> 00:02:06.140]  今天剛剛我讀了聖經
[00:02:06.140 --> 00:02:08.140]  在耶利米亞的時間
[00:02:08.140 --> 00:02:10.140]  所圍的不是北京城
[00:02:10.140 --> 00:02:12.140]  是耶路撒冷
[00:02:12.140 --> 00:02:14.140]  平安的城
[00:02:14.140 --> 00:02:16.140]  平安的城現在很不安
[00:02:16.140 --> 00:02:18.140]  這個城應該很好
[00:02:18.140 --> 00:02:20.140]  現在不安
[00:02:20.140 --> 00:02:22.140]  大難臨頭
[00:02:22.140 --> 00:02:24.140]  要塌了
[00:02:24.140 --> 00:02:26.140]  禍患災難
