
[00:00:00.000 --> 00:00:07.500]  在今年我們的主題是「以基督的心為心」
[00:00:07.500 --> 00:00:12.500]  到底主耶穌基督的心腸是怎樣呢?
[00:00:12.500 --> 00:00:18.500]  在退休的經歷裏面,我們覺得主真是很慈愛
[00:00:18.500 --> 00:00:23.500]  很有恩典,無論我們個人的狀況是怎樣
[00:00:23.500 --> 00:00:26.500]  我們都可以跟主相遇
[00:00:26.500 --> 00:00:33.500]  在第二段經文,路加福音的七章三十六節講到
[00:00:33.500 --> 00:00:38.500]  有一個法利塞人請耶穌跟他吃飯
[00:00:38.500 --> 00:00:41.500]  耶穌去到他的家裏
[00:00:41.500 --> 00:00:45.500]  原來法利塞人請耶穌來吃飯
[00:00:45.500 --> 00:00:50.500]  並不是表示他要怎樣去尊敬這位主
[00:00:50.500 --> 00:00:55.500]  如果你看路加福音的第六章第七節
[00:00:55.500 --> 00:01:00.500]  那裏講到他想窺探耶穌
[00:01:00.500 --> 00:01:05.500]  要得把柄來告他
[00:01:05.500 --> 00:01:10.500]  在這個筵席進行當中發生的事情
[00:01:10.500 --> 00:01:12.500]  前文五章都有講到
[00:01:12.500 --> 00:01:19.500]  原來耶穌是跟瑞利和一班罪人來用飯
[00:01:19.500 --> 00:01:25.500]  代表上帝對一些避氣的人施行拯救
[00:01:25.500 --> 00:01:31.500]  雖然耶穌跟這個法利塞人西門來助席
[00:01:31.500 --> 00:01:35.500]  他卻是講到有罪的女人
[00:01:35.500 --> 00:01:40.500]  他能夠憑著信心得蒙他的赦免
[00:01:40.500 --> 00:01:47.500]  作者路加沒有仔細交代這個女人的名字
[00:01:47.500 --> 00:01:49.500]  在整個故事當中
[00:01:49.500 --> 00:01:52.500]  這個女人也沒有說一句話
[00:01:52.500 --> 00:01:57.500]  她在城裏被公認為是罪人
[00:01:57.500 --> 00:02:09.500]  表示她在猶太宗教領袖當中被藐視被脾氣
[00:02:09.500 --> 00:02:15.500]  第一方面我們見到耶穌對這個女人接納她
[00:02:15.500 --> 00:02:21.500]  這個女人雖然被人來鄙視遺棄
[00:02:21.500 --> 00:02:26.500]  在47節講到這個女人犯了許多的罪
[00:02:26.500 --> 00:02:30.500]  可見她的確講為人知
[00:02:30.500 --> 00:02:34.500]  真的做了很多不對的地方去犯錯
[00:02:34.500 --> 00:02:38.500]  可能她是一個妓女
[00:02:38.500 --> 00:02:42.500]  馬太福音在21章提到
[00:02:42.500 --> 00:02:47.500]  耶穌對當時在場的人說
[00:02:47.500 --> 00:02:50.500]  我實在告訴你們
[00:02:50.500 --> 00:02:56.500]  須你和昌紀賭給你們先進神的國
[00:02:56.500 --> 00:02:59.500]  因為約翰遵著二路
[00:02:59.500 --> 00:03:01.500]  到你們這裏來
[00:03:01.500 --> 00:03:03.500]  你們卻不信他
[00:03:03.500 --> 00:03:07.500]  須你和昌紀賭信他
[00:03:07.500 --> 00:03:16.500]  但經文沒有很清楚交代這個女人犯了什麼罪
[00:03:16.500 --> 00:03:21.500]  這個女人當時拿著玉萍的香膏
[00:03:21.500 --> 00:03:24.500]  反映她是有錢的
[00:03:24.500 --> 00:03:28.500]  這個香膏和玉萍都是很珍貴
[00:03:28.500 --> 00:03:32.500]  無論她的財富是怎樣得來
[00:03:32.500 --> 00:03:37.500]  這裏強調這個女人很尊重耶穌
[00:03:37.500 --> 00:03:42.500]  她用香膏來抹耶穌的腳
[00:03:42.500 --> 00:03:45.500]  她很愛主耶穌
[00:03:45.500 --> 00:03:48.500]  按當時的習慣
[00:03:48.500 --> 00:03:54.500]  耶穌在筵席裏側身坐
[00:03:54.500 --> 00:04:02.500]  這個女人站在她後面
[00:04:02.500 --> 00:04:07.500]  她當時很感動流淚
[00:04:07.500 --> 00:04:11.500]  代表她對耶穌的恩典的感激
[00:04:11.500 --> 00:04:16.500]  她忍不住流下感激的淚水
[00:04:16.500 --> 00:04:20.500]  她用頭髮來擦乾耶穌的腳
[00:04:20.500 --> 00:04:24.500]  也用嘴巴來親耶穌的腳
[00:04:24.500 --> 00:04:26.500]  抹上香膏
[00:04:26.500 --> 00:04:30.500]  表示她對耶穌非常尊重
[00:04:30.500 --> 00:04:36.500]  她好好接納,好好接待這位主
