
[00:00:00.000 --> 00:00:02.000]  各位領事館平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:06.000]  大家會留意到在我們今季
[00:00:06.000 --> 00:00:08.000]  今天是第一個主日
[00:00:08.000 --> 00:00:13.000]  亦都我們會開始一齊思想一卷新的經文
[00:00:13.000 --> 00:00:15.000]  就是聖經的《希伯來書》
[00:00:15.000 --> 00:00:18.000]  《希伯來書》裏面有很多寶貴的訊息
[00:00:18.000 --> 00:00:20.000]  是特別勉勵我們
[00:00:20.000 --> 00:00:22.000]  人生無論在甚麼處境
[00:00:22.000 --> 00:00:25.000]  我們堅定的信靠神
[00:00:25.000 --> 00:00:27.000]  所以我們就一齊來思想
[00:00:27.000 --> 00:00:30.000]  在這段日子求神幫助我們
[00:00:30.000 --> 00:00:32.000]  信主到底
[00:00:32.000 --> 00:00:36.000]  一路堅定的來信靠上帝
[00:00:36.000 --> 00:00:38.000]  亦都請你在這段時間
[00:00:38.000 --> 00:00:40.000]  你都為自己祈禱
[00:00:40.000 --> 00:00:43.000]  求神給你在這段日子讀聖經的時候
[00:00:43.000 --> 00:00:45.000]  更深刻的體會
[00:00:45.000 --> 00:00:48.000]  這位上帝是可信可靠的上帝
[00:00:48.000 --> 00:00:51.000]  值得你一心的來堅定跟隨
[00:00:51.000 --> 00:00:53.000]  我們大家再一齊祈禱
[00:00:53.000 --> 00:00:56.000]  我們求神都引導我們這段時間
[00:00:58.000 --> 00:01:01.000]  天父我們同心感謝祢
[00:01:01.000 --> 00:01:04.000]  主啊祢差遣主耶穌
[00:01:04.000 --> 00:01:07.000]  祢到世上承傳救恩
[00:01:07.000 --> 00:01:11.000]  祢又讓主耶穌住在我們生命當中
[00:01:11.000 --> 00:01:15.000]  主啊祢以我們為祢自己的聖殿
[00:01:15.000 --> 00:01:19.000]  讓我們可以有祢自己奇妙的同在
[00:01:19.000 --> 00:01:22.000]  主啊祢的救恩奇妙
[00:01:22.000 --> 00:01:24.000]  祢的憐憫浩大
[00:01:24.000 --> 00:01:27.000]  主我們今天到祢的面前來
