
[00:00:00.000 --> 00:00:02.000]  大家好,我是林牧師
[00:00:02.000 --> 00:00:07.000]  今年11月就是周六崇拜的五周年紀念
[00:00:07.000 --> 00:00:10.000]  所以今年由7月2日開始
[00:00:10.000 --> 00:00:13.000]  我就一年好幾個星期
[00:00:13.000 --> 00:00:18.000]  想跟大家分享我們未來十年的展望
[00:00:18.000 --> 00:00:22.000]  我們第一次的時候
[00:00:22.000 --> 00:00:24.000]  7月2日就打八號風球
[00:00:24.000 --> 00:00:26.000]  那天我們沒有辦法實體相聚
[00:00:26.000 --> 00:00:30.000]  我就在網上分享了,也錄了那個分享
[00:00:30.000 --> 00:00:32.000]  是一個大圖畫
[00:00:32.000 --> 00:00:35.000]  接著每一個周我就開始跟大家分享
[00:00:35.000 --> 00:00:38.000]  一些比較仔細的每一點
[00:00:38.000 --> 00:00:40.000]  包括了有封聖賢職
[00:00:40.000 --> 00:00:44.000]  講到我們未來十年的一些講道系列
[00:00:44.000 --> 00:00:45.000]  不朽保庫
[00:00:45.000 --> 00:00:49.000]  我們怎樣去用上帝給我們的資源
[00:00:49.000 --> 00:00:52.000]  我們有很多的講道和文字版
[00:00:52.000 --> 00:00:56.000]  讓他們成為不朽的保庫
[00:00:56.000 --> 00:00:59.000]  也都是成為傳福音的工具
[00:00:59.000 --> 00:01:00.000]  求經問道
[00:01:00.000 --> 00:01:03.000]  我們怎樣繼續讓讀經和祈禱
[00:01:03.000 --> 00:01:08.000]  成為我們教會一個非常之核心的價值
[00:01:08.000 --> 00:01:12.000]  以致在長遠去到十年之後
[00:01:12.000 --> 00:01:16.000]  每一個走進來我們教會裡面成為會友的人
[00:01:16.000 --> 00:01:18.000]  都不需要想的了
[00:01:18.000 --> 00:01:21.000]  就是要去讀經和他們的祈禱
[00:01:21.000 --> 00:01:25.000]  是為著天國求他的國和他的義
[00:01:25.000 --> 00:01:29.000]  上個星期我跟大家分享這個異象是四代同堂
[00:01:29.000 --> 00:01:34.000]  當然我們距離發展孩子們的侍宮
[00:01:34.000 --> 00:01:37.000]  年輕人的侍宮
[00:01:37.000 --> 00:01:39.000]  學生的侍宮
[00:01:39.000 --> 00:01:40.000]  家庭侍宮
[00:01:40.000 --> 00:01:44.000]  甚至去到長者侍宮都仍然有很遠
[00:01:44.000 --> 00:01:47.000]  但我都給了大家一些想法
[00:01:47.000 --> 00:01:51.000]  我們真的希望我們裡面每一個每一代的人
[00:01:51.000 --> 00:01:55.000]  裡面都是很清晰福音的內容
[00:01:55.000 --> 00:01:58.000]  以及真心的去悔改去相信
[00:01:58.000 --> 00:02:01.000]  以致我們的信仰在教會裡面
[00:02:01.000 --> 00:02:07.000]  真的四代同堂是可以去為天國打一場漂亮的仗
[00:02:07.000 --> 00:02:11.000]  今天是第六個分享未來戰士
[00:02:11.000 --> 00:02:15.000]  或者是整個分享系列裡面
