
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹早安
[00:00:02.000 --> 00:00:06.000]  在港島之先我們再次同心禱告
[00:00:06.000 --> 00:00:10.000]  愛慰天父我們感謝讚美你
[00:00:10.000 --> 00:00:12.000]  你讓我們在這個早上
[00:00:12.000 --> 00:00:14.000]  有生命氣息來到你庚前
[00:00:14.000 --> 00:00:16.000]  敬拜親近你
[00:00:16.000 --> 00:00:18.000]  主啊這是你給我們
[00:00:18.000 --> 00:00:20.000]  何等大的恩典和福氣
[00:00:20.000 --> 00:00:23.000]  我們願意就來到你庚前
[00:00:23.000 --> 00:00:26.000]  我們願意謙卑苦服地去敬拜你
[00:00:26.000 --> 00:00:29.000]  向你獻上我們至誠的讚美
[00:00:29.000 --> 00:00:32.000]  我們更加感謝主你賜給我們
[00:00:32.000 --> 00:00:34.000]  有寶貴的話語
[00:00:34.000 --> 00:00:37.000]  你的話語打開就充滿著亮光
[00:00:37.000 --> 00:00:40.000]  去照亮我們人生前面的每一步
[00:00:40.000 --> 00:00:43.000]  帶領著我們行當走的路
[00:00:43.000 --> 00:00:44.000]  我們多謝你
[00:00:44.000 --> 00:00:46.000]  當我們現在要去
[00:00:46.000 --> 00:00:50.000]  一起去查考你的話語的時候
[00:00:50.000 --> 00:00:52.000]  求天父你賜給我們
[00:00:52.000 --> 00:00:55.000]  有悟性去能夠明白
[00:00:55.000 --> 00:00:57.000]  能夠有勇氣在生活當中
[00:00:57.000 --> 00:00:59.000]  去實踐出來
[00:00:59.000 --> 00:01:02.000]  主啊求你與我們同在
[00:01:02.000 --> 00:01:03.000]  多謝主你
[00:01:03.000 --> 00:01:05.000]  以上禱告奉靠主耶穌
[00:01:05.000 --> 00:01:07.000]  基督性命祈求
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:08.000 --> 00:01:13.000]  有人用坐巴士
[00:01:13.000 --> 00:01:16.000]  去談論我們的人生
[00:01:16.000 --> 00:01:19.000]  他說有很多的乘客
[00:01:19.000 --> 00:01:20.000]  在不同的地方
[00:01:20.000 --> 00:01:23.000]  不同的時間去上巴士
[00:01:23.000 --> 00:01:25.000]  有人上車的時候
[00:01:25.000 --> 00:01:27.000]  人不是很多
[00:01:27.000 --> 00:01:29.000]  所以他能夠找到位置坐下
[00:01:29.000 --> 00:01:32.000]  他還能夠選到一個很舒服的位置
[00:01:32.000 --> 00:01:34.000]  能夠全程坐在那裡
[00:01:34.000 --> 00:01:36.000]  可以看外面的風景
[00:01:36.000 --> 00:01:38.000]  也可以閉上眼睛睡
[00:01:38.000 --> 00:01:41.000]  慢慢過了幾個站之後
[00:01:41.000 --> 00:01:43.000]  日開始人多上車了
[00:01:43.000 --> 00:01:45.000]  車子開始擠迫
[00:01:45.000 --> 00:01:48.000]  上車的人再沒有位置坐
[00:01:48.000 --> 00:01:50.000]  那就要站位
[00:01:50.000 --> 00:01:53.000]  有些可以找到一個比較舒適的位置站
[00:01:53.000 --> 00:01:56.000]  有些位置站得不太舒服
[00:01:56.000 --> 00:01:58.000]  但無論如何站位
[00:01:58.000 --> 00:02:01.000]  都要一隻手扶著扶手
[00:02:01.000 --> 00:02:04.000]  可能一隻手拿著自己的行李
[00:02:04.000 --> 00:02:07.000]  到了一個站的時候
[00:02:07.000 --> 00:02:09.000]  原本坐在很漂亮的位置
[00:02:09.000 --> 00:02:11.000]  很舒服的位置的人
[00:02:11.000 --> 00:02:14.000]  到站都要站起來下車
[00:02:14.000 --> 00:02:16.000]  然後站在附近的人
[00:02:16.000 --> 00:02:20.000]  就有機會坐在那個舒適的位置
[00:02:20.000 --> 00:02:23.000]  所以有些人上了巴士的時候
[00:02:23.000 --> 00:02:25.000]  他們很有計劃應該站在哪個位置
[00:02:25.000 --> 00:02:27.000]  就能夠快點有位置坐
