
[00:00:00.000 --> 00:00:05.000]  各位,今天你們給我的題目叫做「愛不怕」
[00:00:05.000 --> 00:00:08.000]  各位,你怕不怕呢?
[00:00:08.000 --> 00:00:13.000]  其實人生是有很多怕的經驗的,是不是?
[00:00:13.000 --> 00:00:15.000]  很多怕的經驗
[00:00:15.000 --> 00:00:18.000]  有誰敢說我不怕呢?
[00:00:18.000 --> 00:00:24.000]  其實說不怕,其實就是真正的怕
[00:00:24.000 --> 00:00:27.000]  一個著名的醫生曾經這樣說
[00:00:27.000 --> 00:00:33.000]  人類最流行的疾病就是恐懼
[00:00:33.000 --> 00:00:37.000]  一個很有聲望的心理分析專家
[00:00:37.000 --> 00:00:43.000]  亦提出人類人格最大的敵人也是恐懼
[00:00:43.000 --> 00:00:46.000]  我剛才問有誰不怕呢?
[00:00:46.000 --> 00:00:48.000]  未怕過呢?
[00:00:48.000 --> 00:00:52.000]  其實怕有正常和不正常兩種
[00:00:52.000 --> 00:00:55.000]  正常是與生俱來
[00:00:55.000 --> 00:00:57.000]  你必須要有的
[00:00:57.000 --> 00:01:00.000]  而且是智慧性的機能
[00:01:00.000 --> 00:01:04.000]  如果一個人沒有正常的懼怕
[00:01:04.000 --> 00:01:08.000]  可能他是一個遲鈍、不健全的人
[00:01:08.000 --> 00:01:11.000]  所以有人說懼怕可能是一種健康
[00:01:11.000 --> 00:01:15.000]  而且有益的情緒、情感
[00:01:15.000 --> 00:01:18.000]  提供我們對危險的警覺
[00:01:18.000 --> 00:01:21.000]  並且刺激我們的行動
[00:01:21.000 --> 00:01:25.000]  比方說我剛剛從以色列回來
[00:01:25.000 --> 00:01:27.000]  其實去以色列很棒的
[00:01:27.000 --> 00:01:30.000]  有機會去聖地
[00:01:30.000 --> 00:01:31.000]  我去過很多次了
[00:01:31.000 --> 00:01:33.000]  這些弟兄姊妹我帶去
[00:01:33.000 --> 00:01:38.000]  但我最怕就是去以色列入境時的關閘
[00:01:38.000 --> 00:01:41.000]  那些麻煩法真的怕了
[00:01:41.000 --> 00:01:44.000]  但我叫弟兄姊妹忍耐一下
[00:01:44.000 --> 00:01:45.000]  為什麼呢?
[00:01:45.000 --> 00:01:48.000]  你知不知道他們每天都遇到危險
[00:01:48.000 --> 00:01:50.000]  每天都面對著死亡
[00:01:50.000 --> 00:01:51.000]  有什麼不怕的
[00:01:51.000 --> 00:01:53.000]  所以他們查到你什麼都徹底了
[00:01:53.000 --> 00:01:57.000]  什麼都要問、什麼都要看、什麼都要查過
[00:01:57.000 --> 00:01:59.000]  有時候我回到香港說
[00:01:59.000 --> 00:02:00.000]  輸一口氣
[00:02:00.000 --> 00:02:01.000]  為什麼?
[00:02:01.000 --> 00:02:03.000]  因為香港真的是自由
[00:02:03.000 --> 00:02:05.000]  我們不需要這麼多問題
[00:02:05.000 --> 00:02:09.000]  我們小朋友為什麼會怕火呢?
[00:02:09.000 --> 00:02:11.000]  因為被火燒過
[00:02:11.000 --> 00:02:13.000]  所以他怕火
[00:02:13.000 --> 00:02:15.000]  游泳的時候我們要小心那些漩渦
[00:02:15.000 --> 00:02:16.000]  為什麼呢?
[00:02:16.000 --> 00:02:18.000]  因為怕淹死
[00:02:18.000 --> 00:02:21.000]  睡覺的時候我們把門關好、把窗關好
[00:02:21.000 --> 00:02:22.000]  為什麼呢?
[00:02:22.000 --> 00:02:24.000]  我們怕偷東西
[00:02:24.000 --> 00:02:30.000]  中年的人兩頭沒有胖到中間胖了
[00:02:30.000 --> 00:02:31.000]  我們要怕了
[00:02:31.000 --> 00:02:33.000]  要小心了
[00:02:33.000 --> 00:02:35.000]  小心飲食了
[00:02:35.000 --> 00:02:37.000]  其實這個是正常有益的
[00:02:37.000 --> 00:02:40.000]  其實聖經裡面都說過什麼呢?
[00:02:40.000 --> 00:02:44.000]  經威爺說是智慧的開端
