
[00:00:00.000 --> 00:00:06.720]  沙士比亞北下的一個很出名的羅密歐與茱麗葉
[00:00:06.720 --> 00:00:10.720]  沙士比亞有一齣很出名的《羅密歐與茱麗葉》
[00:00:10.720 --> 00:00:13.200]  有一段這樣的說話
[00:00:13.200 --> 00:00:15.200]  這裡面有這樣的一段話
[00:00:15.200 --> 00:00:19.840]  當茱麗葉發現羅密歐原來是他們仇家的兒子的時候
[00:00:19.840 --> 00:00:24.160]  當茱麗葉發現那個羅密歐原來是她仇家的兒子的時候
[00:00:24.160 --> 00:00:26.880]  茱麗亞就這樣說了
[00:00:26.880 --> 00:00:30.000]  她說一朵玫瑰花
[00:00:30.000 --> 00:00:34.160]  無論是不是叫玫瑰花都不影響那朵玫瑰花的香味
[00:00:34.160 --> 00:00:37.680]  她說這個玫瑰花不管是叫做什麼名字
[00:00:37.680 --> 00:00:39.680]  都不會影響它的香味
[00:00:39.680 --> 00:00:42.880]  意思就是說就算你叫不叫那個玫瑰花
[00:00:42.880 --> 00:00:46.720]  那個名字不影響那個物件的實質
[00:00:46.720 --> 00:00:50.080]  這個意思就是說不管你那個叫什麼名字
[00:00:50.080 --> 00:00:53.040]  但是這個名字是不會影響這個事物的本質
[00:00:53.040 --> 00:00:55.040]  聽起來相當有道理
[00:00:55.040 --> 00:00:57.040]  聽起來覺得相當有道理
[00:00:57.040 --> 00:01:00.480]  在聖經裡面神的名字呢
[00:01:00.480 --> 00:01:02.480]  但是在聖經裡神的名字呢
[00:01:02.480 --> 00:01:04.480]  是遠遠超過一個名字那麼簡單
[00:01:04.480 --> 00:01:06.480]  是遠遠超過一個名字那麼簡單
[00:01:06.480 --> 00:01:10.240]  今天我們就通過剛才所讀的經文
[00:01:10.240 --> 00:01:12.240]  今天我們就通過剛才所讀的經文
[00:01:12.240 --> 00:01:14.240]  去嘗試明白神的名字是什麼意思
[00:01:14.240 --> 00:01:16.240]  首先去明白神的名字是什麼意思
[00:01:16.240 --> 00:01:18.240]  聖經甚至告訴我們
[00:01:18.240 --> 00:01:20.240]  忘稱神的名必被定為有罪
[00:01:20.240 --> 00:01:22.240]  那麼聖經告訴我們
[00:01:22.240 --> 00:01:24.240]  忘稱神的名必被有罪
[00:01:24.240 --> 00:01:26.240]  讓我們開始做一個禱告
[00:01:26.240 --> 00:01:28.240]  讓我們開始做一個禱告
[00:01:28.240 --> 00:01:30.240]  神啊我們多謝祢
[00:01:30.240 --> 00:01:32.240]  神啊我們多謝祢
[00:01:32.240 --> 00:01:34.240]  雖然今天天氣寒冷
[00:01:34.240 --> 00:01:36.240]  神啊我們仍然奉祢的名來聚會
[00:01:36.240 --> 00:01:38.240]  神啊我們都奉祢的名前來聚會
[00:01:38.240 --> 00:01:40.240]  神啊我們都奉祢的名前來聚會
[00:01:40.240 --> 00:01:42.240]  因為祢的名是寶貴
[00:01:42.240 --> 00:01:44.240]  因為祢的名是寶貴
[00:01:44.240 --> 00:01:46.240]  祢的名值得我們來到祢的殿中敬拜祢
[00:01:46.240 --> 00:01:48.240]  祢的名值得我們來到祢的殿中敬拜祢
[00:01:48.240 --> 00:01:50.240]  祢的名值得我們來到祢的殿中敬拜祢
[00:01:50.240 --> 00:01:52.240]  求祢今天讓我們明白這個道理
[00:01:52.240 --> 00:01:54.240]  求祢今天讓我們明白這個道理
[00:01:54.240 --> 00:01:56.240]  尊祢的名為大
[00:01:56.240 --> 00:01:58.240]  尊祢的名為大
[00:01:58.240 --> 00:02:00.240]  尊祢的名為聖
[00:02:00.240 --> 00:02:02.240]  尊祢的名為聖
[00:02:02.240 --> 00:02:04.240]  聽我們祈禱奉主名求
[00:02:04.240 --> 00:02:06.240]  聽我們的禱告奉主名求
[00:02:06.240 --> 00:02:08.240]  昨天我們國語小組的聚會
[00:02:08.240 --> 00:02:10.240]  昨天我們國語小組的聚會
[00:02:10.240 --> 00:02:12.240]  我們張屯道就說
[00:02:12.240 --> 00:02:14.240]  大家知不知道我們的神
[00:02:14.240 --> 00:02:16.240]  姓什麼的
