
[00:00:00.000 --> 00:00:01.560]  在七月和八月的時候
[00:00:01.560 --> 00:00:02.840]  我們有三位牧者
[00:00:02.840 --> 00:00:04.640]  分別是Pastor Ronald
[00:00:04.640 --> 00:00:06.880]  Pastor Lillian和Pastor Tim
[00:00:06.880 --> 00:00:09.080]  他們三位都說到關乎
[00:00:09.080 --> 00:00:10.080]  在我們當中
[00:00:10.080 --> 00:00:11.040]  我們上上
[00:00:11.040 --> 00:00:12.400]  在同福都不願
[00:00:12.400 --> 00:00:14.080]  我們會成爲一個口號
[00:00:14.080 --> 00:00:17.800]  就是一杯涼水給最少的小子
[00:00:17.800 --> 00:00:20.440]  我按照教會的安排
[00:00:20.440 --> 00:00:22.440]  我都會繼續在這個話題
[00:00:22.440 --> 00:00:25.200]  課題當中我們去思考
[00:00:25.200 --> 00:00:26.920]  在神的恩典裏面
[00:00:26.920 --> 00:00:27.960]  或者我這麼說
[00:00:27.960 --> 00:00:29.760]  他們三位已經說得很出色
[00:00:29.760 --> 00:00:32.360]  並且將教會很多的服事
[00:00:32.360 --> 00:00:35.200]  的一些片段和我們分享了
[00:00:35.200 --> 00:00:37.200]  讓我試一下走遠一點
[00:00:37.200 --> 00:00:40.520]  在不同的角度裏面我們去看看
[00:00:40.520 --> 00:00:44.960]  上帝喜悅我們出去服事
[00:00:44.960 --> 00:00:47.440]  上帝喜悅我們這羣人
[00:00:47.440 --> 00:00:51.560]  出去將福音傳開去
[00:00:51.560 --> 00:00:53.240]  上帝在他的話語裏面
[00:00:53.240 --> 00:00:55.840]  有一個這樣的話語他這麼說
[00:00:55.840 --> 00:00:56.600]  聖經這麼說
[00:00:56.600 --> 00:01:00.480]  他說馬太福音有一個經文
[00:01:00.480 --> 00:01:02.880]  我相信大家都很熟悉
[00:01:02.880 --> 00:01:07.040]  馬太福音我們看到
[00:01:07.040 --> 00:01:09.880]  28章第19至20節
[00:01:09.880 --> 00:01:10.640]  其實我們很熟悉
[00:01:10.640 --> 00:01:11.120]  他說
[00:01:11.120 --> 00:01:14.800]  所以你們要去死萬民作惡的門徒
[00:01:14.800 --> 00:01:15.440]  然後怎麼說
[00:01:15.440 --> 00:01:18.080]  他說我們要帶領那羣人去
[00:01:18.080 --> 00:01:19.560]  接受神的恩典
[00:01:19.560 --> 00:01:22.000]  並且奉父子聖靈的名
[00:01:22.000 --> 00:01:23.240]  爲他們施洗
[00:01:23.240 --> 00:01:24.840]  然後上帝給我們一個應許
[00:01:24.840 --> 00:01:28.760]  他說我就常與你們同在
[00:01:28.760 --> 00:01:30.720]  直到世界的末了
[00:01:30.720 --> 00:01:33.320]  這個經文在愚民的籍譯裏面
[00:01:33.320 --> 00:01:35.000]  有另一種的味道
[00:01:35.000 --> 00:01:38.560]  其實味道是更加加強那些重點的話語
[00:01:38.560 --> 00:01:39.280]  他說
[00:01:39.280 --> 00:01:41.480]  所以你們要去
[00:01:41.480 --> 00:01:42.080]  去做什麼
[00:01:42.080 --> 00:01:44.280]  他有幾個動詞我們特別留意
[00:01:44.280 --> 00:01:47.160]  也有幾個名詞我們都需要留意
[00:01:47.160 --> 00:01:48.880]  他說到我們這羣人
[00:01:48.880 --> 00:01:50.640]  他向着那羣門徒說
[00:01:50.640 --> 00:01:53.480]  也讓我們知道現代進行性
[00:01:53.480 --> 00:01:55.520]  我們應該要繼續的
[00:01:55.520 --> 00:01:58.560]  繼續去對着另一個對象
[00:01:58.560 --> 00:02:01.440]  那個叫做所有民族
[00:02:01.440 --> 00:02:02.720]  去做些什麼
[00:02:02.720 --> 00:02:03.520]  當中的動作
[00:02:03.520 --> 00:02:05.200]  他說我們要滿分他們
[00:02:05.200 --> 00:02:06.680]  帶領他們成爲主的門徒
[00:02:06.680 --> 00:02:09.160]  我們要爲他們去施洗
[00:02:09.160 --> 00:02:13.800]  我們要將耶穌基督的教訓教訓他們
[00:02:13.800 --> 00:02:18.480]  然後有一個結果會出現
[00:02:18.480 --> 00:02:22.120]  結果竟然是關乎我們自身的好處
[00:02:22.120 --> 00:02:24.880]  他說且看我所有日子中
[00:02:24.880 --> 00:02:31.400]  我與你們在一起直到世代的結束
[00:02:31.400 --> 00:02:32.840]  我們今天會看
[00:02:32.840 --> 00:02:36.000]  特別去留意神的同在
[00:02:36.000 --> 00:02:37.440]  《瓦爾泰福音》28章
[00:02:37.440 --> 00:02:41.360]  其實正正回應《瓦爾泰福音》第一章
[00:02:41.360 --> 00:02:43.560]  耶穌的降生
[00:02:43.560 --> 00:02:45.840]  大家我想很熟悉的就是知道
[00:02:45.840 --> 00:02:47.560]  祂被稱爲什麼
[00:02:47.560 --> 00:02:48.840]  以馬來尼
[00:02:48.840 --> 00:02:52.760]  以馬來尼翻出來就是神與我們同在
