
[00:00:00.000 --> 00:00:11.120]  可能有些人都知道,上星期對我們招家來說是個大日子
[00:00:11.120 --> 00:00:18.560]  因為上星期是師母生日,很大件事,師母生日是二十七十四
[00:00:18.560 --> 00:00:28.200]  兒子都回來了,兒子帶兩個孫回來,吃什麼,雖然是師母生日
[00:00:28.200 --> 00:00:34.440]  都要看兒子和孫子喜歡什麼,結果就吃韓國燒烤
[00:00:34.440 --> 00:00:38.800]  吃得很開心,我慣常地會做什麼呢?
[00:00:38.800 --> 00:00:42.760]  孫子和媳婦回來的時候,通常都是我招呼他們
[00:00:42.760 --> 00:00:48.040]  喝什麼,吃什麼,飯前果,飯後果,一大堆的東西
[00:00:48.040 --> 00:00:54.600]  他們喜歡玩什麼,跟他們鬥鬥開心,因為不是經常有機會見到他們
[00:00:54.600 --> 00:01:00.680]  吃完飯之後就切好生日蛋糕,我大兒子就坐在一旁
[00:01:00.680 --> 00:01:08.080]  開始拿他的手機出來查一下電郵,我兩個孫子就去客廳
[00:01:08.080 --> 00:01:14.400]  坐在地上玩Woblox,小孩子很流行的遊戲
[00:01:14.400 --> 00:01:20.160]  不過半小時之後,鈴鈴鈴鈴鈴鈴,計時鬧鐘響了
[00:01:20.160 --> 00:01:24.640]  他們很會做的,馬上關機,自己找別的東西玩
[00:01:24.640 --> 00:01:31.320]  我和師母通常吃完飯之後,會跟Parsnip和他的媳婦
[00:01:31.320 --> 00:01:35.000]  他們很喜歡跟我們同在一起,我們有這樣的習慣
[00:01:35.000 --> 00:01:36.560]  講故事,講什麼故事呢?
[00:01:36.560 --> 00:01:40.520]  講一下過去一星期的情況,我們弄得怎麼樣,你們弄得怎麼樣
[00:01:40.520 --> 00:01:46.400]  分享一下我們在侍奉上的一些經驗,一些體會
[00:01:46.400 --> 00:01:51.880]  這個其實是一個很標準的,每次我們一家人一起吃飯的時候
[00:01:51.880 --> 00:01:56.000]  都是這樣的情況,不知道大家怎麼看呢?
