
[00:00:00.000 --> 00:00:03.200]  各位地緣的朋友們 早安
[00:00:03.200 --> 00:00:07.200]  很高興 我每一次看大家都是快快樂樂高高興興
[00:00:07.200 --> 00:00:09.200]  我們新年就是要這樣
[00:00:09.200 --> 00:00:10.000]  是不是
[00:00:10.000 --> 00:00:12.400]  每天都是喜樂融融的
[00:00:12.400 --> 00:00:14.200]  哈利路亞讚美神
[00:00:14.200 --> 00:00:22.800]  今天要跟各位分享的信息是
[00:00:22.800 --> 00:00:25.200]  從早到晚
[00:00:25.200 --> 00:00:27.200]  因爲我發現
[00:00:27.200 --> 00:00:29.000]  我們從早到晚
[00:00:29.000 --> 00:00:30.800]  忙做工啊
[00:00:30.800 --> 00:00:34.200]  我們有的時候希望一天有四十八個小時
[00:00:34.200 --> 00:00:36.200]  等你真有四十八個小時的時候
[00:00:36.200 --> 00:00:38.600]  你希望一天有九十六個小時
[00:00:38.600 --> 00:00:39.600]  哈利路亞
[00:00:39.600 --> 00:00:41.400]  難怪詩篇二十三篇
[00:00:41.400 --> 00:00:44.000]  它說耶和華是我的牧者
[00:00:44.000 --> 00:00:45.800]  我必不知缺乏
[00:00:45.800 --> 00:00:49.400]  他使我躺臥在青草地上
[00:00:49.400 --> 00:00:52.000]  以命我在可安歇的水邊
[00:00:52.000 --> 00:00:53.200]  英文是說
[00:00:53.200 --> 00:00:55.200]  He makes me
[00:00:55.200 --> 00:00:57.600]  他強迫我
[00:00:57.600 --> 00:00:59.800]  在那個青草地溪水邊
[00:00:59.800 --> 00:01:01.800]  不然我們還要拼命去賺錢
[00:01:01.800 --> 00:01:03.200]  拼命去打拼
[00:01:03.200 --> 00:01:05.600]  拼命去幹什麼幹什麼
[00:01:05.600 --> 00:01:07.400]  神說來到我的面前
[00:01:07.400 --> 00:01:09.200]  從早到晚
[00:01:09.200 --> 00:01:11.600]  不是叫我們不要認真
[00:01:11.600 --> 00:01:13.000]  乃是說
