
[00:00:00.000 --> 00:00:07.000]  不知今日惡劣的環境會否打擊你對主的信心
[00:00:07.000 --> 00:00:11.000]  在今日我們所看的經文裏面
[00:00:11.000 --> 00:00:16.000]  我們會看到一位被譽為偉大的先知 施洗若翰
[00:00:16.000 --> 00:00:22.000]  舊日很多先知都是預言尼塞亞的降生
[00:00:22.000 --> 00:00:30.000]  但這位先知可以成為耶穌的先鋒 親眼見到耶穌
[00:00:30.000 --> 00:00:35.000]  但奈何當他面對人生裏面一些逆境難處的時候
[00:00:35.000 --> 00:00:39.000]  我們發覺原來他也有一刻有信心軟弱的時候
[00:00:39.000 --> 00:00:44.000]  彷彿給了我們一些安慰
[00:00:44.000 --> 00:00:50.000]  這麼淑寧的偉人 神的先知也會有信心軟弱的時候
[00:00:50.000 --> 00:00:54.000]  所以我們承認我們人真的有限
[00:00:54.000 --> 00:00:57.000]  但有疑問有信心軟弱不要緊
[00:00:57.000 --> 00:01:00.000]  最緊要我們找到出路
[00:01:00.000 --> 00:01:05.000]  今日拍望藉著《路加福音》第七章十八至二十三節這段經文
[00:01:05.000 --> 00:01:11.000]  能夠和大家分享我們一起尋求神的啟示
[00:01:11.000 --> 00:01:15.000]  願以弟子之名我們再一次同心低頭禱告
[00:01:15.000 --> 00:01:21.000]  慈悲天父我們感謝咒命您 求您幫助我們
[00:01:21.000 --> 00:01:25.000]  讓我們每一次去打開聖經去研讀您的話語的時候
[00:01:25.000 --> 00:01:27.000]  我們都得到聖靈的幫助
[00:01:27.000 --> 00:01:30.000]  讓我們不單止去明白去領悟
[00:01:30.000 --> 00:01:33.000]  也有能力去遵循主祢自己的話語
[00:01:33.000 --> 00:01:39.000]  在這一刻無論是講的聽的都求主祢一同去帶領去賜福
[00:01:39.000 --> 00:01:44.000]  誰聽我們的禱告是奉靠主耶穌基督的名字而求
[00:01:44.000 --> 00:01:47.000]  阿門
[00:01:47.000 --> 00:01:52.000]  和大家重溫一下施洗約翰這個人的背景
[00:01:52.000 --> 00:01:55.000]  施洗約翰的父親是撒加利亞
[00:01:55.000 --> 00:01:56.000]  也是一個先知
[00:01:56.000 --> 00:02:00.000]  媽媽是伊麗莎白
[00:02:00.000 --> 00:02:03.000]  他們兩位年紀都很老邁
[00:02:03.000 --> 00:02:09.000]  但是神差遣天使去預告他們會生一個兒子
[00:02:09.000 --> 00:02:12.000]  要幫他改名叫約翰
[00:02:12.000 --> 00:02:14.000]  約翰在媽媽的禱福裡面
[00:02:14.000 --> 00:02:17.000]  聖經形容已經被聖靈充滿
[00:02:17.000 --> 00:02:21.000]  所以我們會發覺這個孩子真是神所揀選的
[00:02:21.000 --> 00:02:26.000]  而伊麗莎白也是耶穌母親瑪利亞的親戚
[00:02:26.000 --> 00:02:32.000]  所以我們會估計約翰其實也有可能是耶穌的表哥
[00:02:32.000 --> 00:02:37.000]  年齡大概比耶穌大半年的時候
[00:02:37.000 --> 00:02:43.000]  神其實在舊約時期已經不斷揀選人成為先知
[00:02:43.000 --> 00:02:45.000]  先知的工作就是
[00:02:45.000 --> 00:02:50.000]  雖然神的子民落在很多苦難、逼迫、困苦的裡面
[00:02:50.000 --> 00:02:55.000]  但是神也願意最後透過一位拯救者
[00:02:55.000 --> 00:02:59.000]  被沒由高末的君王來拯救整個子民
[00:02:59.000 --> 00:03:01.000]  脫離這些災難
[00:03:01.000 --> 00:03:05.000]  甚至來建立神的國度
[00:03:05.000 --> 00:03:08.000]  所以施洗約翰一出生
[00:03:08.000 --> 00:03:11.000]  他就會知道原來他是領受這個使命的
[00:03:11.000 --> 00:03:14.000]  而我們會發覺
[00:03:14.000 --> 00:03:20.000]  在舊約裡面的尼塞亞這個語表是希伯來文
[00:03:20.000 --> 00:03:24.000]  而希伯來文的翻譯就是基督
[00:03:24.000 --> 00:03:28.000]  施洗約翰被譽為耶穌基督的先鋒
[00:03:28.000 --> 00:03:32.000]  所以在聖經裡面我們會發覺
[00:03:32.000 --> 00:03:35.000]  《宇航福音》一章二十九到三十四節裡面
[00:03:35.000 --> 00:03:37.000]  也提出一段事跡
[00:03:37.000 --> 00:03:44.000]  原來施洗約翰真的曾經在眾人面前見證耶穌
[00:03:44.000 --> 00:03:49.000]  他說:「看哪!神的羔羊,除去世人罪孽!」
[00:03:49.000 --> 00:03:53.000]  也有說:「那差我來,用水施洗的對我說:
[00:03:53.000 --> 00:03:57.000]  你看見聖靈降下來,停留在誰的身上?
[00:03:57.000 --> 00:03:59.000]  誰就是用聖靈施洗的?
[00:03:59.000 --> 00:04:05.000]  我看見了,所以作證:這一位是神的兒子!」
[00:04:05.000 --> 00:04:08.000]  即是原來施洗約翰不但頭腦上有認識
[00:04:08.000 --> 00:04:11.000]  他在屬靈的經驗裡面也會感受到
[00:04:11.000 --> 00:04:15.000]  原來耶穌真的是神的兒子
[00:04:15.000 --> 00:04:18.000]  聖經也形容施洗約翰
[00:04:18.000 --> 00:04:23.000]  有舊約以利亞先知那份心智和能力
[00:04:23.000 --> 00:04:27.000]  約翰的做法在宣講的時候是很嚴厲的
[00:04:27.000 --> 00:04:29.000]  是很直接的
[00:04:29.000 --> 00:04:33.000]  甚至他很勇敢去責備當時的罪惡
[00:04:33.000 --> 00:04:38.000]  所以當時一個統治者希律安提白王
[00:04:38.000 --> 00:04:44.000]  因為他娶了自己弟弟費力的妻子希羅底
[00:04:44.000 --> 00:04:46.000]  於是約翰斥責他
[00:04:46.000 --> 00:04:50.000]  指出他的錯誤成為一個不好的榜樣
[00:04:50.000 --> 00:04:52.000]  道德敗壞
[00:04:52.000 --> 00:04:56.000]  結果就被這個統治者抓了
[00:04:56.000 --> 00:05:00.000]  施洗約翰要在監獄裡
[00:05:00.000 --> 00:05:03.000]  施洗約翰的門徒就來探監
[00:05:03.000 --> 00:05:08.000]  將耶穌的一些事蹟告訴施洗約翰
[00:05:08.000 --> 00:05:09.000]  很奇怪
[00:05:09.000 --> 00:05:11.000]  但當施洗約翰聽到的時候
[00:05:11.000 --> 00:05:15.000]  他竟然也派門徒去問耶穌一個問題
[00:05:15.000 --> 00:05:18.000]  「將要來的那位是不是你呢?
[00:05:18.000 --> 00:05:23.000]  還是我們要等候別人呢?」
[00:05:23.000 --> 00:05:26.000]  弟兄姊妹,我們會想
