
[00:00:00.000 --> 00:00:06.000]  瓦典報道會誇文化宣教的智慧
[00:00:30.000 --> 00:00:36.000]  主席
[00:01:00.000 --> 00:01:06.000]  運輸及房屋局局長
[00:01:30.000 --> 00:01:36.000]  陳偉業議員
[00:02:00.000 --> 00:02:06.000]  陳偉業議員
[00:02:30.000 --> 00:02:36.000]  陳偉業議員
[00:03:00.000 --> 00:03:06.000]  陳偉業議員
[00:03:30.000 --> 00:03:36.000]  陳偉業議員
[00:04:00.000 --> 00:04:06.000]  陳偉業議員
[00:04:30.000 --> 00:04:36.000]  陳偉業議員
[00:05:00.000 --> 00:05:06.000]  陳偉業議員
[00:05:30.000 --> 00:05:36.000]  陳偉業議員
[00:06:00.000 --> 00:06:06.000]  陳偉業議員
[00:06:30.000 --> 00:06:36.000]  陳偉業議員
[00:07:00.000 --> 00:07:06.000]  陳偉業議員
[00:07:30.000 --> 00:07:36.000]  陳偉業議員
[00:08:00.000 --> 00:08:06.000]  陳偉業議員
[00:08:30.000 --> 00:08:36.000]  陳偉業議員
[00:09:00.000 --> 00:09:06.000]  陳偉業議員
[00:09:30.000 --> 00:09:36.000]  陳偉業議員
[00:10:00.000 --> 00:10:06.000]  陳偉業議員
[00:10:30.000 --> 00:10:36.000]  陳偉業議員
[00:11:00.000 --> 00:11:06.000]  陳偉業議員
[00:11:30.000 --> 00:11:36.000]  陳偉業議員
[00:12:00.000 --> 00:12:06.000]  陳偉業議員
[00:12:30.000 --> 00:12:36.000]  陳偉業議員
[00:12:54.000 --> 00:13:00.000]  陳偉業議員
[00:13:00.000 --> 00:13:14.000]  沈德昌議員
[00:13:24.000 --> 00:13:30.000]  陳偉業議員
[00:13:54.000 --> 00:14:00.000]  陳偉業議員
[00:14:24.000 --> 00:14:30.000]  陳偉業議員
[00:14:54.000 --> 00:15:00.000]  陳偉業議員
[00:15:24.000 --> 00:15:30.000]  陳偉業議員
[00:15:54.000 --> 00:16:00.000]  陳偉業議員
[00:16:24.000 --> 00:16:30.000]  陳偉業議員
[00:16:54.000 --> 00:17:00.000]  陳偉業議員
[00:17:24.000 --> 00:17:30.000]  陳偉業議員
[00:17:54.000 --> 00:18:00.000]  陳偉業議員
[00:18:24.000 --> 00:18:30.000]  陳偉業議員
[00:18:54.000 --> 00:19:00.000]  陳偉業議員
[00:19:24.000 --> 00:19:30.000]  陳偉業議員
[00:19:54.000 --> 00:20:00.000]  陳偉業議員
[00:20:24.000 --> 00:20:30.000]  陳偉業議員
[00:20:30.000 --> 00:20:36.000]  陳偉業議員
[00:20:36.000 --> 00:20:46.000]  陳偉業議員
[00:20:52.000 --> 00:20:58.000]  陳偉業議員
[00:21:22.000 --> 00:21:28.000]  陳偉業議員
[00:21:52.000 --> 00:21:58.000]  陳偉業議員
[00:22:22.000 --> 00:22:28.000]  陳偉業議員
[00:22:52.000 --> 00:22:58.000]  陳偉業議員
[00:23:22.000 --> 00:23:28.000]  陳偉業議員
[00:23:52.000 --> 00:23:58.000]  陳偉業議員
[00:24:22.000 --> 00:24:28.000]  陳偉業議員
[00:24:52.000 --> 00:24:58.000]  陳偉業議員
[00:25:22.000 --> 00:25:28.000]  陳偉業議員
[00:25:52.000 --> 00:25:58.000]  陳偉業議員
[00:26:22.000 --> 00:26:28.000]  陳偉業議員
[00:26:52.000 --> 00:26:58.000]  陳偉業議員
[00:27:22.000 --> 00:27:28.000]  陳偉業議員
[00:27:52.000 --> 00:27:58.000]  陳偉業議員
[00:28:22.000 --> 00:28:28.000]  陳偉業議員
[00:28:52.000 --> 00:28:58.000]  陳偉業議員
[00:29:22.000 --> 00:29:28.000]  陳偉業議員
[00:29:52.000 --> 00:29:58.000]  陳偉業議員
[00:30:22.000 --> 00:30:28.000]  陳偉業議員
[00:30:52.000 --> 00:30:58.000]  陳偉業議員
[00:31:22.000 --> 00:31:28.000]  陳偉業議員
[00:31:52.000 --> 00:31:58.000]  陳偉業議員
[00:32:22.000 --> 00:32:28.000]  陳偉業議員
[00:32:52.000 --> 00:32:58.000]  梁國雄議員
[00:33:22.000 --> 00:33:28.000]  陳偉業議員
[00:33:52.000 --> 00:33:58.000]  陳偉業議員
[00:34:22.000 --> 00:34:28.000]  陳偉業議員
[00:34:52.000 --> 00:34:58.000]  陳偉業議員
[00:35:22.000 --> 00:35:28.000]  陳偉業議員
[00:35:52.000 --> 00:35:58.000]  陳偉業議員
[00:36:22.000 --> 00:36:28.000]  陳偉業議員
[00:36:52.000 --> 00:36:58.000]  陳偉業議員
[00:37:22.000 --> 00:37:28.000]  主席
[00:37:52.000 --> 00:37:58.000]  主席
