
[00:00:00.000 --> 00:00:02.000]  (主席)各位聽眾,早安
[00:00:02.000 --> 00:00:08.720]  (主席)相信大家在11月底到12月初
[00:00:08.720 --> 00:00:13.400]  (主席)已經在各大商場體會到聖誕節臨到
[00:00:13.400 --> 00:00:19.240]  (主席)聖誕節最普通的形容詞就是普天同慶
[00:00:19.240 --> 00:00:23.920]  (主席)普天同慶其實不是教會專用的
[00:00:23.920 --> 00:00:31.440]  (主席)不過現在這個世界上也沒有什麼值得我們普天同慶那麼隆重
[00:00:31.440 --> 00:00:35.520]  (主席)所以剩下來勉強就是聖誕節
[00:00:35.520 --> 00:00:40.720]  (主席)不過現在聖誕節很少強調聖誕的信息
[00:00:40.720 --> 00:00:42.720]  (主席)都是強調消費的多
[00:00:42.720 --> 00:00:46.480]  (主席)提到普天同慶,大家想到聖誕
[00:00:46.480 --> 00:00:49.760]  (主席)聖誕之後呢?聖誕之後是什麼?
[00:00:49.760 --> 00:00:55.360]  (主席)就是新歷年,新歷年之後農歷年,你想到這些都是很歡樂的日子
[00:00:55.360 --> 00:01:01.600]  (主席)不過呢,大家知不知道在教會的年曆裡面呢
[00:01:01.600 --> 00:01:03.600]  (主席)教會的年曆裡面呢
[00:01:03.600 --> 00:01:06.080]  (主席)新年是比聖誕早
[00:01:06.080 --> 00:01:10.080]  (主席)新年是比聖誕早
[00:01:10.080 --> 00:01:14.240]  (主席)因為根據教會的年曆,所謂教會年
[00:01:14.240 --> 00:01:18.480]  (主席)一年呢,是有六個的節期的
[00:01:18.480 --> 00:01:20.480]  (主席)很少聽到的,有沒有聽到?
[00:01:20.480 --> 00:01:22.480]  (主席)一年有六個的節期
[00:01:22.480 --> 00:01:25.600]  (主席)那麼,第一個節期是什麼呢?
[00:01:25.600 --> 00:01:27.600]  (主席)第一個節期是章臨期
[00:01:27.600 --> 00:01:29.600]  (主席)什麼時候是章臨期?
[00:01:29.600 --> 00:01:32.480]  (主席)今天開始
[00:01:32.480 --> 00:01:34.480]  (主席)今天開始
[00:01:34.480 --> 00:01:36.480]  (主席)章臨期是怎麼計算的?
[00:01:36.480 --> 00:01:38.480]  (主席)是聖誕節
[00:01:38.480 --> 00:01:40.480]  (主席)十月二十五號
[00:01:40.480 --> 00:01:43.440]  (主席)之前的四個主日
[00:01:43.440 --> 00:01:45.440]  (主席)你看看這個年曆
[00:01:45.440 --> 00:01:49.680]  (主席)年曆都不一樣,但是十二月二十五號之前
[00:01:49.680 --> 00:01:52.720]  (主席)就算十二月二十五號是星期日也好
[00:01:52.720 --> 00:01:56.320]  (主席)都是數上去前面的四個主日
[00:01:56.320 --> 00:02:01.840]  (主席)今天就是章臨期的第一天
[00:02:01.840 --> 00:02:05.680]  (主席)也是教會年曆的開始
[00:02:05.680 --> 00:02:08.960]  (主席)如果用我們中國人來說,可能也是教會的年初一
[00:02:08.960 --> 00:02:11.920]  (主席)所以應該是開心的日子
[00:02:11.920 --> 00:02:15.440]  (主席)章臨期,第一個是章臨期
[00:02:15.440 --> 00:02:17.440]  (主席)第二個是聖誕期
[00:02:17.440 --> 00:02:19.920]  (主席)第三個是顯現期
