
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,平安。
[00:00:30.000 --> 00:00:33.000]  在此之前,我們一起祈禱。
[00:00:33.000 --> 00:00:37.000]  天父,我們感謝祢,祢讓我們有生命氣息,
[00:00:37.000 --> 00:00:41.000]  也讓我們有成長的空間和機會。
[00:00:41.000 --> 00:00:46.000]  求主恩待,求主引領我們,幫助我們,
[00:00:46.000 --> 00:00:50.000]  讓我們按照祢的應許,祢的話語,
[00:00:50.000 --> 00:00:54.000]  我們不僅要活,也要活得更豐盛。
[00:00:54.000 --> 00:00:59.000]  我們這樣祈禱,奉耶穌基督的名,誠心所願。
[00:01:01.000 --> 00:01:07.000]  《約翰福音》十章十節對很多人來說是很熟悉的,
[00:01:07.000 --> 00:01:11.000]  但是又好像很陌生。
[00:01:11.000 --> 00:01:14.000]  我們是聽到耶穌說這句話,
[00:01:14.000 --> 00:01:18.000]  祂是要我們得生命,並且得的更豐盛。
[00:01:18.000 --> 00:01:21.000]  但是我們看看自己,看看別人,
[00:01:21.000 --> 00:01:24.000]  又好像差不多而已。
[00:01:24.000 --> 00:01:28.000]  我們要很誠實的,做基督徒第一個要對自己誠實。
[00:01:28.000 --> 00:01:31.000]  是不是很豐盛呢?
[00:01:31.000 --> 00:01:34.000]  不是的,我們也有很多焦慮,
[00:01:34.000 --> 00:01:38.000]  很多迷惘,甚至很乏力。
[00:01:38.000 --> 00:01:43.000]  我們也有這些,不是有時有,
[00:01:43.000 --> 00:01:45.000]  其實也頗常有。
[00:01:45.000 --> 00:01:49.000]  有些人還長期是這樣。
[00:01:49.000 --> 00:01:52.000]  所以這個應許對我們來說,
[00:01:52.000 --> 00:01:58.000]  好像一個不對賢的承諾。
[00:01:58.000 --> 00:02:03.000]  首先要講明兩點,
[00:02:03.000 --> 00:02:09.000]  耶穌說這句話是對著那些活生生的人說的。
[00:02:09.000 --> 00:02:12.000]  祂說我們要人得生命,
[00:02:12.000 --> 00:02:16.000]  這些人是未死的,也有生命的。
[00:02:16.000 --> 00:02:19.000]  所以說生命不是說我們肉身的生命,
[00:02:19.000 --> 00:02:22.000]  應該是說我們一個靈性的生命,
[00:02:22.000 --> 00:02:24.000]  屬靈的生命。
[00:02:24.000 --> 00:02:27.000]  第二就是,無論是人的生命,
[00:02:27.000 --> 00:02:31.000]  即我們肉身的生命,或者靈性的生命,
[00:02:31.000 --> 00:02:35.000]  其實也有一個是一定要注意的,
[00:02:35.000 --> 00:02:39.000]  他需要長大,他需要健康,
[00:02:39.000 --> 00:02:44.000]  他才能夠有力量,才能夠講得豐盛。
[00:02:44.000 --> 00:02:46.000]  即不只是有生命,
[00:02:46.000 --> 00:02:49.000]  我初初信的時候,
[00:02:49.000 --> 00:02:51.000]  有一個牧師說了一句話很生動的,
[00:02:51.000 --> 00:02:55.000]  他說很多基督徒一出生的時候就很好的,
[00:02:55.000 --> 00:02:57.000]  很多喜樂的,
[00:02:57.000 --> 00:02:59.000]  大家一見到他信主就很開心了,
[00:02:59.000 --> 00:03:01.000]  恭喜你了,生了一個嬰兒,
[00:03:01.000 --> 00:03:03.000]  六磅三個骨,
[00:03:03.000 --> 00:03:05.000]  六磅三個骨是很健康的,
[00:03:05.000 --> 00:03:07.000]  非常之好。
[00:03:07.000 --> 00:03:10.000]  過了一個月之後,
