
[00:00:00.000 --> 00:00:02.880]  我們今天會繼續看希伯來書
[00:00:02.880 --> 00:00:10.000]  剛剛這兩三個禮拜就有個新的
[00:00:10.000 --> 00:00:18.040]  學術界也有些討論
[00:00:18.040 --> 00:00:26.040]  究竟如何處理這些人工智能的網上平臺
[00:00:26.040 --> 00:00:28.280]  其實在這些網上平臺
[00:00:28.280 --> 00:00:33.280]  這些應用程序大家可以上網下載下來
[00:00:33.280 --> 00:00:36.360]  我們這些平臺都一路成長
[00:00:36.360 --> 00:00:38.480]  就算在疫情期間
[00:00:38.480 --> 00:00:42.000]  八十多歲九十多歲都學會用YouTube
[00:00:42.000 --> 00:00:44.240]  上網看港獨
[00:00:44.240 --> 00:00:47.000]  當然有其他的應用程序
[00:00:47.000 --> 00:00:48.960]  大家都是一代一代
[00:00:48.960 --> 00:00:52.160]  每一代都有他們用的應用程序
[00:00:52.160 --> 00:00:55.200]  所以其實在我們的生命上面
[00:00:55.200 --> 00:00:58.400]  這些應用程序變成了我們和人
[00:00:58.400 --> 00:01:02.800]  對人其他朋友相處用的溝通方法
[00:01:02.800 --> 00:01:05.640]  又成爲了一個資訊的渠道
[00:01:05.640 --> 00:01:09.360]  這些渠道和我們一同成長
[00:01:09.360 --> 00:01:14.000]  幫助我們分享我們生活上的
[00:01:14.000 --> 00:01:16.480]  歡喜的事情不歡喜的事情
[00:01:16.480 --> 00:01:20.800]  甚至是幫助我們學習上YouTube怎麼整理
[00:01:20.800 --> 00:01:25.720]  來解決我們生活上各種困難遇到的事情
[00:01:25.720 --> 00:01:27.920]  我們在屬靈層面上
[00:01:27.920 --> 00:01:29.800]  我們有時候會下載一些
[00:01:29.800 --> 00:01:30.880]  或者是 Bible Apps
[00:01:30.880 --> 00:01:33.040]  或者是一些聖經的軟件
[00:01:33.040 --> 00:01:36.080]  去看聖經、聽聖經
[00:01:36.080 --> 00:01:42.160]  但是這些平臺是告訴我們
[00:01:42.160 --> 00:01:44.360]  原來在屬靈層面上
[00:01:44.360 --> 00:01:48.080]  其實神在每個世代都和我們同行
[00:01:48.080 --> 00:01:51.720]  就算我們看《創世紀》
[00:01:51.720 --> 00:01:53.600]  《創世紀》當中我們讀完《創世紀》
[00:01:53.600 --> 00:01:56.320]  我讀舊約的諸學同學
[00:01:56.320 --> 00:01:57.760]  或者是讀經計劃的
[00:01:57.760 --> 00:02:00.480]  都看到原來我們的耶和華神
