
[00:00:00.000 --> 00:00:02.880]  這兩條絕對是大罪
[00:00:02.880 --> 00:00:06.080]  所以他纔可以將拿伯處死
[00:00:06.080 --> 00:00:07.580]  同時抽家
[00:00:07.580 --> 00:00:13.000]  其實頒發這些律法給以色列人
[00:00:13.000 --> 00:00:15.240]  這完全是爲了人的好處
[00:00:15.240 --> 00:00:18.840]  但當人想利用這些律法去害人的時候
[00:00:18.840 --> 00:00:19.960]  也都能夠
[00:00:19.960 --> 00:00:24.380]  所以你看見一個外邦人
[00:00:24.380 --> 00:00:25.240]  耶穌別
[00:00:25.240 --> 00:00:28.520]  他就可以利用了上帝這個好的律法
[00:00:28.760 --> 00:00:30.360]  他不是用了他的好處
[00:00:30.360 --> 00:00:32.500]  他是用了來害人
[00:00:32.500 --> 00:00:34.840]  所以是非常諷刺的
[00:00:34.840 --> 00:00:36.840]  上帝的出發點是好的
[00:00:36.840 --> 00:00:39.840]  是利用了這個律法的人
[00:00:39.840 --> 00:00:42.240]  是全若唯心誠的
[00:00:42.240 --> 00:00:46.240]  因此利用了這個律法來做壞事
[00:00:46.240 --> 00:00:49.740]  所以我想提醒弟兄姊妹就是說
[00:00:49.740 --> 00:00:52.340]  一個人多熟悉聖經
[00:00:52.340 --> 00:00:54.840]  不表示他就是一個好的信徒
[00:00:54.840 --> 00:00:56.540]  同不同意?
[00:00:57.240 --> 00:00:59.640]  你很熟悉聖經
[00:00:59.640 --> 00:01:02.740]  不代表你是一個好的基督徒
[00:01:02.740 --> 00:01:06.440]  唯有你懂得將聖經走出來的時候
[00:01:06.440 --> 00:01:08.740]  正確地走出來的時候
[00:01:08.740 --> 00:01:10.740]  你纔是一個好的信徒
[00:01:10.740 --> 00:01:13.940]  耶穌別他熟悉聖經
[00:01:13.940 --> 00:01:15.240]  他熟悉律法
[00:01:15.240 --> 00:01:17.740]  但他不是走律法
[00:01:17.740 --> 00:01:20.340]  他是將它用來害人
[00:01:20.340 --> 00:01:23.240]  所以我們心中有聖經
[00:01:23.240 --> 00:01:24.940]  我們心中要有耶穌
[00:01:24.940 --> 00:01:26.640]  要有聖靈
