
[00:00:00.000 --> 00:00:04.560]  好,現在我們今天要講的是《文數記》
[00:00:04.560 --> 00:00:06.720]  是我們討論裡面的第四個討論
[00:00:06.720 --> 00:00:07.680]  就如我剛才所說
[00:00:07.680 --> 00:00:10.760]  我們總共應該有20至22個討論左右
[00:00:10.760 --> 00:00:14.240]  可以去到2020年的中旬
[00:00:14.240 --> 00:00:18.400]  我們和你平時去聽其他的舊約講座有一個不一樣
[00:00:18.400 --> 00:00:23.000]  因為我們想看的是《整本聖經》的圖畫
[00:00:23.000 --> 00:00:25.160]  當你去看《整本聖經》的時候
[00:00:25.160 --> 00:00:28.120]  你去看到舊約的故事其實都是影子
[00:00:28.120 --> 00:00:32.760]  它不是一個直接我們可以應用到在我們生命中的故事
[00:00:32.760 --> 00:00:36.880]  而是舊約和新約是有一個截然的不同
[00:00:36.880 --> 00:00:40.000]  舊約好像一個樹的樹根
[00:00:40.000 --> 00:00:43.320]  新約是樹的上面的枝幹
[00:00:43.320 --> 00:00:46.240]  沒有了樹根不會有枝幹
[00:00:46.240 --> 00:00:48.840]  但是既然我們現在活在上面
[00:00:48.840 --> 00:00:51.680]  我們沒有理由回到舊約裡面
[00:00:51.680 --> 00:00:56.360]  回到以前那裡去找我們的應用
[00:00:56.360 --> 00:00:57.480]  另一個角度
[00:00:57.480 --> 00:01:02.280]  在舊約裡面所有的東西指向救恩的一些影子
[00:01:02.280 --> 00:01:05.240]  在舊約有的是如月節的羔羊
[00:01:05.240 --> 00:01:09.160]  但是在新約我們再不會看著羔羊而得救
[00:01:09.160 --> 00:01:12.960]  我們在看的是主耶穌基督上帝的羔羊
[00:01:12.960 --> 00:01:16.160]  為我們受死復活而得救
[00:01:16.160 --> 00:01:17.280]  今天是一樣的
[00:01:17.280 --> 00:01:19.960]  因為今天你去看《文數記》
[00:01:19.960 --> 00:01:20.920]  它會說什麼呢?
[00:01:20.920 --> 00:01:22.640]  它會說以色列人出埃及
[00:01:22.640 --> 00:01:24.480]  接著進入迦南
[00:01:24.480 --> 00:01:26.320]  如果你直接應用在我們身上
[00:01:26.320 --> 00:01:27.280]  那是什麼意思呢?
[00:01:27.280 --> 00:01:30.160]  每個人都要去耶路撒冷朝聖
[00:01:30.160 --> 00:01:30.960]  是不是?
[00:01:30.960 --> 00:01:35.440]  是不是我們每個人一生之內都要去迦南一次呢?
[00:01:35.440 --> 00:01:36.560]  當然不是
[00:01:36.560 --> 00:01:38.120]  我們不是回教徒
[00:01:38.120 --> 00:01:41.640]  我知道現在香港也有很多人流行去聖地
[00:01:41.640 --> 00:01:42.920]  但是如果你沒有錢的話
[00:01:42.920 --> 00:01:44.280]  是不用強行來的
