
[00:00:00.000 --> 00:00:02.000]  親愛的姐妹們平安
[00:00:02.000 --> 00:00:04.000]  平安嗎
[00:00:04.000 --> 00:00:05.000]  平安
[00:00:05.000 --> 00:00:07.000]  聖經提醒我們
[00:00:07.000 --> 00:00:10.000]  真的要常常為這個世代來禱告
[00:00:10.000 --> 00:00:13.000]  以至於我們可以盡錢端正
[00:00:13.000 --> 00:00:15.000]  平安無事的度日
[00:00:15.000 --> 00:00:18.000]  那今天在法國剛剛發生這個恐怖襲擊
[00:00:18.000 --> 00:00:21.000]  我相信很多人都關注這個新聞是不是
[00:00:21.000 --> 00:00:25.000]  那目前已經有將近一百五十幾位的
[00:00:25.000 --> 00:00:27.000]  人質已經被打死
[00:00:27.000 --> 00:00:31.000]  當局還在繼續的搶救的中間
[00:00:31.000 --> 00:00:34.000]  我們真的看見這個世代的不安
[00:00:34.000 --> 00:00:36.000]  雖然我們處在香港
[00:00:36.000 --> 00:00:41.000]  看似暫時比較安逸比較穩定
[00:00:41.000 --> 00:00:43.000]  但是不要忘記我們有一個責任
[00:00:43.000 --> 00:00:47.000]  要好好的為這個世代來禱告
[00:00:47.000 --> 00:00:49.000]  今天我想跟大家分享一個題目
[00:00:49.000 --> 00:00:52.000]  叫一件不可少的事
[00:00:52.000 --> 00:00:55.000]  生活中間有很多事情
[00:00:55.000 --> 00:00:58.000]  容易被我們看中
[00:00:58.000 --> 00:01:00.000]  但是也有一些事情
[00:01:00.000 --> 00:01:04.000]  是在不經意中間被我們被忽略掉
[00:01:04.000 --> 00:01:08.000]  那有的忽略了可大可小
[00:01:08.000 --> 00:01:10.000]  有的忽略了我們中國人講
[00:01:10.000 --> 00:01:12.000]  一失足怎麼樣
[00:01:12.000 --> 00:01:15.000]  可能會成千古恨
[00:01:15.000 --> 00:01:17.000]  我不曉得你們喜不喜歡看棒球
[00:01:17.000 --> 00:01:20.000]  香港大概不太喜歡看棒球對不對
[00:01:20.000 --> 00:01:22.000]  我以前在學生的時代是打棒球
[00:01:22.000 --> 00:01:24.000]  我很喜歡打棒球
[00:01:24.000 --> 00:01:28.000]  台灣非常著名的很多職業棒球
[00:01:28.000 --> 00:01:34.000]  美國有非常著名的大聯盟職業棒球
[00:01:34.000 --> 00:01:38.000]  那麼如果你喜歡看棒球的話
[00:01:38.000 --> 00:01:41.000]  你大概會注意到這一點點的新聞
[00:01:41.000 --> 00:01:45.000]  很多年前美國的世界職棒大賽
[00:01:45.000 --> 00:01:48.000]  有這樣一個消息很有意思的
[00:01:48.000 --> 00:01:51.000]  他每一年國家聯盟跟美國聯盟
[00:01:51.000 --> 00:01:53.000]  他會所有的隊伍比賽完以後
[00:01:53.000 --> 00:01:55.000]  各推出一個代表
[00:01:55.000 --> 00:01:59.000]  然後來爭全美國大聯盟的總冠軍
[00:01:59.000 --> 00:02:02.000]  這個總冠軍是七戰四勝
[00:02:02.000 --> 00:02:03.000]  那麼這兩支隊伍
[00:02:03.000 --> 00:02:05.000]  華盛頓跟這個紐約的洋基隊呢
[00:02:05.000 --> 00:02:08.000]  打到最後是三比三
[00:02:08.000 --> 00:02:12.000]  所以決定性的第七場的比賽
[00:02:12.000 --> 00:02:15.000]  結果在第七場的九局下半呢
[00:02:15.000 --> 00:02:18.000]  雙方打成平手非常的精彩
[00:02:18.000 --> 00:02:20.000]  如果你喜歡看看球的話
[00:02:20.000 --> 00:02:25.000]  這個時候華盛頓的球員他上場
[00:02:25.000 --> 00:02:29.000]  大棒一揮 揮出一個全雷達
[00:02:29.000 --> 00:02:30.000]  再見全雷達
[00:02:30.000 --> 00:02:32.000]  棒球我們叫再見全雷達
[00:02:32.000 --> 00:02:35.000]  也就是說後面的洋基隊已經沒有希望了
[00:02:35.000 --> 00:02:39.000]  眼看全美國那一屆的總冠軍
[00:02:39.000 --> 00:02:41.000]  就要落入華盛頓隊
[00:02:41.000 --> 00:02:44.000]  結果沒想到這個棒揮出去以後
[00:02:44.000 --> 00:02:47.000]  這個選手跑到終點的時候呢
[00:02:47.000 --> 00:02:50.000]  裁判判他OUT
[00:02:50.000 --> 00:02:53.000]  你知道為什麼嗎
[00:02:53.000 --> 00:02:54.000]  你們看不看棒球
[00:02:54.000 --> 00:02:56.000]  你們好像不看棒球的
[00:02:56.000 --> 00:02:57.000]  好像沒什麼反應
[00:02:57.000 --> 00:02:58.000]  我告訴你
[00:02:58.000 --> 00:03:02.000]  他忘了踩一壘的壘包
[00:03:02.000 --> 00:03:03.000]  在棒球有規則的
[00:03:03.000 --> 00:03:05.000]  你如果沒有踩到壘包的話
[00:03:05.000 --> 00:03:07.000]  你是出局的
[00:03:07.000 --> 00:03:09.000]  這個選手打了一個
[00:03:09.000 --> 00:03:12.000]  創世的一個再見全雷達
[00:03:12.000 --> 00:03:17.000]  可是就是因為太興奮太開心
[00:03:17.000 --> 00:03:21.000]  忘記踩那個一壘的壘包
[00:03:21.000 --> 00:03:22.000]  對不起啊
[00:03:22.000 --> 00:03:23.000]  棒球的規則你知道
[00:03:23.000 --> 00:03:25.000]  他不可以回去再踩一次的
[00:03:25.000 --> 00:03:27.000]  裁判判他怎麼樣
[00:03:27.000 --> 00:03:28.000]  出局
[00:03:28.000 --> 00:03:31.000]  用一句話說叫煮熟的鴨子怎麼樣
[00:03:31.000 --> 00:03:32.000]  飛了
[00:03:32.000 --> 00:03:34.000]  重不重要呢
[00:03:34.000 --> 00:03:37.000]  那這場比賽在職業棒壇裡面
[00:03:37.000 --> 00:03:42.000]  一直是膾炙人口的一個故事
[00:03:42.000 --> 00:03:43.000]  很有意思的
[00:03:43.000 --> 00:03:45.000]  如果你喜歡你上網就可以收得到的
[00:03:45.000 --> 00:03:47.000]  很有意思的
[00:03:47.000 --> 00:03:49.000]  一件不可少的事
[00:03:49.000 --> 00:03:51.000]  今天我們來看啟示錄這一段經文呢
[00:03:51.000 --> 00:03:56.000]  這是主的使者做這樣一個吩咐
[00:03:56.000 --> 00:03:59.000]  他說你要寫信給以佛所教會的使者說
[00:03:59.000 --> 00:04:03.000]  那右手拿著七星和七個金燈台
[00:04:03.000 --> 00:04:07.000]  在七個金燈台中間行走的
[00:04:07.000 --> 00:04:11.000]  當然在這裡很清楚是主在教會中行走
[00:04:11.000 --> 00:04:12.000]  然後呢
