
[00:00:00.000 --> 00:00:02.960]  以尊重和公平待人
[00:00:02.960 --> 00:00:05.640]  鄧小姐,你作為一個人
[00:00:05.640 --> 00:00:07.120]  是神所做的
[00:00:07.120 --> 00:00:09.120]  你怎樣看你自己?
[00:00:09.120 --> 00:00:12.400]  你尊不尊重你自己?
[00:00:12.400 --> 00:00:14.920]  你尊不尊重別人?
[00:00:14.920 --> 00:00:20.080]  鄧小姐,如果我們說人一生以來是平等的話
[00:00:20.080 --> 00:00:21.680]  我們常常都有一個問題
[00:00:21.680 --> 00:00:23.680]  為甚麼在現實社會裏面
[00:00:23.680 --> 00:00:26.760]  那麼多不公平的人和事
[00:00:26.760 --> 00:00:28.760]  在我們周圍發生
[00:00:29.560 --> 00:00:31.560]  這些事情發生的時候
[00:00:31.560 --> 00:00:33.560]  你又會怎樣面對?
[00:00:33.560 --> 00:00:35.560]  鄧小姐知不知道
[00:00:35.560 --> 00:00:37.560]  如果一個社會沒有了公平
[00:00:37.560 --> 00:00:39.560]  沒有了公義的時候
[00:00:39.560 --> 00:00:41.560]  很難是有和諧的
[00:00:41.560 --> 00:00:47.560]  很難在一個社會裏面
[00:00:47.560 --> 00:00:49.560]  人能夠和平相處
[00:00:49.560 --> 00:00:51.560]  鄧小姐
[00:00:51.560 --> 00:00:53.560]  有時候我都會想
[00:00:53.560 --> 00:00:56.560]  為甚麼白領的打工仔
[00:00:56.560 --> 00:00:58.560]  又或者在銀行做
[00:00:58.560 --> 00:01:00.560]  做老師
[00:01:00.560 --> 00:01:02.560]  做政府公務員
[00:01:02.560 --> 00:01:04.560]  一年可以放十七天的公眾假期
[00:01:04.560 --> 00:01:06.560]  然後一般的勞工
[00:01:06.560 --> 00:01:09.560]  打工仔就不能放那些公眾假期
[00:01:09.560 --> 00:01:14.560]  我們可以為甚麼去體會
[00:01:14.560 --> 00:01:16.560]  這個究竟是甚麼問題
[00:01:16.560 --> 00:01:19.560]  當然要分析的時候
[00:01:19.560 --> 00:01:23.560]  就有很多事情是要去處理
[00:01:23.560 --> 00:01:25.560]  但是最主要的就是
[00:01:25.560 --> 00:01:27.560]  我們在生活裏面
[00:01:27.560 --> 00:01:29.560]  在不同的處境
[00:01:29.560 --> 00:01:31.560]  我們都要公平待人的時候
[00:01:31.560 --> 00:01:33.560]  我們就要想一個問題
[00:01:33.560 --> 00:01:35.560]  你對人有甚麼態度?
[00:01:35.560 --> 00:01:37.560]  你對不同的人
[00:01:37.560 --> 00:01:39.560]  有甚麼態度?
[00:01:39.560 --> 00:01:41.560]  在生活裏面
[00:01:41.560 --> 00:01:43.560]  聖經告訴我們
[00:01:43.560 --> 00:01:45.560]  我們要尊重眾人的時候
[00:01:45.560 --> 00:01:47.560]  我就找了好幾段的經文
[00:01:47.560 --> 00:01:49.560]  剛才讀的時間
[00:01:49.560 --> 00:01:51.560]  大家讀少了
[00:01:51.560 --> 00:01:53.560]  但是
[00:01:53.560 --> 00:01:57.560]  這幾段的經文
[00:01:57.560 --> 00:01:59.560]  我每次看的時間
[00:01:59.560 --> 00:02:02.560]  都有一個很強烈的感覺
[00:02:02.560 --> 00:02:04.560]  弟子們要記得
[00:02:04.560 --> 00:02:07.560]  聖經裏面常常提的
[00:02:07.560 --> 00:02:10.560]  經常反覆提的
[00:02:10.560 --> 00:02:13.560]  都是重要的真理
[00:02:13.560 --> 00:02:15.560]  當我們去思想
[00:02:15.560 --> 00:02:17.560]  我們要去尊重眾人的時候
[00:02:17.560 --> 00:02:19.560]  我們看這一段的經文
[00:02:19.560 --> 00:02:21.560]  這一段是彼得
[00:02:21.560 --> 00:02:23.560]  我們知道彼得
[00:02:23.560 --> 00:02:27.560]  是主耶穌基督的大弟子
[00:02:27.560 --> 00:02:30.560]  他告訴教會的弟兄姐妹
[00:02:30.560 --> 00:02:32.560]  他們說你們不好
[00:02:32.560 --> 00:02:36.560]  你既然稱不偏待人的神
[00:02:36.560 --> 00:02:39.560]  按個人的行為去審判人的主
[00:02:39.560 --> 00:02:40.560]  為父的時候
[00:02:40.560 --> 00:02:41.560]  你們就要
[00:02:41.560 --> 00:02:44.560]  第一你對神要有一個敬畏的心
[00:02:44.560 --> 00:02:47.560]  道理在世上寄居的字
[00:02:47.560 --> 00:02:48.560]  這個很重要
[00:02:48.560 --> 00:02:50.560]  原來在我們的生活裏面
[00:02:50.560 --> 00:02:54.560]  我們在地上不是長住
[00:02:54.560 --> 00:02:56.560]  我們是寄居
[00:02:56.560 --> 00:02:59.560]  我們只是客旅
[00:02:59.560 --> 00:03:01.560]  我們會走的
[00:03:01.560 --> 00:03:03.560]  就好像我們住酒店
[00:03:03.560 --> 00:03:04.560]  我們會走的
[00:03:04.560 --> 00:03:07.560]  這不是我們永恆的家鄉
[00:03:07.560 --> 00:03:10.560]  最後我們要見天父的面
[00:03:10.560 --> 00:03:12.560]  所以聖經常常提醒我們
[00:03:12.560 --> 00:03:14.560]  要敬畏神
[00:03:14.560 --> 00:03:17.560]  要有敬畏的心
[00:03:17.560 --> 00:03:20.560]  以至你在世寄居的日子
[00:03:20.560 --> 00:03:22.560]  你可以知道
[00:03:22.560 --> 00:03:24.560]  這位神對我們每一個人
[00:03:24.560 --> 00:03:26.560]  你和我有什麼要求
[00:03:26.560 --> 00:03:30.560]  祂不偏待人
