
[00:00:00.000 --> 00:00:03.000]  頂姐妹, 蜜蜂蜜桑
[00:00:03.000 --> 00:00:05.000]  蜜蜂蜜桑是什麼意思呢?
[00:00:05.000 --> 00:00:11.000]  其實這是在台灣一個原住民 叫做暴龍族裏面的一個語言
[00:00:11.000 --> 00:00:13.000]  是用來打招呼的
[00:00:13.000 --> 00:00:16.000]  如果強行翻譯為廣東話 應該是什麼呢?
[00:00:16.000 --> 00:00:19.000]  就是你還有沒有呼吸啊
[00:00:19.000 --> 00:00:25.000]  所以當你如果隔壁那個 你知道他昨晚被兒子氣得要命
[00:00:25.000 --> 00:00:27.000]  然後他上班很辛苦
[00:00:27.000 --> 00:00:30.000]  或者待會聽到的時候 被欺負了
[00:00:30.000 --> 00:00:33.000]  你可以很溫柔的跟他說 蜜蜂蜜桑
[00:00:33.000 --> 00:00:35.000]  看看他有沒有呼吸
[00:00:35.000 --> 00:00:38.000]  今天我們是宣教主日
[00:00:38.000 --> 00:00:41.000]  我們會藉著爾創日記的意象
[00:00:41.000 --> 00:00:43.000]  爾創日記的意象
[00:00:43.000 --> 00:00:46.000]  加上台灣短宣隊的分享
[00:00:46.000 --> 00:00:48.000]  叫我們一起去反思一下
[00:00:48.000 --> 00:00:51.000]  究竟我們跟宣教有什麼關係
[00:00:51.000 --> 00:00:53.000]  讓你開始講道的時候
[00:00:53.000 --> 00:00:56.000]  為了我們講道和聽道的服侍圖告
[00:00:56.000 --> 00:00:58.000]  主啊我們感謝你
[00:00:58.000 --> 00:01:00.000]  因為是你招聚我們
[00:01:00.000 --> 00:01:02.000]  讓我們能夠去認識你
[00:01:02.000 --> 00:01:04.000]  甚至我們能夠一同去敬拜你
[00:01:04.000 --> 00:01:08.000]  願上帝你今天藉著聖靈與我們同在
[00:01:08.000 --> 00:01:10.000]  叫我們藉著爾創日記的意象
[00:01:10.000 --> 00:01:12.000]  都成為我們的意象
[00:01:12.000 --> 00:01:14.000]  成為我們的方向和目標
[00:01:14.000 --> 00:01:18.000]  叫我們看見我們怎樣踏上宣教的路
[00:01:18.000 --> 00:01:21.000]  怎樣參與在上帝救贖計劃的工作當中
[00:01:21.000 --> 00:01:24.000]  奉主耶穌基聖名祈求 阿們
[00:01:24.000 --> 00:01:26.000]  講到宣教可能我們一想
[00:01:26.000 --> 00:01:29.000]  就會想到很多關於新約的經文
[00:01:29.000 --> 00:01:31.000]  無論是《馬太福音》或者《使徒行傳》
[00:01:31.000 --> 00:01:36.000]  記錄耶穌給門徒的大使命
[00:01:36.000 --> 00:01:39.000]  又或者保羅在《哥倫多前書》裡面講到
[00:01:39.000 --> 00:01:43.000]  你要向猶太人我就要作猶太人
[00:01:43.000 --> 00:01:44.000]  為要得猶太人
[00:01:44.000 --> 00:01:46.000]  向軟弱人我就要作軟弱人
[00:01:46.000 --> 00:01:48.000]  為要得軟弱人
[00:01:48.000 --> 00:01:51.000]  凡我所行的都是為了福音的緣故
[00:01:51.000 --> 00:01:54.000]  為要與人同得福音的好處
[00:01:54.000 --> 00:01:57.000]  這些經文我們都很熟悉 是不是
[00:01:57.000 --> 00:02:02.000]  的確新約記載了很多關於宣教的一些教導
[00:02:02.000 --> 00:02:07.000]  但是如果講到福音要擴展到萬民
[00:02:07.000 --> 00:02:09.000]  這個意象的時候
[00:02:09.000 --> 00:02:13.000]  似乎這個不是一個新約獨有的主題
[00:02:13.000 --> 00:02:16.000]  而在舊約裡面其實已經能夠看見
[00:02:16.000 --> 00:02:20.000]  包括今天我們所看的《二塞亞書》
[00:02:20.000 --> 00:02:24.000]  《二塞亞書》的誠書的時間是很長的
[00:02:24.000 --> 00:02:28.000]  《二塞亞書》橫跨著的是亡國前後
