
[00:00:00.000 --> 00:00:07.000]  今天你看到的經文是在讀耶利米蘇第19章和第20章
[00:00:07.000 --> 00:00:09.700]  明天繼續21、22章
[00:00:09.700 --> 00:00:12.000]  如果你上個星期有聽我講
[00:00:12.000 --> 00:00:15.460]  我都說耶利米蘇雖然有52章好像很長
[00:00:15.460 --> 00:00:19.540]  但是其實那個信息
[00:00:19.540 --> 00:00:22.100]  其實都是和很多先知書很相似
[00:00:22.100 --> 00:00:27.100]  就是講到審判 也都講到一個認許、一個派往的
[00:00:27.100 --> 00:00:30.000]  和《耳塞俠書》不同的就是《耳塞俠書》
[00:00:30.000 --> 00:00:35.800]  很遙遠的仰望耶路撒冷的秘魯巴比倫
[00:00:35.800 --> 00:00:39.900]  而在耶利米的那個生平裡面
[00:00:39.900 --> 00:00:43.900]  他就會看見這個審判的應驗
[00:00:43.900 --> 00:00:47.100]  也都在預表將來的派往
[00:00:47.100 --> 00:00:48.700]  如果你這樣看這幅圖畫
[00:00:48.700 --> 00:00:52.400]  覺得這個耶利米都好像很堅強、很堅決
[00:00:52.400 --> 00:00:54.700]  但是其實實際上
[00:00:54.700 --> 00:00:57.900]  如果你知道耶利米是有個花名的
[00:00:57.900 --> 00:01:01.100]  耶利米的花名叫做「哭泣的先知」
[00:01:01.100 --> 00:01:04.700]  當你看這段聖經就會發覺他就開始受不了了
[00:01:04.700 --> 00:01:06.000]  正在崩潰
[00:01:06.000 --> 00:01:10.300]  我想和你看耶利米第20章
[00:01:10.300 --> 00:01:13.800]  是一段我很喜歡我自己個人
[00:01:13.800 --> 00:01:20.800]  尤其是你做牧師都會很認同的一段聖經
[00:01:20.800 --> 00:01:26.200]  就是見到耶利米是頂不住他的使命
[00:01:26.200 --> 00:01:30.000]  我叫這個題目叫做「不可能的任務」
[00:01:30.000 --> 00:01:34.800]  你發覺我們現在去到耶利米的踏入中部
[00:01:34.800 --> 00:01:36.800]  就是他的52章
[00:01:36.800 --> 00:01:42.000]  耶利米已經講了一大段的審判的寓言
[00:01:42.000 --> 00:01:45.200]  去到這個位置他突然間你發覺他是
[00:01:45.200 --> 00:01:52.600]  情感上、他個人上是承擔不了、負荷不了任務的沉重
[00:01:52.600 --> 00:01:54.800]  當然他繼續下去
[00:01:54.800 --> 00:01:59.200]  你會發現很多章都會繼續審判
[00:01:59.200 --> 00:02:01.600]  繼續和他的以色列人周旋
[00:02:01.600 --> 00:02:05.600]  然後才開始一些比較多的盼望
[00:02:05.600 --> 00:02:08.300]  但是這個盼望也是比較遙遠的
[00:02:08.300 --> 00:02:15.200]  你會看到這段是他的流淚、他的情感的爆發
[00:02:15.200 --> 00:02:18.900]  我們一起讀
[00:02:18.900 --> 00:02:27.800]  你就會明白原來這個使命、這個事工對他來說是這麼困難的
[00:02:27.800 --> 00:02:30.400]  耶利米書第20章第7節
[00:02:30.400 --> 00:02:35.300]  「耶和華,你欺控了我,我也被你欺控了
[00:02:35.300 --> 00:02:41.400]  你比我強並且得勝,我終日成為笑柄,人人都戲弄我」
[00:02:41.400 --> 00:02:42.900]  我不知道會不會有一天
[00:02:42.900 --> 00:02:45.100]  如果我們當中有人好像我這樣做了牧師
[00:02:45.100 --> 00:02:49.000]  或者傳道人、或者宣教士
[00:02:49.000 --> 00:02:51.500]  你都會覺得有一天你跟上帝說
[00:02:51.500 --> 00:02:53.900]  你欺控了我,我被你欺控
[00:02:53.900 --> 00:02:56.100]  我以為你說我去做
[00:02:56.100 --> 00:02:59.100]  你就會與我同在
[00:02:59.100 --> 00:03:00.800]  然後你會見到很多人
[00:03:00.800 --> 00:03:06.400]  「因著我們所傳的福音而信主,我被作人愛戴」
[00:03:06.400 --> 00:03:07.900]  原來不是的
[00:03:07.900 --> 00:03:10.600]  你會發現耶利米的那個經驗就是
[00:03:10.600 --> 00:03:13.100]  那些人不聽他的審判
[00:03:13.100 --> 00:03:17.700]  那些人不聽他之後又開始排擠他
[00:03:17.700 --> 00:03:19.900]  也都是逼迫他
[00:03:19.900 --> 00:03:25.600]  你會發現這些是他自己的親戚朋友
[00:03:25.600 --> 00:03:30.200]  就是叔伯兄弟自己的那個以色列人
[00:03:30.200 --> 00:03:34.600]  而他們對於這個先知這樣的拒絕
[00:03:34.600 --> 00:03:36.300]  是令他很難堪的
[00:03:36.300 --> 00:03:40.000]  以至他說「主啊,你欺控了我」
[00:03:40.000 --> 00:03:42.700]  「我每逢講話的時候就哀嘆
[00:03:42.700 --> 00:03:47.000]  我喊叫有暴力和毀滅
[00:03:47.000 --> 00:03:48.400]  因為而我話的話
[00:03:48.400 --> 00:03:53.100]  終日成了我的凌辱和祭祀」
[00:03:53.100 --> 00:03:57.300]  上帝吩咐他講的這個訊息
[00:03:57.300 --> 00:04:00.200]  都是不好的東西
[00:04:00.200 --> 00:04:02.200]  每次我講我都哀嘆
[00:04:02.200 --> 00:04:04.000]  因為上帝講他的審判
[00:04:04.000 --> 00:04:06.800]  而那些人是聽不進去的
[00:04:06.800 --> 00:04:09.400]  「我若說我不再提耶和華
[00:04:09.400 --> 00:04:11.800]  也不再奉他的名講論
[00:04:11.800 --> 00:04:16.700]  我心裡面覺得似乎有燒著的火
[00:04:16.700 --> 00:04:18.200]  滿在我骨中
[00:04:18.200 --> 00:04:20.800]  我忍受不住不能止咁」
[00:04:20.800 --> 00:04:23.700]  一方面他覺得每次他去講道
[00:04:23.700 --> 00:04:25.500]  或者去講訊息的時候
[00:04:25.500 --> 00:04:27.800]  都是很痛苦被人拒絕
[00:04:27.800 --> 00:04:30.600]  或者講話都是不好的消息
[00:04:30.600 --> 00:04:34.500]  但是另一方面他覺得他不講也不行
[00:04:34.500 --> 00:04:38.900]  做一個先知就是有一點這樣的感覺
[00:04:38.900 --> 00:04:43.100]  你的使命本身是很痛苦的
[00:04:43.100 --> 00:04:45.600]  因為你看到那些人的拒絕
[00:04:45.600 --> 00:04:48.900]  你怎樣都是不好受的
