
[00:00:00.000 --> 00:00:02.760]  我想我們每個基督徒都會知道
[00:00:02.760 --> 00:00:04.800]  神很樂於答應我們的祈禱
[00:00:04.800 --> 00:00:07.400]  但如果神在你面前跟你說
[00:00:07.400 --> 00:00:13.040]  我現在只是給你一個答問
[00:00:13.040 --> 00:00:16.120]  你求甚麼我便會給你
[00:00:16.120 --> 00:00:18.560]  你會為甚麼來求呢?
[00:00:18.560 --> 00:00:21.560]  今天我們其實很簡單
[00:00:21.560 --> 00:00:23.560]  看一個人就是所羅門
[00:00:23.560 --> 00:00:25.080]  所羅門
[00:00:25.080 --> 00:00:26.680]  神問他你要甚麼
[00:00:26.680 --> 00:00:28.080]  他就說我要智慧
[00:00:28.080 --> 00:00:32.800]  這是我們在主學裏面經常聽到的故事
[00:00:32.800 --> 00:00:36.360]  甚至我們記得後面會講到有兩個女人
[00:00:36.360 --> 00:00:38.400]  她們都生了一個嬰兒
[00:00:38.400 --> 00:00:39.520]  後來就睡覺
[00:00:39.520 --> 00:00:42.000]  有一個就壓死了小孩
[00:00:42.000 --> 00:00:43.000]  所以也是對的
[00:00:43.000 --> 00:00:44.480]  其實聖經一早已經教導我們
[00:00:44.480 --> 00:00:47.080]  不要把小孩這麼小的跟你一起睡
[00:00:47.080 --> 00:00:48.480]  因為是一個危險的
[00:00:48.480 --> 00:00:50.200]  記住一定要和你丈夫睡
[00:00:50.200 --> 00:00:52.320]  因為你較為難壓死你的丈夫
[00:00:52.320 --> 00:00:56.800]  所以這是一個真正的聖經教導
[00:00:56.800 --> 00:01:00.760]  接著兩個人爭奪活著的嬰兒
[00:01:00.760 --> 00:01:04.360]  其中有一個當然是真正的母親
[00:01:04.360 --> 00:01:05.680]  所羅門就說兩個都爭奪
[00:01:05.680 --> 00:01:06.640]  那好吧
[00:01:06.640 --> 00:01:08.440]  斬開人一半
[00:01:08.440 --> 00:01:09.960]  五十、五十
[00:01:09.960 --> 00:01:12.720]  結果真正的媽媽就說
[00:01:12.720 --> 00:01:13.720]  我寧願不要了
[00:01:13.720 --> 00:01:14.800]  我給對方
[00:01:14.800 --> 00:01:16.200]  那個假的媽媽就說
[00:01:16.200 --> 00:01:18.000]  好啊好啊斬就斬吧
[00:01:18.000 --> 00:01:20.400]  所以所羅門就能夠判斷出
[00:01:20.400 --> 00:01:22.640]  哪一個是真正的媽媽
[00:01:22.640 --> 00:01:24.520]  這些是我們所聽到的故事
[00:01:24.520 --> 00:01:27.040]  當然現在在現代裏面是不需要的
[00:01:27.040 --> 00:01:29.840]  因為用DNA就可以驗出誰是媽媽
[00:01:29.840 --> 00:01:32.040]  但是我們會看到聖經裏面
[00:01:32.040 --> 00:01:34.280]  是說到所羅門很有智慧
[00:01:34.280 --> 00:01:37.240]  這是我們聽故事
[00:01:37.240 --> 00:01:40.040]  或者在主學裏面所得到的
[00:01:40.040 --> 00:01:41.640]  我自己作為名堂的目者
[00:01:41.640 --> 00:01:42.560]  我一直都很期望
[00:01:42.560 --> 00:01:45.560]  就是我們港台裏面的解經
[00:01:45.560 --> 00:01:48.480]  是讓大家對一些我們以為很熟悉的東西
[00:01:48.480 --> 00:01:50.320]  有更深的了解
[00:01:50.320 --> 00:01:53.280]  所以今天會和大家來探索
[00:01:53.280 --> 00:01:55.080]  「志求求志」
[00:01:55.080 --> 00:01:57.760]  就是所羅門很有智慧的
[00:01:57.760 --> 00:02:01.840]  來求取這個智慧
[00:02:01.840 --> 00:02:03.280]  我們很自然就會想到
[00:02:03.280 --> 00:02:04.800]  神祝福所羅門
[00:02:04.800 --> 00:02:07.920]  很快他就會立刻被神來祝福
[00:02:07.920 --> 00:02:09.080]  可以成為王
[00:02:09.080 --> 00:02:10.920]  但是錯了
[00:02:10.920 --> 00:02:13.920]  所羅門要踏上成王之路
[00:02:13.920 --> 00:02:17.240]  是需要一段很艱辛的宮廷內鬥
[00:02:17.240 --> 00:02:19.800]  他才可以來作王
[00:02:19.800 --> 00:02:20.640]  所羅門是誰?
[00:02:20.640 --> 00:02:22.040]  大家都很熟悉
[00:02:22.040 --> 00:02:25.120]  大衛當他犯錯
[00:02:25.120 --> 00:02:26.720]  他在皇宮的平台
[00:02:26.720 --> 00:02:27.720]  日上三綱
[00:02:27.720 --> 00:02:28.880]  黃昏日落的時候
[00:02:28.880 --> 00:02:30.280]  才來遊行
[00:02:30.280 --> 00:02:31.960]  見到有一個女性
[00:02:31.960 --> 00:02:34.000]  遠遠的看到他在洗澡
[00:02:34.000 --> 00:02:36.200]  於是淫亂的心就起了
[00:02:36.200 --> 00:02:39.040]  但不是為了要解決他生理的需要
[00:02:39.040 --> 00:02:41.920]  他經過了一段時間的了解
[00:02:41.920 --> 00:02:43.280]  於是接了這個人入宮
[00:02:43.280 --> 00:02:44.760]  和他發生了關係
[00:02:44.760 --> 00:02:47.240]  想著只是一夜情而已
[00:02:47.240 --> 00:02:49.320]  但是誰知道這個女人
[00:02:49.320 --> 00:02:52.880]  拔士巴跟他說:我有了你的新寄
