
[00:00:00.000 --> 00:00:01.640]  請祈福祢平安
[00:00:01.640 --> 00:00:04.440]  我們先一起祈禱
[00:00:04.440 --> 00:00:07.780]  天父,我們感謝祢讚美祢自己的恩典
[00:00:07.780 --> 00:00:11.680]  讓我們在祝日的清晨可以聚集敬拜祢
[00:00:11.680 --> 00:00:15.400]  我們真的感謝祢,祢給我們有聖經的華語
[00:00:15.400 --> 00:00:20.200]  讓我們思想,並且能夠得到人生的智慧
[00:00:20.200 --> 00:00:23.040]  聖靈幫助我們,聽都明白
[00:00:23.040 --> 00:00:28.760]  並且在我們人生裡面能夠應用出其中的教訓
[00:00:28.760 --> 00:00:31.520]  奉耶穌基督的名祈禱,阿們
[00:00:31.520 --> 00:00:36.920]  有沒有人坐過過山車(Roller Coaster)
[00:00:36.920 --> 00:00:42.100]  真的很刺激的遊戲,對不對
[00:00:42.100 --> 00:00:46.040]  車子坐上去,慢慢爬上去
[00:00:46.040 --> 00:00:48.200]  一下子就衝下去
[00:00:48.200 --> 00:00:51.940]  偶然玩一下也可以
[00:00:51.940 --> 00:00:54.620]  但是如果我們的人生
[00:00:54.620 --> 00:00:59.100]  是這樣大上大落的話,大概就不太好受了
[00:00:59.100 --> 00:01:01.540]  尤其是在大落以後
[00:01:01.540 --> 00:01:05.980]  上星期,我們開始看約瑟的故事
[00:01:05.980 --> 00:01:10.440]  他的生命是從天之嬌子
[00:01:10.440 --> 00:01:12.920]  突然間變成了奴隸
[00:01:12.920 --> 00:01:16.120]  今天我們所讀的經文
[00:01:16.120 --> 00:01:19.160]  《創世紀39章1至23節》
[00:01:19.160 --> 00:01:24.140]  我們都可以看到他的生命又是大起大落
[00:01:24.700 --> 00:01:27.000]  一會兒被升為總管
[00:01:27.000 --> 00:01:31.380]  一會兒又成為階下侍
[00:01:31.380 --> 00:01:34.900]  真是令我想起
[00:01:34.900 --> 00:01:39.260]  從前一首粵語舊歌的其中幾句歌詞
[00:01:39.260 --> 00:01:44.560]  知否世事常變,變幻原是永恆
[00:01:44.560 --> 00:01:50.220]  始終波浪起跌,當然,有幸有不幸
[00:01:51.260 --> 00:01:55.900]  我亦都想到在政界當中有些風雲人物
[00:01:55.900 --> 00:01:58.840]  亦都經歷過大起大跌
[00:01:58.840 --> 00:02:02.100]  比如中國的鄧小平
[00:02:02.100 --> 00:02:04.940]  他在二十世紀三十年代初期
[00:02:04.940 --> 00:02:08.620]  遭到批鬥,被人撤銷職務
[00:02:08.620 --> 00:02:11.960]  然後在文化大革命的時期
[00:02:11.960 --> 00:02:15.000]  又再被打倒
[00:02:15.000 --> 00:02:18.600]  下放到江西勞動改造
[00:02:19.580 --> 00:02:22.020]  最後在1976年至1971年間
[00:02:22.020 --> 00:02:23.700]  他又第三次被批判
[00:02:23.700 --> 00:02:26.860]  不過他每次被打倒之後
[00:02:26.860 --> 00:02:29.260]  都重新起床
[00:02:29.260 --> 00:02:34.180]  前總理,歐洲的前總理
[00:02:34.180 --> 00:02:36.220]  John Howard 荷華德
[00:02:36.220 --> 00:02:39.320]  其實亦都經歷過幾次想做領導
[00:02:39.320 --> 00:02:40.960]  都不成功
[00:02:40.960 --> 00:02:44.740]  他都以為自己不可能再有機會
[00:02:44.740 --> 00:02:47.640]  還說,假如他當上黨領
[00:02:47.640 --> 00:02:51.440]  就像心臟一樣,要做三條「搭橋手術」
[00:02:51.440 --> 00:02:57.060]  不過後來,他仍然當選為自由黨黨魁
[00:02:57.060 --> 00:02:59.180]  而贏得大選以後
[00:02:59.180 --> 00:03:02.100]  就做了澳洲的總理
[00:03:02.100 --> 00:03:07.340]  雖然約瑟的生命是大起大落
[00:03:07.340 --> 00:03:11.980]  但我覺得他是一位非常成功的人士
[00:03:11.980 --> 00:03:17.300]  我希望我們都可以學習到他的成功秘訣
[00:03:17.740 --> 00:03:20.240]  有沒有甚麼「成功密碼」呢?
[00:03:20.240 --> 00:03:23.200]  從今天的經文
[00:03:23.200 --> 00:03:25.240]  我們可以看到約瑟
[00:03:25.240 --> 00:03:27.840]  他不能夠做他喜歡的事
[00:03:27.840 --> 00:03:31.820]  但是,他好像很喜歡他所做的事
[00:03:31.820 --> 00:03:35.000]  約瑟本來是天之嬌子
[00:03:35.000 --> 00:03:38.420]  被哥哥們買了,而變成了奴隸
[00:03:38.420 --> 00:03:41.900]  那年他只不過是17歲
[00:03:42.440 --> 00:03:48.420]  做奴隸的,當然不可能選擇他喜歡做的事
[00:03:48.420 --> 00:03:52.980]  但是,無論做甚麼,他都很樂意去做
[00:03:52.980 --> 00:03:54.880]  做得很好
[00:03:54.880 --> 00:03:58.640]  雖然做奴隸,但又被主人大大賞識
[00:03:58.640 --> 00:04:03.420]  而成為了主人家裡的總管
[00:04:03.420 --> 00:04:07.020]  不過後來又被人誣告
[00:04:07.020 --> 00:04:09.340]  而成為了家下囚
[00:04:09.340 --> 00:04:11.960]  即使是這樣
[00:04:13.200 --> 00:04:17.020]  在聖經裡,我們看不到他有怨天尤人
[00:04:17.020 --> 00:04:21.080]  似乎他好像還是充滿了活力
[00:04:21.080 --> 00:04:23.660]  甚至在監獄裡
[00:04:23.660 --> 00:04:28.200]  也成功成為了獄卒的助手
