
[00:00:00.000 --> 00:00:02.480]  (主席)在今天講道開始的時候
[00:00:02.480 --> 00:00:07.880]  我是很想讓姊妹們拿起手上的周刊
[00:00:07.880 --> 00:00:09.720]  特別的第一版
[00:00:09.720 --> 00:00:12.280]  我不知道大家平時有沒有留意
[00:00:12.280 --> 00:00:15.800]  不過希望今天大家特別的留意
[00:00:15.800 --> 00:00:20.800]  當你拿起周刊這個程序表的第一版頂的位置
[00:00:20.800 --> 00:00:23.640]  你會看到十二個字
[00:00:23.640 --> 00:00:25.520]  大的十二個字
[00:00:25.520 --> 00:00:28.480]  小的有三個字
[00:00:28.480 --> 00:00:31.680]  我們一起讀這十二個字好不好
[00:00:31.680 --> 00:00:37.640]  「靠主聯絡相助力淺整全使命」
[00:00:37.640 --> 00:00:39.800]  就是這十二個字
[00:00:39.800 --> 00:00:42.040]  這十二個字是代表甚麼呢
[00:00:42.040 --> 00:00:45.600]  是代表了我們今年的主題
[00:00:45.600 --> 00:00:48.720]  但其實不只是今年的主題
[00:00:48.720 --> 00:00:53.440]  未來的三年都是我們的主題
[00:00:53.440 --> 00:00:58.680]  就是說在2019、2020年
[00:00:58.680 --> 00:01:01.360]  大家都仍然看到這幾個字
[00:01:01.360 --> 00:01:04.720]  不過細字裏面是會有些改變
[00:01:04.720 --> 00:01:07.040]  今年是激勵年
[00:01:07.040 --> 00:01:09.720]  希望我們彼此的激勵
[00:01:09.720 --> 00:01:11.920]  也在神的裏面得到激勵
[00:01:11.920 --> 00:01:15.160]  來為主作供
[00:01:15.160 --> 00:01:18.600]  明年我們繼續保留這十二個字
[00:01:18.600 --> 00:01:23.240]  但我們明年亦都強調的是「裝備」年
[00:01:23.240 --> 00:01:25.240]  然後2020年
[00:01:25.240 --> 00:01:30.400]  我們就會強調的是「推進」年
[00:01:30.400 --> 00:01:31.520]  無論怎樣也好
[00:01:31.520 --> 00:01:33.520]  我們接下來這三年
[00:01:33.520 --> 00:01:34.520]  由今年開始
[00:01:34.520 --> 00:01:35.840]  我們很強調的就是
[00:01:35.840 --> 00:01:42.240]  「靠主聯絡相助力淺整全使命」
[00:01:42.240 --> 00:01:44.640]  我相信頭六個字大家很容易明白
[00:01:44.640 --> 00:01:47.600]  我們彼此都是依靠我們的主耶穌
[00:01:47.600 --> 00:01:51.080]  然後大家來維繫、來聯絡
[00:01:51.080 --> 00:01:54.000]  有聲有氣、有商有量
[00:01:54.000 --> 00:01:54.880]  不過還不夠
[00:01:54.880 --> 00:01:57.440]  我們還要彼此相助
[00:01:57.440 --> 00:01:59.200]  我們要祝福其他人
[00:01:59.200 --> 00:02:02.520]  我們願意放下自己去幫助別人
[00:02:02.520 --> 00:02:04.480]  彼此都是這樣做
[00:02:04.480 --> 00:02:06.920]  當我們一個群體能夠這樣做的時候
[00:02:06.920 --> 00:02:09.680]  就可以發揮很大的力量
[00:02:09.680 --> 00:02:11.520]  做甚麼呢?
[00:02:11.520 --> 00:02:14.680]  我們這樣做究竟為了甚麼目標呢?
[00:02:14.680 --> 00:02:16.960]  就是下面那六個字
[00:02:16.960 --> 00:02:19.120]  「力淺整全使命」
[00:02:19.120 --> 00:02:23.280]  就是去奮力、去努力、去實踐
[00:02:23.280 --> 00:02:24.760]  實踐甚麼呢?
[00:02:24.760 --> 00:02:27.600]  「整全使命」
[00:02:27.600 --> 00:02:29.680]  很可能對於有些弟兄姊妹
[00:02:29.680 --> 00:02:33.160]  未必很明白甚麼是「整全使命」
[00:02:33.160 --> 00:02:35.240]  其實也不太複雜
[00:02:35.240 --> 00:02:38.960]  我希望大家記得六個字
[00:02:38.960 --> 00:02:43.240]  你就會把握得到甚麼是「整全使命」
[00:02:43.240 --> 00:02:47.120]  頭三個字就是「大使命」
[00:02:47.120 --> 00:02:48.200]  我相信大家都明白
[00:02:48.200 --> 00:02:49.840]  「大使命」就是傳福音
[00:02:49.840 --> 00:02:52.880]  告訴別人耶穌基督為罪
[00:02:52.880 --> 00:02:54.600]  來到世人的罪
[00:02:54.600 --> 00:02:56.280]  釘身十甲
[00:02:56.280 --> 00:02:59.160]  來到他接受上帝的懲罰
[00:02:59.160 --> 00:03:01.400]  代替世人接受懲罰
[00:03:01.400 --> 00:03:03.760]  然後死了又復活了
[00:03:03.760 --> 00:03:05.080]  帶來的是新生命
[00:03:05.080 --> 00:03:07.520]  凡是悔改信主的人
[00:03:07.520 --> 00:03:09.120]  就能夠有耶穌
[00:03:09.120 --> 00:03:12.440]  就能夠透過耶穌去到這位真神裏面
[00:03:12.440 --> 00:03:13.760]  與神和好
[00:03:13.760 --> 00:03:15.640]  這個是好消息
[00:03:15.640 --> 00:03:18.680]  所有的傳統文化都不會講這些東西
[00:03:18.680 --> 00:03:20.800]  是唯有我們的信仰去講
[00:03:20.800 --> 00:03:23.080]  而且是真實的
[00:03:23.080 --> 00:03:26.120]  是帶動我們每一個人回到負的裏面
[00:03:26.120 --> 00:03:27.320]  這個是福音
[00:03:27.320 --> 00:03:28.240]  是好消息
[00:03:28.240 --> 00:03:32.200]  我們要實踐「大使命」
[00:03:32.200 --> 00:03:34.800]  這個是我們需要做的
[00:03:34.800 --> 00:03:36.640]  不單止記這三個字
[00:03:36.640 --> 00:03:38.120]  多記三個字
[00:03:38.120 --> 00:03:40.160]  你就明白甚麼是「整全使命」
[00:03:40.160 --> 00:03:45.200]  另外那三個字就是「大誡命」
[00:03:45.200 --> 00:03:47.880]  「大誡命」
[00:03:47.880 --> 00:03:50.640]  當我們將「大使命」加上「大誡命」時
[00:03:50.640 --> 00:03:51.480]  就完整了
[00:03:51.480 --> 00:03:53.800]  就是一個整全的使命
[00:03:53.800 --> 00:03:55.080]  就在聖經裏面
[00:03:55.080 --> 00:03:59.120]  神要我們做的最大的事情
[00:03:59.120 --> 00:04:00.720]  而所謂「大誡命」
[00:04:00.720 --> 00:04:02.600]  一會兒我會詳細一點講
[00:04:02.600 --> 00:04:05.240]  但是現在我可以很簡單的告訴大家
[00:04:05.240 --> 00:04:07.280]  「大誡命」其實都不複雜的
[00:04:07.280 --> 00:04:08.360]  很簡單的意思就是
[00:04:08.360 --> 00:04:10.920]  我們帶著神給我們的愛
[00:04:10.920 --> 00:04:14.000]  去服侍有需要的人
[00:04:14.000 --> 00:04:15.480]  就是這麼簡單
[00:04:15.480 --> 00:04:18.240]  是用行動去服侍有需要的人
[00:04:18.240 --> 00:04:21.960]  不是用口頭、嘴巴去服侍有需要的人
[00:04:21.960 --> 00:04:26.240]  「大誡命」就是真真正正去到有需要的人中間
[00:04:26.240 --> 00:04:27.680]  不只是基督徒
[00:04:27.680 --> 00:04:29.400]  是非基督徒
[00:04:29.400 --> 00:04:31.040]  是那些未認識神的人
[00:04:31.040 --> 00:04:33.800]  都是我們服侍的對象
[00:04:33.800 --> 00:04:35.560]  我們就是帶著愛心
[00:04:35.560 --> 00:04:37.440]  神給我們很多的資源
[00:04:37.440 --> 00:04:38.440]  有很多的力量
[00:04:38.440 --> 00:04:40.360]  有多少的精神、時間、體力
[00:04:40.360 --> 00:04:43.760]  我們願意將它放在那些未信的人身上
[00:04:43.760 --> 00:04:45.720]  還有所有人的身上
[00:04:45.720 --> 00:04:47.800]  當然也都包括基督徒
[00:04:47.800 --> 00:04:50.600]  當我們肯這樣做的時候
[00:04:50.600 --> 00:04:52.720]  「大誡命」就是了
[00:04:52.720 --> 00:04:53.320]  所以弟兄姊妹
[00:04:53.320 --> 00:04:55.400]  我們要力踐整全使命
[00:04:55.400 --> 00:04:58.520]  意思就是一方面我們傳揚福音
[00:04:58.520 --> 00:05:01.400]  告訴別人十價救贖的道理
[00:05:01.400 --> 00:05:03.960]  但是一方面我們原來帶著行動
[00:05:03.960 --> 00:05:05.080]  帶著愛
[00:05:05.080 --> 00:05:07.320]  來透過我們的實踐
[00:05:07.320 --> 00:05:09.240]  我們將很多別人的需要
[00:05:09.240 --> 00:05:10.320]  我們去滿足他們
[00:05:10.320 --> 00:05:11.400]  去祝福他們
[00:05:11.400 --> 00:05:13.640]  我們不計價
[00:05:13.640 --> 00:05:14.840]  自己會有也好
[00:05:14.840 --> 00:05:16.280]  非會有也好
[00:05:16.280 --> 00:05:19.000]  我們都一樣這樣給出去
[00:05:19.000 --> 00:05:19.920]  弟兄姊妹
[00:05:19.920 --> 00:05:21.560]  這就是「大誡命」了
[00:05:21.560 --> 00:05:23.600]  所以很盼望在未來的日子
[00:05:23.600 --> 00:05:25.680]  我們能夠彼此的勉勵
[00:05:25.680 --> 00:05:26.600]  在未來幾年
[00:05:26.600 --> 00:05:28.240]  以致到往後的日子
[00:05:28.240 --> 00:05:31.680]  我們能夠彼此的靠著主聯絡
[00:05:31.680 --> 00:05:32.720]  又相助
[00:05:32.720 --> 00:05:34.120]  我們做甚麼呢?
[00:05:34.120 --> 00:05:35.560]  教會是有目標的
[00:05:35.560 --> 00:05:37.720]  教會存在是有使命的
[00:05:37.720 --> 00:05:39.480]  就是要傳揚福音
[00:05:39.480 --> 00:05:41.720]  還有愛心的關懷
[00:05:41.720 --> 00:05:43.120]  走進社區
[00:05:43.120 --> 00:05:45.160]  走進很多有需要的人裏面
[00:05:45.160 --> 00:05:47.360]  我們去關心服侍他們
