
[00:00:00.000 --> 00:00:05.000]  提交文件:衞生局局長的簡介 - 由何秀蘭議員發言
[00:00:30.000 --> 00:00:35.000]  信心信仰是我們一個很重要的
[00:00:35.000 --> 00:00:37.000]  需要關注的
[00:00:37.000 --> 00:00:41.000]  而這個信心是需要時常要擴展它的
[00:00:41.000 --> 00:00:43.000]  今日我的題目就是
[00:00:43.000 --> 00:00:45.000]  和信心有關係
[00:00:45.000 --> 00:00:47.000]  感恩的信心
[00:00:47.000 --> 00:00:49.000]  我們一齊祈禱
[00:00:49.000 --> 00:00:50.000]  求主祢賜恩
[00:00:50.000 --> 00:00:52.000]  讓我們打開你的話語
[00:00:52.000 --> 00:00:56.000]  去看回思想你當日所做的事情
[00:00:56.000 --> 00:00:58.000]  所講的說話
[00:00:58.000 --> 00:01:02.000]  讓我們從中建立我們的信心
[00:01:02.000 --> 00:01:06.000]  建立我們對你的認識
[00:01:06.000 --> 00:01:09.000]  我們這樣祈禱奉耶穌基督的名
[00:01:09.000 --> 00:01:12.000]  誠心所願
[00:01:12.000 --> 00:01:15.000]  這一段聖經的記載
[00:01:15.000 --> 00:01:21.000]  是相當之多人認識的
[00:01:21.000 --> 00:01:23.000]  因為它是很形象化
[00:01:23.000 --> 00:01:26.000]  也是很結構性
[00:01:26.000 --> 00:01:28.000]  我們小時候就上主日學
[00:01:28.000 --> 00:01:30.000]  就聽這些故事
[00:01:30.000 --> 00:01:34.000]  有十個長大麻瘋的來求耶穌醫治
[00:01:34.000 --> 00:01:37.000]  結果就只有一個人回來感謝耶穌
[00:01:37.000 --> 00:01:40.000]  九個都沒有了蹤影
[00:01:40.000 --> 00:01:42.000]  我們小時候就被教導
[00:01:42.000 --> 00:01:46.000]  可能現在我們兒童部的導師
[00:01:46.000 --> 00:01:49.000]  都是這樣教我們的小朋友
[00:01:49.000 --> 00:01:52.000]  不要不懂得感恩
[00:01:52.000 --> 00:01:55.000]  要感恩我們要教小朋友
[00:01:55.000 --> 00:01:57.000]  所以我們時常都聽到
[00:01:57.000 --> 00:02:00.000]  這個教導叫我們有感恩的心
[00:02:00.000 --> 00:02:02.000]  不要忘恩
[00:02:02.000 --> 00:02:07.000]  但如果我們只是將這一段的記事
[00:02:07.000 --> 00:02:12.000]  集中在感恩的焦點上
[00:02:12.000 --> 00:02:14.000]  可能我們就太過著重了
[00:02:14.000 --> 00:02:16.000]  這種品德的教育
[00:02:16.000 --> 00:02:20.000]  即是我們要懂得去感恩
[00:02:20.000 --> 00:02:23.000]  還有一個可能性會產生的
[00:02:23.000 --> 00:02:25.000]  或者叫做副作用
