
[00:00:00.000 --> 00:00:04.760]  剛才大家看的短片是Mountain Park Community Church
[00:00:04.760 --> 00:00:09.520]  他們自己攝製關於Church Unity的短片
[00:00:09.520 --> 00:00:13.320]  其實我們在British Campus曾經做過類似的
[00:00:13.320 --> 00:00:15.000]  每個人走出來是現場的
[00:00:15.000 --> 00:00:16.680]  不是這樣拍出來的
[00:00:16.680 --> 00:00:18.160]  這裡有沒有做過?
[00:00:18.160 --> 00:00:20.000]  這裡好像沒有試過
[00:00:20.000 --> 00:00:22.240]  他說We are the Church
[00:00:22.240 --> 00:00:24.240]  我們就是教會
[00:00:24.240 --> 00:00:26.360]  大家看完這個短片之後
[00:00:26.360 --> 00:00:32.240]  你得到的印象和感覺是怎樣呢?
[00:00:32.240 --> 00:00:34.040]  當然大家很明顯看到的是
[00:00:34.040 --> 00:00:39.680]  原來在教會裡面全都是來自不同背景的人
[00:00:39.680 --> 00:00:42.160]  裡面包括了少數族裔
[00:00:42.160 --> 00:00:43.360]  不同的種族
[00:00:43.360 --> 00:00:44.840]  我們比較單純一點
[00:00:44.840 --> 00:00:46.640]  基本上是Chinese
[00:00:46.640 --> 00:00:48.560]  但是在很多教會當中
[00:00:48.560 --> 00:00:49.600]  可能在未來
[00:00:49.600 --> 00:00:51.440]  當我們發展到英語時工的時候
[00:00:51.440 --> 00:00:54.440]  可能我們會有些不同族裔在我們當中
[00:00:54.440 --> 00:00:57.240]  所以是來自不同背景的人
[00:00:57.240 --> 00:00:58.480]  不同族裔
[00:00:58.480 --> 00:01:00.120]  不同的人生階段
[00:01:00.120 --> 00:01:03.400]  以及有很多不同的人生經歷
[00:01:03.400 --> 00:01:05.600]  不過在大多數人當中
[00:01:05.600 --> 00:01:06.920]  都有一個共同點
[00:01:06.920 --> 00:01:08.840]  大家有沒有留意到共同點是什麼?
[00:01:08.840 --> 00:01:10.880]  他們都有說
[00:01:10.880 --> 00:01:13.040]  這群人從前是怎樣的?
[00:01:13.040 --> 00:01:14.720]  We were broken
[00:01:14.720 --> 00:01:19.680]  這群人承認從前都是破碎的人
[00:01:19.680 --> 00:01:23.200]  但是We are made whole
[00:01:23.200 --> 00:01:24.760]  我們在主耶穌基督裡面
[00:01:24.760 --> 00:01:26.880]  是重新被重整
[00:01:26.880 --> 00:01:29.800]  可以變得完美
[00:01:29.800 --> 00:01:33.520]  我不知道大家是否同意這個觀點
[00:01:33.520 --> 00:01:37.400]  這個觀點看起來是很負面的
[00:01:37.400 --> 00:01:39.000]  因為我們每個人都有問題
[00:01:39.000 --> 00:01:40.120]  每個人都有問題
[00:01:40.120 --> 00:01:41.240]  每個人都有缺陷
[00:01:41.240 --> 00:01:42.680]  每個人都不完美
[00:01:42.680 --> 00:01:46.720]  甚至是破爛的
[00:01:46.720 --> 00:01:48.240]  但與此同時
[00:01:48.240 --> 00:01:49.640]  又帶給我們一個盼望
[00:01:49.640 --> 00:01:51.840]  原來只要我們在基督耶穌裡面
[00:01:51.840 --> 00:01:54.560]  雖然我們接受耶穌基督
[00:01:54.560 --> 00:01:56.680]  作為我們個人的救主的時候
[00:01:56.680 --> 00:01:58.000]  We can be made whole
[00:01:58.000 --> 00:02:02.280]  我們能夠重新變得完美和完整
[00:02:02.280 --> 00:02:04.760]  而這群人在一起的時候
[00:02:04.760 --> 00:02:07.680]  就稱之為教會
[00:02:07.680 --> 00:02:12.280]  這個問題大家應該明白的
[00:02:12.280 --> 00:02:13.840]  問題是什麼?
[00:02:13.840 --> 00:02:18.320]  原來我們重新被主造成一個新人
[00:02:18.320 --> 00:02:20.840]  當然一個開始是instant的
[00:02:20.840 --> 00:02:24.160]  但要變得完美完整
[00:02:24.160 --> 00:02:26.640]  這是一個過程
[00:02:26.640 --> 00:02:29.800]  不是馬上變成完美的基督
[00:02:29.800 --> 00:02:31.480]  當然我們有這樣的期望
[00:02:31.480 --> 00:02:34.360]  但原來神要慢慢去無造改變我們
[00:02:34.360 --> 00:02:37.000]  這個神聖的階段
[00:02:37.000 --> 00:02:40.040]  是需要一個時間
[00:02:40.040 --> 00:02:41.880]  問題出來了
[00:02:41.880 --> 00:02:43.920]  每一個人來到教會裡面
[00:02:43.920 --> 00:02:44.840]  都已經變得完美
[00:02:44.840 --> 00:02:48.160]  不過我們還是在一個神聖的過程當中
[00:02:48.160 --> 00:02:50.640]  在一個變得完美完整的過程當中
[00:02:50.640 --> 00:02:53.000]  而上帝將我們這些人
[00:02:53.000 --> 00:02:54.520]  在改變當中的人
[00:02:54.520 --> 00:02:56.400]  放在一起
[00:02:56.400 --> 00:02:58.880]  在一個教會裡面
[00:02:58.880 --> 00:03:00.160]  大家可以想像得到
[00:03:00.160 --> 00:03:04.160]  其實這個自仕途時代開始到現在
[00:03:04.160 --> 00:03:05.720]  我相信我們時不時都會聽到
[00:03:05.720 --> 00:03:08.400]  在教會裡面有什麼?
[00:03:08.400 --> 00:03:09.960]  有紛爭
[00:03:09.960 --> 00:03:12.960]  甚至有分裂的情況出現
[00:03:12.960 --> 00:03:14.160]  因為原來這群人
[00:03:14.160 --> 00:03:16.320]  當然都成為上帝的子女
[00:03:16.320 --> 00:03:18.400]  但原來我們在這個過程當中
[00:03:18.400 --> 00:03:20.920]  有些地方有些缺口
[00:03:20.920 --> 00:03:21.640]  還要填補
[00:03:21.640 --> 00:03:22.560]  但未能填補得及
[00:03:22.560 --> 00:03:25.080]  但上帝已經將我們放在一起了
[00:03:25.080 --> 00:03:30.560]  所以造成很多不可避免的矛盾和衝突
[00:03:30.560 --> 00:03:34.280]  在我們當中
[00:03:34.280 --> 00:03:37.360]  當我們說到教會的時候
[00:03:37.360 --> 00:03:38.440]  很多時候
[00:03:38.440 --> 00:03:39.280]  我曾經聽別人說
[00:03:39.280 --> 00:03:42.120]  甚至以前我也有類似這樣的表達
[00:03:42.120 --> 00:03:44.680]  因為教會就是這些分裂的人聚集在一起
[00:03:44.680 --> 00:03:48.200]  雖然我們已經在耶穌基督裡面堅持
[00:03:48.200 --> 00:03:50.600]  但是在一個過程中
[00:03:50.600 --> 00:03:51.680]  我們會發覺
[00:03:51.680 --> 00:03:54.520]  我們會有些人聽說過
[00:03:54.520 --> 00:03:57.000]  教會就像一個療養院
[00:03:57.000 --> 00:03:57.640]  有沒有聽過?
[00:03:57.640 --> 00:03:58.680]  或者醫院
[00:03:58.680 --> 00:04:03.720]  人們在裡面可以慢慢被康復
[00:04:03.720 --> 00:04:04.280]  沒錯
[00:04:04.280 --> 00:04:06.600]  教會能否發揮這樣的作用呢?
[00:04:06.600 --> 00:04:09.640]  我們應該有這樣的狀況在當中
[00:04:09.640 --> 00:04:11.680]  但我想大家留意的是
[00:04:11.680 --> 00:04:15.360]  這並不是上帝設立教會的目的
[00:04:15.360 --> 00:04:17.800]  上帝不是要在地上開療養院
[00:04:17.800 --> 00:04:19.600]  或者開一個醫院
[00:04:19.600 --> 00:04:21.280]  所有心靈有病的
[00:04:21.280 --> 00:04:22.720]  或者各方面有問題的
[00:04:22.720 --> 00:04:23.280]  你來吧
[00:04:23.280 --> 00:04:24.040]  你願得醫治
[00:04:24.040 --> 00:04:27.520]  可以慢慢在這裡康復
[00:04:27.520 --> 00:04:29.960]  這不是上帝的原意
[00:04:29.960 --> 00:04:32.880]  當上帝創造教會在地上的時候
[00:04:32.880 --> 00:04:34.520]  教會的目的是什麼?
[00:04:34.520 --> 00:04:37.400]  是要宣揚那一召我們出黑暗
[00:04:37.400 --> 00:04:39.160]  入奇妙光明者美德
[00:04:39.160 --> 00:04:40.560]  我們全都被破壞了
[00:04:40.560 --> 00:04:42.280]  我們全都在黑暗中
[00:04:42.280 --> 00:04:44.080]  但是現在我們進入光明裡面
[00:04:44.080 --> 00:04:45.440]  我們活在光明當中
[00:04:45.440 --> 00:04:47.360]  雖然我們還沒有變得像耶穌那麼完美
[00:04:47.360 --> 00:04:49.840]  但是這是我們現時的光景
[00:04:49.840 --> 00:04:52.840]  以及我們從上帝那裡領受了一個使命
[00:04:52.840 --> 00:04:58.240]  要幫人看到盼望在耶穌的裡面
[00:04:58.240 --> 00:05:01.080]  所以當我們說到教會的存在
[00:05:01.080 --> 00:05:02.520]  教會的目的的時候
[00:05:02.520 --> 00:05:07.680]  教會事實上是一個使命的群體
[00:05:07.680 --> 00:05:10.560]  為了完成上帝藉著耶穌基督
[00:05:10.560 --> 00:05:14.120]  拯救這個世界的計劃
[00:05:14.120 --> 00:05:15.680]  在聖經裡面
[00:05:15.680 --> 00:05:19.520]  曾經有很多不同的比喻去形容教會
[00:05:19.520 --> 00:05:22.680]  當然其中一個最常聽到的比喻是什麼呢?
