
[00:00:00.000 --> 00:00:03.460]  我們繼續我們的辯臉系列
[00:00:03.460 --> 00:00:07.340]  今天是辯臉前傳的第四講
[00:00:07.340 --> 00:00:09.800]  跟大家回到我們之前
[00:00:09.800 --> 00:00:10.940]  即是去年
[00:00:10.940 --> 00:00:14.900]  有三次來講耶穌登山變像之前發生了什麼事
[00:00:14.900 --> 00:00:16.440]  耶穌帶領門徒
[00:00:16.440 --> 00:00:19.100]  記不記得去到蓋撒利亞菲勒比
[00:00:19.100 --> 00:00:20.420]  就問門徒
[00:00:20.420 --> 00:00:22.440]  你說我是誰呢?
[00:00:22.440 --> 00:00:23.600]  我們已經講了
[00:00:23.600 --> 00:00:25.400]  耶穌帶門徒去這個地方
[00:00:25.400 --> 00:00:27.580]  其實對他來說是非常不利的
[00:00:27.580 --> 00:00:30.660]  因爲蓋撒利亞菲勒比是一個敬拜偶像
[00:00:30.660 --> 00:00:32.460]  一個很厲害的城市
[00:00:32.460 --> 00:00:34.420]  有很危俄高聳
[00:00:34.420 --> 00:00:36.420]  很偉大的建築物
[00:00:36.420 --> 00:00:37.720]  是給那些假神
[00:00:37.720 --> 00:00:39.720]  特別是給蓋撒的
[00:00:39.720 --> 00:00:42.100]  但是耶穌那時候是粗衣麻布
[00:00:42.100 --> 00:00:43.520]  跟隨他的人
[00:00:43.520 --> 00:00:46.600]  大部分是婦孺、小孩子
[00:00:46.600 --> 00:00:48.100]  或者基層的市民
[00:00:48.100 --> 00:00:50.220]  所以在這個地方來問
[00:00:50.220 --> 00:00:51.340]  你說我是誰呢?
[00:00:51.340 --> 00:00:53.780]  其實顯得他好像很卑微
[00:00:53.780 --> 00:00:58.980]  門徒就說你是以利亞施洗約翰
[00:00:58.980 --> 00:01:03.740]  但是隻有主耶穌所愛的門徒彼得
[00:01:03.740 --> 00:01:05.240]  他就在說
[00:01:05.240 --> 00:01:08.080]  他說你就是基督
[00:01:08.080 --> 00:01:10.500]  是永生神的兒子
[00:01:10.500 --> 00:01:12.340]  他誤了這個道理
[00:01:12.340 --> 00:01:13.420]  主耶穌贊他
