
[00:00:00.000 --> 00:00:04.200]  七位恩主,多謝您讓我們能夠再次有生命來到您的面前
[00:00:04.200 --> 00:00:07.200]  去打開言讀主祢的說話
[00:00:07.200 --> 00:00:15.080]  求引導人的靈能夠幫助我們能夠更深明白上帝祢的心意
[00:00:15.080 --> 00:00:18.440]  所以我再次將我們自己交在上帝祢的手上
[00:00:18.440 --> 00:00:23.200]  隨著聖靈的引導,讓我們學習如何為身行主祢的道理
[00:00:23.200 --> 00:00:26.600]  我們禱告感恩,奉主耶穌的聖名致求
[00:00:26.600 --> 00:00:39.600]  我喜歡聽舊歌,特別喜歡聽粵語流行的舊歌
[00:00:39.600 --> 00:00:45.600]  其中有一首歌在我車上經常播放
[00:00:45.600 --> 00:00:55.600]  叫舊歡如夢,雙戀
[00:00:55.600 --> 00:00:59.600]  這首歌我不喜歡聽新版本,我喜歡聽舊版本
[00:00:59.600 --> 00:01:02.600]  我喜歡聽譚秉文唱的版本
[00:01:02.600 --> 00:01:05.600]  我不喜歡聽新版本,我喜歡聽舊版本
[00:01:05.600 --> 00:01:11.600]  這首歌的第二節,第一句是這樣說
[00:01:11.600 --> 00:01:23.600]  立心栽花花不香,還反也仇恨
[00:01:23.600 --> 00:01:28.600]  這句話當我每次聽到的時候,我心裡覺得很有迴響
[00:01:28.600 --> 00:01:35.600]  有時我們很想做一些好的事,甚至做了
[00:01:35.600 --> 00:01:44.600]  但卻被人憎恨,不知道你有沒有類似的經歷
[00:01:44.600 --> 00:01:51.600]  但我相信在中國人裡面,有很多說話都曾經反映人有這種經歷
[00:01:51.600 --> 00:01:58.600]  另一個典型例子就是有這麼一句話
[00:01:58.600 --> 00:02:08.600]  叫做狗咬呂洞賓,不知好人心
[00:02:08.600 --> 00:02:14.600]  都是同樣反映出,你原本對人多好都好
[00:02:14.600 --> 00:02:23.600]  那個人未必看到,他還反過來打你,指責你,控訴你
[00:02:23.600 --> 00:02:28.600]  為什麼會有這樣的問題呢?
[00:02:28.600 --> 00:02:35.600]  我曾經去探訪過一對父母,他曾經跟我這樣分享
[00:02:35.600 --> 00:02:45.600]  他說他有一個兒子,他很多時候都不明白父母對他的心意
[00:02:45.600 --> 00:02:54.600]  當時我兒子十歲左右,我為他安排一次游泳訓練班
[00:02:54.600 --> 00:03:01.600]  你知道現在很多人都生一個,他有一個,他也只有一個
[00:03:01.600 --> 00:03:12.600]  每個星期帶兒子去游泳,但這個兒子認為很麻煩
[00:03:12.600 --> 00:03:21.600]  浪費時間,他說爸爸媽媽,不如你把時間給我去打網絡遊戲
[00:03:21.600 --> 00:03:29.600]  不過沒辦法,這個年輕人,每個星期都被他父母壓榨
[00:03:29.600 --> 00:03:37.600]  就說這個年輕人都被父母想辦法把他壓解去游泳
[00:03:37.600 --> 00:03:43.600]  去到泳池學游泳,因為他心裡很不服氣
[00:03:43.600 --> 00:03:55.600]  不去游泳不行,於是他學第一級,學了五六次都不能學完第一級
[00:03:55.600 --> 00:04:02.600]  因為他心裡想不到,就不想學了
[00:04:02.600 --> 00:04:12.600]  然後他父母就跟我講,牧師,為什麼我要安排他游泳呢?
[00:04:12.600 --> 00:04:22.600]  因為他從小到大身體很虛弱,我聽人說學游泳能夠強壯身體
[00:04:22.600 --> 00:04:28.600]  還有你要明白,學游泳是一種基本的技能
[00:04:28.600 --> 00:04:33.600]  學會了將來,就算救不了人,也能救到自己
[00:04:33.600 --> 00:04:41.600]  但是他說,我兒子一直都不明白,最慘是什麼呢?
[00:04:41.600 --> 00:04:46.600]  有一次他發脾氣,還走來跟我講
[00:04:46.600 --> 00:04:53.600]  他說,爸爸媽媽,你當然不想我玩電子遊戲了
[00:04:53.600 --> 00:04:56.600]  不讓我用電腦了
[00:04:56.600 --> 00:05:02.600]  這個父母聽到兒子發脾氣,還跟我說服
[00:05:02.600 --> 00:05:06.600]  牧師,我都不知道有什麼話好說
[00:05:06.600 --> 00:05:08.600]  我都不知道該說什麼
[00:05:08.600 --> 00:05:12.600]  為什麼我兒子不明白我的心意呢?
[00:05:12.600 --> 00:05:21.600]  如果我立心阻止他玩電子遊戲,我就連電腦都不買給他了
[00:05:21.600 --> 00:05:25.600]  為什麼他連這麼簡單的道理都不明白?
[00:05:25.600 --> 00:05:30.600]  他體會一下我的心怎麼想,去體會我的心情
[00:05:30.600 --> 00:05:35.600]  我相信我講這個分享,大部分做過父母的人都會明白是一回事
[00:05:35.600 --> 00:05:39.600]  我講這個分享,我估計大部分做過父母的人都明白是一回事
[00:05:39.600 --> 00:05:44.600]  但是當我聽到這個分享的時候,我自己這樣想
[00:05:44.600 --> 00:05:51.600]  有育員關係的人,有學員關係的人,都未能夠了解父母的心意
[00:05:51.600 --> 00:05:53.600]  都未必能了解父母的心意
[00:05:53.600 --> 00:06:00.600]  我想我們只有最後一條道路
[00:06:00.600 --> 00:06:05.600]  就是我們能夠在靈裡面彼此相交認識
[00:06:05.600 --> 00:06:10.600]  和上帝這位永恆的主連在一起
[00:06:10.600 --> 00:06:15.600]  透過我們去明白上帝的心怎麼想
[00:06:15.600 --> 00:06:24.600]  才能解決到在地上人與人之間的問題
[00:06:24.600 --> 00:06:29.600]  而真正能夠締造這個屬靈的關係
[00:06:29.600 --> 00:06:32.600]  除了我們從人的層面
[00:06:32.600 --> 00:06:39.600]  要靠他將上帝的道理傳開的工作之外
[00:06:39.600 --> 00:06:46.600]  更重要,就是要有上帝的靈介入其中
[00:06:46.600 --> 00:06:51.600]  當人能夠領受神的靈
[00:06:51.600 --> 00:06:55.600]  他才能夠明白上帝的心怎麼想
[00:06:55.600 --> 00:07:01.600]  而當人和上帝的心再次連在一起之後
[00:07:01.600 --> 00:07:06.600]  人與人之間的關係才能夠得到修和
[00:07:06.600 --> 00:07:11.600]  所以如果人與人之間的關係不好的人
[00:07:11.600 --> 00:07:19.600]  很大機會是因為他和上帝的關係根本未能連得好
[00:07:19.600 --> 00:07:23.600]  所以當我們看今天的經文
[00:07:23.600 --> 00:07:26.600]  《司徒行傳》第二章
[00:07:26.600 --> 00:07:30.600]  作為第一章,聖經已經告訴我們
[00:07:30.600 --> 00:07:33.600]  司徒或者門徒
[00:07:33.600 --> 00:07:38.600]  就算他們跟隨主耶穌基督也好,有多久也好
[00:07:38.600 --> 00:07:42.600]  他們必須要有聖靈在他們裡面
[00:07:42.600 --> 00:07:46.600]  但因為在這個新約兩約之間的期間
[00:07:46.600 --> 00:07:48.600]  在新約兩約之間
[00:07:48.600 --> 00:07:52.600]  上帝的工作一步一步一步地在完成這個過程
[00:07:52.600 --> 00:07:55.600]  所以《司徒行傳》就讓我們看到
[00:07:55.600 --> 00:07:59.600]  有聖靈降臨下來的聖靈的洗這一件事
[00:07:59.600 --> 00:08:02.600]  就是看到聖靈降臨下來的這件事
[00:08:02.600 --> 00:08:04.600]  當我們做基督徒
[00:08:04.600 --> 00:08:07.600]  當我們真心相信主之後
[00:08:07.600 --> 00:08:13.600]  神的靈就會馬上從我信主進入我們生命當中
[00:08:13.600 --> 00:08:16.600]  既然聖靈是這麼重要的話
[00:08:16.600 --> 00:08:19.600]  今天就讓我們透過這段聖經
[00:08:19.600 --> 00:08:22.600]  《司徒行傳》第二章
[00:08:22.600 --> 00:08:24.600]  從第1至13節裡面
[00:08:24.600 --> 00:08:28.600]  我第一部分去看聖靈的工作
[00:08:28.600 --> 00:08:34.600]  如何怎樣聖靈使得我們
[00:08:34.600 --> 00:08:38.600]  以別人熟悉的語言
[00:08:38.600 --> 00:08:41.600]  將上帝的說話
[00:08:41.600 --> 00:08:43.600]  上帝的大能
[00:08:43.600 --> 00:08:45.600]  介紹給人知道
[00:08:45.600 --> 00:08:48.600]  不如在這節目我們再次打開聖經好不好
[00:08:48.600 --> 00:08:52.600]  雖然李太已經幫我們讀過一次
[00:08:52.600 --> 00:08:54.600]  不如我們都一起讀一下好不好
[00:08:54.600 --> 00:08:56.600]  我們一同來讀一下
[00:08:56.600 --> 00:08:58.600]  我們分開來讀
[00:08:58.600 --> 00:09:00.600]  我們現在先一起讀第1至第4節
[00:09:00.600 --> 00:09:02.600]  我們先讀1到第4節
[00:09:02.600 --> 00:09:12.600]  我們一起去讀
[00:09:12.600 --> 00:09:15.600]  我們李太用廣東話
[00:09:15.600 --> 00:09:18.600]  我們不如試試用普通話讀
[00:09:18.600 --> 00:09:20.600]  考倒我
[00:09:20.600 --> 00:09:22.600]  我用讀大聲一點
[00:09:22.600 --> 00:09:26.600]  五行皆到了門頭都聚集在一處
[00:09:26.600 --> 00:09:30.600]  復原成天上有響聲下來
[00:09:30.600 --> 00:09:33.600]  好像一陣大雨吹過
[00:09:33.600 --> 00:09:35.600]  充滿他們所做的福
[00:09:35.600 --> 00:09:39.600]  又有舌頭與火焰顯現出來
[00:09:39.600 --> 00:09:42.600]  風將落到他們過日子頭上
[00:09:42.600 --> 00:09:44.600]  他們就被聖靈吹散
[00:09:44.600 --> 00:09:47.600]  那種聖靈所賜的口才
[00:09:47.600 --> 00:09:50.600]  說起別國的話來
[00:09:50.600 --> 00:09:54.600]  在第2章1至4節裏面
[00:09:54.600 --> 00:09:57.600]  我們讀了一段很有趣的經文
[00:09:57.600 --> 00:10:00.600]  因為這段經文
[00:10:00.600 --> 00:10:06.600]  是很多聖經研究的焦點
[00:10:06.600 --> 00:10:14.600]  也是很多基督徒拿來成為他們信仰的基礎
[00:10:14.600 --> 00:10:19.600]  以這段經文去嘗試印證自己是真正的基督徒
[00:10:19.600 --> 00:10:25.600]  特別是那些靈恩派的信徒
[00:10:25.600 --> 00:10:31.600]  或者那些叫極端甚至異端的信徒
[00:10:31.600 --> 00:10:35.600]  都很喜歡用這段聖經
[00:10:35.600 --> 00:10:39.600]  藉著這段聖經告訴我們
[00:10:39.600 --> 00:10:44.600]  我們要有聖靈充滿
[00:10:44.600 --> 00:10:49.600]  被聖靈的洗充滿的經驗
[00:10:49.600 --> 00:10:54.600]  這個經驗很重要
[00:10:54.600 --> 00:10:57.600]  一定要有聖靈在我身上
[00:10:57.600 --> 00:11:00.600]  我經歷過一些這樣的事
[00:11:00.600 --> 00:11:03.600]  我才是一個真正的基督徒
[00:11:03.600 --> 00:11:07.600]  我在這裏做一個簡短的提醒
[00:11:07.600 --> 00:11:15.600]  今年這十幾年裏面最流行是從中國大陸傳遍全世界
[00:11:15.600 --> 00:11:20.600]  一派的叫做基督徒
[00:11:20.600 --> 00:11:24.600]  他們的名字叫做東方閃電
[00:11:24.600 --> 00:11:26.600]  他們就很喜歡這樣搞
[00:11:26.600 --> 00:11:29.600]  東方閃電有很多種名字
[00:11:29.600 --> 00:11:32.600]  不只是叫東方閃電
[00:11:32.600 --> 00:11:35.600]  你覺得閃電就很害怕
[00:11:35.600 --> 00:11:39.600]  有些叫做恩信稱義派
[00:11:39.600 --> 00:11:42.600]  有些叫做方言派
[00:11:42.600 --> 00:11:44.600]  有些叫做靈音派
[00:11:44.600 --> 00:11:47.600]  有些叫做聖洗派
[00:11:47.600 --> 00:11:50.600]  很多不同類別的名字
[00:11:50.600 --> 00:11:53.600]  他們很喜歡用這段聖經
[00:11:53.600 --> 00:11:57.600]  去強調你有沒有我這樣的經歷
[00:11:57.600 --> 00:11:59.600]  你有我這樣的經歷
[00:11:59.600 --> 00:12:02.600]  你就真基督徒了
[00:12:02.600 --> 00:12:05.600]  沒有的話你是真基督徒
[00:12:05.600 --> 00:12:06.600]  你不是真基督徒
[00:12:06.600 --> 00:12:08.600]  不過讓我們今天看一下這段聖經
[00:12:08.600 --> 00:12:10.600]  讓我們再仔細看一下這段聖經
[00:12:10.600 --> 00:12:13.600]  怎樣去保定很多這些人的信
[00:12:13.600 --> 00:12:16.600]  去保定很多這些人的主張
[00:12:16.600 --> 00:12:18.600]  首先我們從第一至第四節去看
[00:12:18.600 --> 00:12:20.600]  我們從一到第四節來看
[00:12:20.600 --> 00:12:22.600]  首先要告訴我們
[00:12:22.600 --> 00:12:26.600]  時間是一個五旬節
[00:12:26.600 --> 00:12:27.600]  是五旬節
[00:12:27.600 --> 00:12:29.600]  五旬節是甚麼時候呢
[00:12:29.600 --> 00:12:31.600]  五旬節是甚麼時候呢
