
[00:00:00.000 --> 00:00:03.000]  (主席)洪子明問候,各位亭姐妹平安
[00:00:03.000 --> 00:00:09.000]  (主席)各位亭姐妹,我們進入獵王記下
[00:00:09.000 --> 00:00:12.000]  (主席)是很重要的部分
[00:00:12.000 --> 00:00:20.000]  (主席)不過我想由個人開始
[00:00:20.000 --> 00:00:26.000]  (主席)你有沒有發覺,每一次有任何人
[00:00:26.000 --> 00:00:29.000]  (主席)立志要聽主耶穌的話
[00:00:30.000 --> 00:00:33.000]  (主席)做一個很好的信徒
[00:00:33.000 --> 00:00:37.000]  (主席)你立了志之後,你的祈禱很好,很高通
[00:00:37.000 --> 00:00:40.000]  (主席)你有平安
[00:00:40.000 --> 00:00:44.000]  (主席)你和主耶穌會有很好的靈交
[00:00:44.000 --> 00:00:47.000]  (主席)靈裡面的交通
[00:00:47.000 --> 00:00:51.000]  (主席)但是在人方面就很不妥
[00:00:51.000 --> 00:00:56.000]  (主席)就會有很多的陷阱
[00:00:57.000 --> 00:01:01.000]  (主席)你會發覺你和人的困難比以前多了
[00:01:01.000 --> 00:01:05.000]  (主席)這個說法
[00:01:05.000 --> 00:01:08.000]  (主席)在今天來說
[00:01:08.000 --> 00:01:11.000]  (主席)不是很多人說,但是聖經卻是這樣說
[00:01:11.000 --> 00:01:13.000]  (主席)你不要以為稀奇
[00:01:13.000 --> 00:01:15.000]  (主席)其實保羅說了
[00:01:15.000 --> 00:01:18.000]  (主席)當人立志在耶穌基督裡
[00:01:18.000 --> 00:01:22.000]  (主席)敬權道德的都難免受逼迫
[00:01:22.000 --> 00:01:24.000]  (主席)這是保羅說的
[00:01:25.000 --> 00:01:27.000]  (主席)在舊約聖經裡,我們講到
[00:01:27.000 --> 00:01:32.000]  (主席)這個名字很好
[00:01:32.000 --> 00:01:36.000]  (主席)我拆這個名字,為什麼呢?
[00:01:36.000 --> 00:01:40.000]  (主席)就是耶和華
[00:01:40.000 --> 00:01:43.000]  (主席)加強
[00:01:43.000 --> 00:01:46.000]  (主席)使強壯
[00:01:46.000 --> 00:01:50.000]  (主席)使到你強壯
[00:01:50.000 --> 00:01:53.000]  (主席)耶和華使到人
[00:01:54.000 --> 00:01:56.000]  (主席)使到你強壯
[00:01:56.000 --> 00:01:58.000]  (主席)所以希西加就這個名字
[00:01:58.000 --> 00:02:03.000]  (主席)Hazakia
[00:02:03.000 --> 00:02:06.000]  (主席)我可以說
[00:02:06.000 --> 00:02:08.000]  (主席)希西加
[00:02:08.000 --> 00:02:10.000]  (主席)你剛才聽Sandy讀
[00:02:10.000 --> 00:02:12.000]  (主席)是否被人嚇到
[00:02:12.000 --> 00:02:15.000]  (主席)被那個人侮辱
[00:02:15.000 --> 00:02:17.000]  (主席)廣東話
[00:02:17.000 --> 00:02:19.000]  (主席)但是他的名字
[00:02:19.000 --> 00:02:22.000]  (主席)我有耶和華加強我
[00:02:23.000 --> 00:02:24.000]  (主席)希西加的名字很好
[00:02:24.000 --> 00:02:25.000]  (主席)如果用廣東話
