
[00:00:00.000 --> 00:00:04.640]  請你打開聖經的羅馬書第十六章
[00:00:04.640 --> 00:00:10.100]  我們的電腦不知什麼事
[00:00:10.100 --> 00:00:13.780]  中堂做得到,五堂又用不了,很奇怪
[00:00:13.780 --> 00:00:15.260]  羅馬書十六章
[00:00:15.260 --> 00:00:16.900]  如果心水清突然間會問
[00:00:16.900 --> 00:00:19.100]  爲什麼是十六章而不是十五章
[00:00:19.100 --> 00:00:21.500]  因爲十五章已經寫好了
[00:00:21.500 --> 00:00:23.240]  哪裏講章,因爲太長了
[00:00:23.240 --> 00:00:26.100]  今天是主餐主日,我們不夠時間分享
[00:00:26.100 --> 00:00:30.000]  我們只是十六章,剛纔我們也算過時間
[00:00:30.000 --> 00:00:33.400]  我們要講解的十六章已經是一段非常長的時間
[00:00:33.400 --> 00:00:34.900]  十五章會更長
[00:00:34.900 --> 00:00:40.900]  所以我們先用十六章成爲了我們今天的經文
[00:00:40.900 --> 00:00:44.000]  然後十五章成爲了羅馬書最後的一講
[00:00:44.000 --> 00:00:46.400]  我們看羅馬書十六章,請你打開這段經文
[00:00:46.400 --> 00:00:50.200]  一路打開,一路讀的時候我們纔會理解得比較容易
[00:00:50.200 --> 00:00:52.700]  一般上我們讀經的過程裏面
[00:00:52.700 --> 00:00:58.800]  家譜、文後語,即是書信開始的文後語、結束的文後語
[00:00:58.800 --> 00:01:01.700]  甚至最特別的就是羅馬書十六章裏面
[00:01:01.700 --> 00:01:04.400]  一篇非常湧長的文後語
[00:01:04.400 --> 00:01:06.600]  有二十六個的名單
[00:01:06.600 --> 00:01:09.600]  這些人我們大部分完全不太懂
[00:01:09.600 --> 00:01:13.600]  這些家譜、文後語、這些名單
[00:01:13.600 --> 00:01:16.000]  一般上在我們讀經和靈脩裏面
[00:01:16.000 --> 00:01:18.500]  是最容易忽略的,是不是?
[00:01:18.500 --> 00:01:22.800]  跟你旁邊的弟兄說一聲,聖經沒有多餘的字
[00:01:22.800 --> 00:01:26.800]  保羅寫得出來的話,一定有它的意義在裏面
[00:01:26.800 --> 00:01:28.400]  但是究竟意義在哪裏呢?
[00:01:28.400 --> 00:01:31.000]  我們必須要花時間去逐一看
[00:01:31.000 --> 00:01:34.600]  因爲這個名單裏面包括了二十六個人,五個家庭
[00:01:34.600 --> 00:01:39.200]  請留意,弟兄姐妹,不要偷換概念
[00:01:39.200 --> 00:01:43.700]  有很多人將現在教會的定義偷換概念
[00:01:43.700 --> 00:01:49.300]  今天我們不能夠用現在的教會的觀念去看初期教會
[00:01:49.300 --> 00:01:52.800]  因爲初期教會有接近三百年的時間
[00:01:52.800 --> 00:01:55.900]  不是一個建築物
