
[00:00:00.000 --> 00:00:06.000]  上一次和大家開始了《耶利米愛歌》這個系列
[00:00:06.000 --> 00:00:09.000]  講了《耶利米愛歌》的介紹
[00:00:09.000 --> 00:00:13.000]  今天要講《耶利米愛歌》的第一章
[00:00:13.000 --> 00:00:18.000]  我們講到《耶利米愛歌》其實是非常非常實用的一本書
[00:00:18.000 --> 00:00:23.000]  是教我們如何能夠面對苦難
[00:00:23.000 --> 00:00:26.000]  五張書都有它獨特的地方
[00:00:26.000 --> 00:00:29.000]  每一張書都有一個重要的訊息
[00:00:29.000 --> 00:00:34.000]  教我們如何能夠一步一步踏出憂鬱黑暗
[00:00:34.000 --> 00:00:37.000]  這個不是跟你講心理學
[00:00:37.000 --> 00:00:40.000]  這個是聖經如何教我們
[00:00:40.000 --> 00:00:45.000]  我們一起來看看第一章有什麼訊息
[00:00:45.000 --> 00:00:52.000]  第一章其實是哀歌五章裡的第一首詩歌
[00:00:52.000 --> 00:01:00.000]  耶利米先知將耶路撒冷城描述成為一個哀動痛苦的寡婦
[00:01:00.000 --> 00:01:06.000]  經文一開始就問為什麼耶路撒冷會變成一個寡婦
[00:01:06.000 --> 00:01:10.000]  講到她沒有人來安慰她
[00:01:10.000 --> 00:01:12.000]  講到她非常孤單
[00:01:12.000 --> 00:01:17.000]  而這些字眼你能夠在經文裡重複出現
[00:01:17.000 --> 00:01:21.000]  第一章很明顯是有一個分段
[00:01:21.000 --> 00:01:23.000]  分開兩個部分
[00:01:23.000 --> 00:01:25.000]  一至到十一節
[00:01:25.000 --> 00:01:30.000]  作者是用第三者來描述這個錫安寡婦
[00:01:30.000 --> 00:01:35.000]  是用她,女性的她,是第三者
[00:01:35.000 --> 00:01:39.000]  講到她的生命是完全被毀滅
[00:01:39.000 --> 00:01:41.000]  因為這一場災難
[00:01:41.000 --> 00:01:45.000]  在後半章是用第一者的身份
[00:01:45.000 --> 00:01:49.000]  這個錫安婦人是親自叫喊出來
[00:01:49.000 --> 00:01:51.000]  所用的是「我」
[00:01:51.000 --> 00:01:55.000]  很直接地向我們呼喚出來
[00:01:55.000 --> 00:01:59.000]  好像耶利米先知對這個錫安婦人的描述
[00:01:59.000 --> 00:02:03.000]  是被這個錫安婦人的喊叫中斷了
[00:02:03.000 --> 00:02:06.000]  而由第三者變成第一者
[00:02:06.000 --> 00:02:09.000]  她首先是向神呼叫
[00:02:09.000 --> 00:02:12.000]  接著是向路邊的人來呼叫
[00:02:12.000 --> 00:02:16.000]  也是向著每一個讀者來呼叫
[00:02:16.000 --> 00:02:19.000]  她希望有人能夠停下來
[00:02:19.000 --> 00:02:22.000]  看看她,聽她的故事
[00:02:22.000 --> 00:02:25.000]  任何人願意留下來聽她的
[00:02:25.000 --> 00:02:27.000]  包括耶利米愛國的讀者
[00:02:27.000 --> 00:02:29.000]  她都願意
[00:02:29.000 --> 00:02:32.000]  但是沒有人願意留下來
[00:02:32.000 --> 00:02:34.000]  來看看她,聽聽她
[00:02:34.000 --> 00:02:36.000]  甚至我們上次講過
[00:02:36.000 --> 00:02:38.000]  很多人都不願意來讀
[00:02:38.000 --> 00:02:41.000]  耶利米愛國這部書
[00:02:41.000 --> 00:02:44.000]  當我們每一個人願意留下來
[00:02:44.000 --> 00:02:46.000]  聽聽她,看看她
[00:02:46.000 --> 00:02:49.000]  願意讀這部耶利米愛國的話
[00:02:49.000 --> 00:02:55.000]  就是對這個錫安的寡婦有回應
[00:02:55.000 --> 00:03:00.000]  我們說耶利米先知的寫作非常細緻
[00:03:00.000 --> 00:03:03.000]  由第三者轉到第一者
[00:03:03.000 --> 00:03:06.000]  但是早在第一章九節和十一節
[00:03:06.000 --> 00:03:11.000]  已經兩次講到耶路撒冷城呼叫出來
[00:03:11.000 --> 00:03:14.000]  耶和華求你觀看
[00:03:14.000 --> 00:03:18.000]  這部書真是令人很痛心
[00:03:18.000 --> 00:03:21.000]  神始終好像沒有回答到
[00:03:21.000 --> 00:03:23.000]  以色列人的哀求
[00:03:23.000 --> 00:03:25.000]  上次講過在約伯記
[00:03:25.000 --> 00:03:28.000]  另外一部關於苦難的書
[00:03:28.000 --> 00:03:32.000]  是,約伯是經過很大的苦難
[00:03:32.000 --> 00:03:35.000]  但是最後神還是回答了他
[00:03:35.000 --> 00:03:38.000]  神甚至是祝福他,補償他
[00:03:38.000 --> 00:03:41.000]  但是耶利米愛國
[00:03:41.000 --> 00:03:45.000]  好像神始終都沒有回答到他
[00:03:45.000 --> 00:03:48.000]  而最接近神回答他的
[00:03:48.000 --> 00:03:51.000]  是愛國的三章五十七節
[00:03:51.000 --> 00:03:53.000]  但是這只不過是
[00:03:53.000 --> 00:03:58.000]  思想懷念神以前曾經講過的話
