
[00:00:00.000 --> 00:00:06.200]  有一位基督徒,他來到搭飛機從美國一個城市去到另一個,
[00:00:06.200 --> 00:00:10.900]  在飛機上,有一個年青人坐在他的身旁,
[00:00:10.900 --> 00:00:14.900]  當空中小姐問他吃什麼的時候,這位年青人說:
[00:00:14.900 --> 00:00:21.900]  「我現在是禁食,所以我不需要任何的食物。」
[00:00:21.900 --> 00:00:28.900]  這位基督徒很好奇,就想問這個年青人:
[00:00:28.900 --> 00:00:32.900]  「你剛才說禁食,你是不是基督徒呢?」
[00:00:32.900 --> 00:00:35.900]  這位年青人回答:
[00:00:35.900 --> 00:00:39.900]  「我不是基督徒,我是撒旦教徒。」
[00:00:39.900 --> 00:00:43.900]  當這個基督徒聽到旁邊坐了一個撒旦教徒,
[00:00:43.900 --> 00:00:47.900]  他心想:「是不是我們要換位呢?」
[00:00:47.900 --> 00:00:53.900]  最後這個基督徒都沒有換位,
[00:00:53.900 --> 00:00:57.900]  他就跟這位年青人來聊天,
[00:00:57.900 --> 00:01:00.900]  他問他:「為什麼你禁食?」
[00:01:00.900 --> 00:01:02.900]  這位年青人說:
[00:01:02.900 --> 00:01:14.900]  「這次我禁食是為了某個城市某一位牧師來禁食,要叫他失敗跌倒。」
[00:01:14.900 --> 00:01:22.900]  有一次我問一位基督徒:
[00:01:22.900 --> 00:01:25.900]  「你信不信世界上有魔鬼呢?」
[00:01:27.900 --> 00:01:30.900]  這位弟兄回答我:
[00:01:30.900 --> 00:01:37.900]  「我不信,令我很驚訝,我想每個基督徒都相信有魔鬼。」
[00:01:37.900 --> 00:01:40.900]  「我不知道你信不信有魔鬼。」
[00:01:40.900 --> 00:01:45.900]  在美國,在九十年代曾經做了一個這樣的調查,
[00:01:45.900 --> 00:01:50.900]  問下人究竟信不信有神,信不信有魔鬼,
[00:01:50.900 --> 00:01:56.900]  結果這個調查令我都有點驚訝,
[00:01:56.900 --> 00:02:01.900]  有三分之一的基督徒,即是調查的人裏面,
[00:02:01.900 --> 00:02:06.900]  有三分之一的基督徒是不信有魔鬼的,
[00:02:06.900 --> 00:02:12.900]  更加天主教徒更多是不信有魔鬼的。
[00:02:12.900 --> 00:02:16.900]  你信不信有魔鬼呢?
[00:02:16.900 --> 00:02:19.900]  魔鬼不是鬼,
[00:02:19.900 --> 00:02:22.900]  很多時候我們以為魔鬼是鬼,
[00:02:22.900 --> 00:02:26.900]  中國人認為人死了就變鬼,
[00:02:26.900 --> 00:02:30.900]  不過基督徒不是這樣說,不是這樣想的。
[00:02:30.900 --> 00:02:32.900]  究竟魔鬼是甚麼呢?
