
[00:00:00.000 --> 00:00:03.700]  我們剛剛聽了聖法蘭西斯的禱告
[00:00:03.700 --> 00:00:08.160]  非常好的一首詩歌或者禱問
[00:00:08.160 --> 00:00:10.280]  使我做「和平之子」
[00:00:10.280 --> 00:00:14.140]  不過有一句我自己不是很認同的
[00:00:14.140 --> 00:00:18.660]  就是「我不要別人了解,但求了解人」
[00:00:18.660 --> 00:00:20.660]  就是「小求別人了解我」
[00:00:20.660 --> 00:00:24.560]  其實我想大家人與人之間的關係是相互的
[00:00:24.560 --> 00:00:28.100]  是互相之間的建立,多一些溝通的
[00:00:28.100 --> 00:00:32.040]  所以我也需要讓別人了解
[00:00:32.040 --> 00:00:34.040]  正如你看看保羅
[00:00:34.040 --> 00:00:36.940]  保羅寫兩卷書都很特別的
[00:00:36.940 --> 00:00:38.940]  特別是《哥林多後書》
[00:00:38.940 --> 00:00:40.940]  是講述他自己的經歷
[00:00:40.940 --> 00:00:43.740]  他如何為主而擺上
[00:00:43.740 --> 00:00:47.000]  他絕對不是去表現自己
[00:00:47.000 --> 00:00:48.500]  英文是show off
[00:00:48.500 --> 00:00:51.680]  他是很想與他的會友
[00:00:51.680 --> 00:00:54.480]  或者他的模樣的樣子
[00:00:54.480 --> 00:00:57.040]  多一些互相之間的了解
[00:00:57.040 --> 00:00:59.040]  每一次寫書的時候
[00:00:59.040 --> 00:01:03.980]  他都會寫下他自己的期望和需要
[00:01:03.980 --> 00:01:05.980]  請弟兄姊妹去祈禱
[00:01:05.980 --> 00:01:08.980]  每一個人都有我們的強項
[00:01:08.980 --> 00:01:10.980]  都有我們的弱項
[00:01:10.980 --> 00:01:13.480]  所以我們不只是去了解別人
[00:01:13.480 --> 00:01:15.480]  但是我們也需要被人了解
[00:01:15.480 --> 00:01:17.480]  我記得我離開冥恩堂的時候
[00:01:17.480 --> 00:01:19.480]  講最後一篇道
[00:01:19.480 --> 00:01:21.480]  以堂主任的身份
[00:01:21.480 --> 00:01:23.480]  叫《最後的叮嚀》
[00:01:23.480 --> 00:01:25.480]  就是《哥林多後書》
[00:01:25.480 --> 00:01:27.480]  他說我們要作完全人
[00:01:27.480 --> 00:01:28.480]  就是要成熟的人
[00:01:28.480 --> 00:01:29.480]  下一句話很特別
[00:01:29.480 --> 00:01:31.480]  要受安慰
[00:01:31.480 --> 00:01:33.480]  他不是去安慰別人
[00:01:33.480 --> 00:01:35.480]  但你同樣要接受安慰
[00:01:35.480 --> 00:01:37.480]  這是這首歌的回應
[00:01:37.480 --> 00:01:38.480]  因為這首歌
[00:01:38.480 --> 00:01:40.480]  稍後我們完結這個《茶經》
[00:01:40.480 --> 00:01:42.480]  會再播另一個版本
[00:01:42.480 --> 00:01:44.480]  《聖靈所言》那一句就是
[00:01:44.480 --> 00:01:46.480]  「人愛喜樂,和平」
[00:01:46.480 --> 00:01:48.480]  上次講過和平和人愛喜樂
[00:01:48.480 --> 00:01:50.480]  一定是結連的
[00:01:50.480 --> 00:01:53.480]  一個小朋友在家庭很溫暖
[00:01:53.480 --> 00:01:56.480]  愛的底下他就會很開心
[00:01:56.480 --> 00:01:58.480]  很平靜地過生活
[00:01:58.480 --> 00:02:01.480]  但如果兩夫婦經常爭拗之下
[00:02:01.480 --> 00:02:03.480]  他絕對缺乏了愛
[00:02:03.480 --> 00:02:05.480]  也不會在這個家庭裏面
[00:02:05.480 --> 00:02:07.480]  活得開心和平靜
[00:02:07.480 --> 00:02:09.480]  是很害怕的
[00:02:09.480 --> 00:02:11.480]  我們知道神是一位和平的神
