
[00:00:00.000 --> 00:00:04.200]  很高興今天2017年第一次在港台跟大家見面
[00:00:04.200 --> 00:00:09.200]  很高興2017年在講台第一次跟大家見面
[00:00:09.200 --> 00:00:12.200]  大家知道我家裡有一缸魚
[00:00:12.200 --> 00:00:15.800]  大家知道家裡有一缸魚
[00:00:15.800 --> 00:00:17.800]  我經常都說我有一缸魚,為什麼呢?
[00:00:17.800 --> 00:00:19.900]  她常常說那一缸魚,為什麼呢?
[00:00:19.900 --> 00:00:21.800]  因為你知道英國很悶
[00:00:21.800 --> 00:00:23.000]  因為在英國很悶
[00:00:23.000 --> 00:00:25.400]  我年紀大了,整個人很悲傷
[00:00:25.400 --> 00:00:27.700]  年紀大了
[00:00:27.700 --> 00:00:33.500]  吃飽飯沒事做,只能對著那一缸魚
[00:00:33.500 --> 00:00:38.800]  吃飽飯沒事做,只能對著那一缸魚
[00:00:38.800 --> 00:00:41.600]  發現在魚缸裡頭就是人生的百態
[00:00:41.600 --> 00:00:42.600]  是一個縮影來的
[00:00:42.600 --> 00:00:46.600]  是一個縮影來的
[00:00:46.600 --> 00:00:50.100]  看著那些魚,生活有時候也蠻有趣的
[00:00:50.100 --> 00:00:52.100]  就好像人生活一樣
[00:00:52.100 --> 00:00:53.100]  就像人的生活一樣
[00:00:53.100 --> 00:00:55.600]  例如他們四圍搶東西吃
[00:00:55.600 --> 00:00:57.700]  好像那些魚會搶東西吃
[00:00:57.700 --> 00:00:59.200]  霸地盤
[00:00:59.200 --> 00:01:00.700]  會霸佔地盤
[00:01:00.700 --> 00:01:03.600]  一不開心就打架、吵架
[00:01:03.600 --> 00:01:05.500]  不開心就打架
[00:01:05.500 --> 00:01:08.300]  跟黑社會沒什麼分別
[00:01:08.300 --> 00:01:10.100]  跟黑社會好像沒什麼分別
[00:01:10.100 --> 00:01:12.100]  可能我們自己就好一點
[00:01:12.100 --> 00:01:13.600]  可能我們自己好一點
[00:01:13.600 --> 00:01:17.200]  有些人問我,為什麼養魚多數有一條,不一對對
[00:01:17.200 --> 00:01:21.400]  有人問,為什麼你養魚都是一條一條的,沒有一對一對的
[00:01:21.400 --> 00:01:24.200]  不是每個種類要養兩條,一男一女嗎?
[00:01:24.200 --> 00:01:27.000]  不是每個種類要養兩條,一男一女嗎?
